id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
8cfc2f69,Ángel Rodríguez,22,ESP,FW,34-294,72,1,0,0,0,3,1,1,0,22,1,0,1,0.3,0.3,0.0,0,0,8,11,72.7,1,12,1,0,0,Mallorca,2022-02-14 Mallorca-Athletic Club,ESP-LALIGA,21-22,02a9ffb7
8455ad90,Lee Kang-in,19,KOR,FW,20-360,18,0,0,0,0,1,1,0,0,17,0,0,0,0.1,0.1,0.2,2,0,7,12,58.3,0,9,2,1,1,Mallorca,2022-02-14 Mallorca-Athletic Club,ESP-LALIGA,21-22,02a9ffb7
0cadc46d,Vedat Muriqi,7,KVX,FW,27-296,90,0,1,0,0,1,1,1,0,41,1,0,3,0.0,0.0,0.4,3,1,15,30,50.0,2,11,0,1,1,Mallorca,2022-02-14 Mallorca-Athletic Club,ESP-LALIGA,21-22,02a9ffb7
70f8e0bd,Dani Rodríguez,14,ESP,LM,33-253,90,0,0,0,0,2,0,0,0,48,0,0,0,0.1,0.1,0.1,4,0,30,37,81.1,7,24,3,4,3,Mallorca,2022-02-14 Mallorca-Athletic Club,ESP-LALIGA,21-22,02a9ffb7
75bd85ea,Salva Sevilla,8,ESP,CM,37-333,61,1,0,1,1,1,0,0,0,37,0,0,0,0.8,0.0,0.0,1,0,22,32,68.8,4,15,0,0,0,Mallorca,2022-02-14 Mallorca-Athletic Club,ESP-LALIGA,21-22,02a9ffb7
a254bbe0,Antonio Sánchez,10,ESP,CM,25-044,29,0,0,0,0,1,0,0,0,12,2,0,1,0.0,0.0,0.0,1,0,7,8,87.5,2,3,0,0,0,Mallorca,2022-02-14 Mallorca-Athletic Club,ESP-LALIGA,21-22,02a9ffb7
91f7631f,Iñigo Ruiz de Galarreta,4,ESP,CM,28-192,89,0,0,0,0,0,0,0,0,38,2,2,2,0.0,0.0,0.0,0,0,23,29,79.3,3,7,0,0,0,Mallorca,2022-02-14 Mallorca-Athletic Club,ESP-LALIGA,21-22,02a9ffb7
d637fc22,Rodrigo Battaglia,16,ARG,CM,30-217,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,0,0,1,0,Mallorca,2022-02-14 Mallorca-Athletic Club,ESP-LALIGA,21-22,02a9ffb7
16aa3654,Takefusa Kubo,17,JPN,RM,20-255,89,0,0,0,0,4,0,1,0,44,2,3,1,0.4,0.4,0.2,7,0,19,26,73.1,4,25,2,2,1,Mallorca,2022-02-14 Mallorca-Athletic Club,ESP-LALIGA,21-22,02a9ffb7
1fc474ae,Giovanni González,2,URU,RM,27-147,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Mallorca,2022-02-14 Mallorca-Athletic Club,ESP-LALIGA,21-22,02a9ffb7
a3e4bf46,Brian Oliván,3,ESP,LB,27-319,89,0,0,0,0,1,1,1,0,65,1,1,0,0.2,0.2,0.0,2,0,29,57,50.9,3,24,1,1,1,Mallorca,2022-02-14 Mallorca-Athletic Club,ESP-LALIGA,21-22,02a9ffb7
808d48f3,Jaume Costa,18,ESP,LB,33-333,1,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,5,8,62.5,0,4,0,0,0,Mallorca,2022-02-14 Mallorca-Athletic Club,ESP-LALIGA,21-22,02a9ffb7
b857bd29,Antonio Raillo,21,ESP,CB,30-129,90,0,0,0,0,1,0,1,0,44,0,2,1,0.0,0.0,0.0,0,0,27,36,75.0,3,16,1,0,0,Mallorca,2022-02-14 Mallorca-Athletic Club,ESP-LALIGA,21-22,02a9ffb7
f2c6ac01,Martin Valjent,24,SVK,CB,26-065,90,0,0,0,0,0,0,0,0,40,1,2,1,0.0,0.0,0.1,1,0,20,31,64.5,0,22,1,0,0,Mallorca,2022-02-14 Mallorca-Athletic Club,ESP-LALIGA,21-22,02a9ffb7
5db04597,Pablo Maffeo,15,ESP,RB,24-217,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,2,2,17,27,63.0,1,11,0,1,0,Mallorca,2022-02-14 Mallorca-Athletic Club,ESP-LALIGA,21-22,02a9ffb7
5f0241b2,Sergio Rico,25,ESP,GK,28-166,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,1,0,21,31,67.7,0,16,0,0,0,Mallorca,2022-02-14 Mallorca-Athletic Club,ESP-LALIGA,21-22,02a9ffb7
b418dbd4,Raúl García,22,ESP,FW,35-218,70,1,0,0,0,3,1,0,0,28,0,0,1,0.9,0.9,0.0,3,1,13,19,68.4,2,15,0,0,0,Athletic Club,2022-02-14 Mallorca-Athletic Club,ESP-LALIGA,21-22,02a9ffb7
6a99e0b1,Iñaki Williams,9,GHA,FW,27-244,20,0,0,0,0,2,0,0,0,7,0,0,0,0.1,0.1,0.0,0,0,1,4,25.0,0,4,0,0,0,Athletic Club,2022-02-14 Mallorca-Athletic Club,ESP-LALIGA,21-22,02a9ffb7
bdb624a3,Oihan Sancet,8,ESP,FW,21-295,76,0,0,0,0,0,0,0,0,27,0,1,0,0.0,0.0,0.5,1,0,17,22,77.3,0,18,1,0,0,Athletic Club,2022-02-14 Mallorca-Athletic Club,ESP-LALIGA,21-22,02a9ffb7
57be54ec,Asier Villalibre,20,ESP,FW,24-137,14,0,0,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.0,0,0,2,6,33.3,0,2,0,0,0,Athletic Club,2022-02-14 Mallorca-Athletic Club,ESP-LALIGA,21-22,02a9ffb7
c05dfb74,Iker Muniain,10,ESP,LM,29-057,90,0,1,0,0,0,0,1,0,61,1,0,0,0.0,0.0,0.7,5,1,37,53,69.8,8,39,3,4,4,Athletic Club,2022-02-14 Mallorca-Athletic Club,ESP-LALIGA,21-22,02a9ffb7
b0fce72c,Mikel Vesga,6,ESP,CM,28-269,70,0,0,0,0,0,0,0,0,50,0,0,2,0.0,0.0,0.0,0,0,35,44,79.5,5,30,1,0,0,Athletic Club,2022-02-14 Mallorca-Athletic Club,ESP-LALIGA,21-22,02a9ffb7
97d08e60,Alex Petxa,2,ESP,CM,25-008,20,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,6,8,75.0,0,5,0,0,0,Athletic Club,2022-02-14 Mallorca-Athletic Club,ESP-LALIGA,21-22,02a9ffb7
240d3a0b,Dani García,14,ESP,CM,31-266,45,0,0,0,0,0,0,0,0,23,0,0,1,0.0,0.0,0.0,0,0,14,20,70.0,1,8,0,0,0,Athletic Club,2022-02-14 Mallorca-Athletic Club,ESP-LALIGA,21-22,02a9ffb7
b6e50615,Yuri Berchiche,17,ESP,LB,32-004,45,0,1,0,0,0,0,1,0,33,2,0,2,0.0,0.0,0.3,2,1,24,30,80.0,3,17,1,0,0,Athletic Club,2022-02-14 Mallorca-Athletic Club,ESP-LALIGA,21-22,02a9ffb7
968a1c2f,Oier Zarraga,19,ESP,"CM,RM",23-041,90,0,0,0,0,1,0,1,0,42,0,1,2,0.0,0.0,0.1,1,0,24,29,82.8,6,20,1,1,1,Athletic Club,2022-02-14 Mallorca-Athletic Club,ESP-LALIGA,21-22,02a9ffb7
1fe67e86,Mikel Balenziaga,24,ESP,"CB,LB",33-350,90,0,0,0,0,0,0,0,0,56,0,2,0,0.0,0.0,0.0,0,0,35,47,74.5,1,23,0,0,0,Athletic Club,2022-02-14 Mallorca-Athletic Club,ESP-LALIGA,21-22,02a9ffb7
be170419,Unai Núñez,3,ESP,CB,25-015,45,0,0,0,0,0,0,0,0,31,0,0,1,0.0,0.0,0.0,0,0,20,26,76.9,3,15,0,0,0,Athletic Club,2022-02-14 Mallorca-Athletic Club,ESP-LALIGA,21-22,02a9ffb7
dc1c2fce,Álex Berenguer,7,ESP,RM,26-225,45,1,0,0,0,1,1,1,0,24,2,1,0,0.7,0.7,0.0,0,0,8,18,44.4,1,13,1,1,1,Athletic Club,2022-02-14 Mallorca-Athletic Club,ESP-LALIGA,21-22,02a9ffb7
ab7bf91d,Daniel Vivian,12,ESP,CB,22-214,90,0,0,0,0,0,0,0,0,70,1,2,1,0.0,0.0,0.0,0,0,43,57,75.4,1,34,0,0,0,Athletic Club,2022-02-14 Mallorca-Athletic Club,ESP-LALIGA,21-22,02a9ffb7
59b7d823,Iñigo Lekue,15,ESP,RB,28-286,90,0,0,0,0,0,0,0,0,55,0,0,1,0.0,0.0,0.0,0,0,28,42,66.7,4,14,2,3,3,Athletic Club,2022-02-14 Mallorca-Athletic Club,ESP-LALIGA,21-22,02a9ffb7
5dcf3e90,Unai Simón,1,ESP,GK,24-248,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,25,32,78.1,0,18,0,0,0,Athletic Club,2022-02-14 Mallorca-Athletic Club,ESP-LALIGA,21-22,02a9ffb7
