id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
1fca9171,Federico Di Francesco,31,ITA,"FW,WB",25-072,90,1,0,0,0,2,1,0,0,23,1,0,0,0.5,0.5,0.0,0,0,8,12,66.7,0,13,3,3,1,SPAL,2019-08-25 SPAL-Atalanta,ITA-SERIA_A,19-20,0326af7e
03f946ed,Andrea Petagna,37,ITA,FW,24-056,90,1,1,0,0,2,1,0,0,35,0,0,0,0.7,0.7,0.4,4,1,18,28,64.3,3,20,0,1,0,SPAL,2019-08-25 SPAL-Atalanta,ITA-SERIA_A,19-20,0326af7e
144607cc,Jasmin Kurtić,19,SVN,CM,30-227,90,0,0,0,0,1,0,0,0,41,3,0,1,0.1,0.1,0.3,1,0,16,29,55.2,1,25,3,2,1,SPAL,2019-08-25 SPAL-Atalanta,ITA-SERIA_A,19-20,0326af7e
331c0a43,Simone Missiroli,7,ITA,CM,33-094,90,0,0,0,0,0,0,0,0,46,1,0,0,0.0,0.0,0.1,1,0,33,40,82.5,6,25,2,1,1,SPAL,2019-08-25 SPAL-Atalanta,ITA-SERIA_A,19-20,0326af7e
c414df9d,Mattia Valoti,8,ITA,CM,25-353,64,0,0,0,0,1,1,1,0,31,1,2,1,0.3,0.3,0.0,3,2,11,23,47.8,1,17,2,2,2,SPAL,2019-08-25 SPAL-Atalanta,ITA-SERIA_A,19-20,0326af7e
fb2c533b,Alessandro Murgia,11,ITA,CM,23-016,26,0,0,0,0,0,0,0,0,17,2,0,0,0.0,0.0,0.0,0,0,9,12,75.0,1,5,0,0,0,SPAL,2019-08-25 SPAL-Atalanta,ITA-SERIA_A,19-20,0326af7e
a4e85758,Igor,3,BRA,WB,21-199,77,0,1,0,0,1,0,0,0,29,1,1,1,0.0,0.0,0.6,1,1,16,22,72.7,1,18,4,5,4,SPAL,2019-08-25 SPAL-Atalanta,ITA-SERIA_A,19-20,0326af7e
df301450,Sergio Floccari,10,ITA,FW,37-286,13,0,0,0,0,1,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,0,6,0,1,0,SPAL,2019-08-25 SPAL-Atalanta,ITA-SERIA_A,19-20,0326af7e
060606ec,Marco D'Alessandro,77,ITA,WB,28-189,70,0,0,0,0,0,0,0,0,22,2,1,3,0.0,0.0,0.1,1,0,3,10,30.0,0,7,0,1,0,SPAL,2019-08-25 SPAL-Atalanta,ITA-SERIA_A,19-20,0326af7e
6aafdc27,Nenad Tomović,40,SRB,WB,31-360,20,0,0,0,0,1,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,8,13,61.5,0,8,0,0,0,SPAL,2019-08-25 SPAL-Atalanta,ITA-SERIA_A,19-20,0326af7e
8cea6319,Felipe dal Belo,27,BRA,CB,35-025,90,0,0,0,0,0,0,0,0,44,2,0,2,0.0,0.0,0.0,3,0,29,38,76.3,4,15,1,0,0,SPAL,2019-08-25 SPAL-Atalanta,ITA-SERIA_A,19-20,0326af7e
de045b15,Francesco Vicari,23,ITA,CB,25-022,90,0,0,0,0,0,0,0,0,57,1,3,0,0.0,0.0,0.0,2,0,40,44,90.9,3,23,1,1,0,SPAL,2019-08-25 SPAL-Atalanta,ITA-SERIA_A,19-20,0326af7e
46f5c54d,Thiago Cionek,4,POL,CB,33-126,90,0,0,0,0,0,0,1,0,68,0,2,3,0.0,0.0,0.0,0,0,37,56,66.1,4,31,0,0,0,SPAL,2019-08-25 SPAL-Atalanta,ITA-SERIA_A,19-20,0326af7e
ee833569,Etrit Berisha,99,ALB,GK,30-168,90,0,0,0,0,0,0,0,0,44,0,0,0,0.0,0.0,0.0,1,0,25,38,65.8,0,31,0,0,0,SPAL,2019-08-25 SPAL-Atalanta,ITA-SERIA_A,19-20,0326af7e
d3de9af0,Duván Zapata,91,COL,FW,28-146,80,0,0,0,0,5,2,0,0,33,0,0,0,0.2,0.2,0.0,1,0,14,22,63.6,0,21,2,5,1,Atalanta,2019-08-25 SPAL-Atalanta,ITA-SERIA_A,19-20,0326af7e
c56dc39e,Rafael Tolói,2,ITA,"FW,CB",28-319,10,0,0,0,0,0,0,0,0,9,1,0,0,0.0,0.0,0.0,0,0,5,6,83.3,0,3,0,0,0,Atalanta,2019-08-25 SPAL-Atalanta,ITA-SERIA_A,19-20,0326af7e
6e4df551,Papu Gómez,10,ARG,"FW,AM",31-191,90,0,1,0,0,4,4,0,0,65,0,0,1,0.4,0.4,0.2,8,1,36,55,65.5,8,48,8,4,3,Atalanta,2019-08-25 SPAL-Atalanta,ITA-SERIA_A,19-20,0326af7e
e599253a,Mario Pašalić,88,CRO,"AM,CM",24-197,90,0,0,0,0,2,1,0,0,48,2,0,0,0.3,0.3,0.0,2,1,30,38,78.9,3,30,2,0,0,Atalanta,2019-08-25 SPAL-Atalanta,ITA-SERIA_A,19-20,0326af7e
98d2c2c4,Remo Freuler,11,SUI,CM,27-132,53,0,0,0,0,1,1,0,0,41,1,1,0,0.1,0.1,0.3,3,0,28,35,80.0,2,24,0,0,0,Atalanta,2019-08-25 SPAL-Atalanta,ITA-SERIA_A,19-20,0326af7e
48d5bd33,Ruslan Malinovskyi,18,UKR,"CM,AM",26-113,37,0,0,0,0,0,0,0,0,16,3,0,0,0.0,0.0,0.0,3,1,10,13,76.9,1,10,1,0,0,Atalanta,2019-08-25 SPAL-Atalanta,ITA-SERIA_A,19-20,0326af7e
2a1beb34,Marten de Roon,15,NED,"CM,CB",28-149,90,0,0,0,0,2,0,1,0,64,1,2,0,0.1,0.1,0.0,4,1,46,56,82.1,7,39,2,0,0,Atalanta,2019-08-25 SPAL-Atalanta,ITA-SERIA_A,19-20,0326af7e
2d970560,Robin Gosens,8,GER,WB,25-051,90,1,0,0,0,2,1,0,0,58,0,1,2,0.3,0.3,0.0,4,0,33,50,66.0,3,30,1,1,0,Atalanta,2019-08-25 SPAL-Atalanta,ITA-SERIA_A,19-20,0326af7e
3b333ac3,Hans Hateboer,33,NED,WB,25-228,90,0,1,0,0,1,0,0,0,54,2,1,0,0.0,0.0,0.4,4,1,31,42,73.8,4,26,2,2,0,Atalanta,2019-08-25 SPAL-Atalanta,ITA-SERIA_A,19-20,0326af7e
e0314d87,Andrea Masiello,5,ITA,CB,33-201,54,0,0,0,0,0,0,0,0,35,1,4,0,0.0,0.0,0.0,0,0,22,28,78.6,2,21,0,0,0,Atalanta,2019-08-25 SPAL-Atalanta,ITA-SERIA_A,19-20,0326af7e
eb2fe5b6,Luis Muriel,9,COL,FW,28-131,36,2,0,0,0,4,4,0,0,23,1,0,1,0.4,0.4,0.2,4,0,11,16,68.8,2,16,1,1,1,Atalanta,2019-08-25 SPAL-Atalanta,ITA-SERIA_A,19-20,0326af7e
921f6058,José Luis Palomino,6,ARG,CB,29-232,90,0,0,0,0,0,0,0,0,82,3,2,0,0.0,0.0,0.1,3,0,58,73,79.5,6,45,0,0,0,Atalanta,2019-08-25 SPAL-Atalanta,ITA-SERIA_A,19-20,0326af7e
6eee05f1,Berat Djimsiti,19,ALB,CB,26-187,90,0,0,0,0,0,0,0,0,70,2,3,0,0.0,0.0,0.0,2,0,56,59,94.9,0,42,0,1,1,Atalanta,2019-08-25 SPAL-Atalanta,ITA-SERIA_A,19-20,0326af7e
f0f7f62f,Pierluigi Gollini,95,ITA,GK,24-160,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,26,38,68.4,0,27,0,0,0,Atalanta,2019-08-25 SPAL-Atalanta,ITA-SERIA_A,19-20,0326af7e
