id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
e7af9060,Cyle Larin,25,CAN,FW,28-048,90,0,0,0,0,4,0,0,0,17,0,0,1,0.4,0.4,0.0,1,0,6,8,75.0,1,13,0,1,1,Valladolid,2023-06-04 Valladolid-Getafe,ESP-LALIGA,22-23,05060e6f
ed6ea4d9,Darwin Machís,22,VEN,LW,30-117,71,0,0,0,0,2,0,0,0,40,0,0,0,0.0,0.0,0.2,5,0,19,29,65.5,2,35,5,5,0,Valladolid,2023-06-04 Valladolid-Getafe,ESP-LALIGA,22-23,05060e6f
5eebbfdf,Kenedy,19,BRA,LB,27-116,19,0,0,0,0,0,0,0,0,20,0,0,2,0.0,0.0,0.2,1,0,13,17,76.5,1,11,0,0,0,Valladolid,2023-06-04 Valladolid-Getafe,ESP-LALIGA,22-23,05060e6f
54bcdeb0,Gonzalo Plata,11,ECU,RW,22-215,90,0,0,0,0,2,0,0,0,56,2,0,1,0.1,0.1,0.1,6,0,26,37,70.3,6,32,7,14,8,Valladolid,2023-06-04 Valladolid-Getafe,ESP-LALIGA,22-23,05060e6f
014aa7bd,Álvaro Aguado,6,ESP,LM,27-034,90,0,0,0,0,3,0,1,0,92,1,1,0,0.1,0.1,0.1,4,0,72,84,85.7,11,62,3,2,0,Valladolid,2023-06-04 Valladolid-Getafe,ESP-LALIGA,22-23,05060e6f
7c4243d4,Roque Mesa,17,ESP,CM,33-362,90,0,0,0,0,1,0,0,0,102,0,0,0,0.0,0.0,0.0,2,0,78,98,79.6,3,78,1,2,1,Valladolid,2023-06-04 Valladolid-Getafe,ESP-LALIGA,22-23,05060e6f
237a3851,Kike Pérez,4,ESP,RM,26-110,61,0,0,0,0,0,0,0,0,39,1,0,0,0.0,0.0,0.0,2,0,29,37,78.4,4,29,2,2,1,Valladolid,2023-06-04 Valladolid-Getafe,ESP-LALIGA,22-23,05060e6f
5132b92c,Lucas Oliveira Rosa,39,BRA,RM,23-062,29,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,2,0,17,23,73.9,1,11,1,1,0,Valladolid,2023-06-04 Valladolid-Getafe,ESP-LALIGA,22-23,05060e6f
4cee5954,Lucas Olaza,12,URU,LB,28-318,70,0,0,0,0,0,0,0,0,56,0,1,0,0.0,0.0,0.0,1,0,44,50,88.0,9,20,0,0,0,Valladolid,2023-06-04 Valladolid-Getafe,ESP-LALIGA,22-23,05060e6f
b0616e3d,Sergio Escudero,18,ESP,LW,33-275,20,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.0,1,0,12,17,70.6,1,7,0,0,0,Valladolid,2023-06-04 Valladolid-Getafe,ESP-LALIGA,22-23,05060e6f
f6f6b6e8,Jawad El Yamiq,15,MAR,CB,31-095,90,0,0,0,0,2,0,0,0,119,1,0,0,0.1,0.1,0.1,2,0,94,109,86.2,13,73,2,0,0,Valladolid,2023-06-04 Valladolid-Getafe,ESP-LALIGA,22-23,05060e6f
60359288,Javi Sánchez,5,ESP,CB,26-082,16,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,8,10,80.0,1,5,0,0,0,Valladolid,2023-06-04 Valladolid-Getafe,ESP-LALIGA,22-23,05060e6f
