id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
c6ac6579,Kostas Mitroglou,11,GRE,FW,30-040,90,2,0,0,0,2,2,0,0,21,0,0,0,0.7,0.7,0.2,4,0,11,14,78.6,1,17,1,2,1,Marseille,2018-04-21 Marseille-Lille,FRA-L1,17-18,05533f7e
a08b974a,Lucas Ocampos,5,ARG,LW,23-284,90,1,1,0,0,3,2,0,0,54,4,0,1,0.2,0.2,0.5,5,3,26,34,76.5,2,34,4,7,3,Marseille,2018-04-21 Marseille-Lille,FRA-L1,17-18,05533f7e
2b9fdeea,Florian Thauvin,26,FRA,"RW,AM",25-085,90,2,0,1,1,5,2,0,0,93,1,0,0,1.2,0.4,0.3,12,2,70,80,87.5,6,71,11,8,4,Marseille,2018-04-21 Marseille-Lille,FRA-L1,17-18,05533f7e
58ae47b2,Dimitri Payet,10,FRA,AM,31-023,78,0,1,0,0,5,1,0,0,76,2,0,0,0.7,0.7,0.3,7,2,45,62,72.6,4,60,3,2,1,Marseille,2018-04-21 Marseille-Lille,FRA-L1,17-18,05533f7e
6e7f1353,Morgan Sanson,8,FRA,DM,23-246,12,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,10,11,90.9,0,9,1,0,0,Marseille,2018-04-21 Marseille-Lille,FRA-L1,17-18,05533f7e
82671804,Luiz Gustavo,19,BRA,"DM,CB",30-272,90,0,0,0,0,0,0,0,0,57,2,0,2,0.0,0.0,0.0,1,0,50,51,98.0,3,45,3,2,2,Marseille,2018-04-21 Marseille-Lille,FRA-L1,17-18,05533f7e
20094685,Maxime Lopez,27,FRA,"DM,RW",20-138,90,0,0,0,0,0,0,0,0,95,3,0,0,0.0,0.0,0.0,3,1,82,90,91.1,11,73,1,0,0,Marseille,2018-04-21 Marseille-Lille,FRA-L1,17-18,05533f7e
d63e2912,Hiroki Sakai,2,JPN,LB,28-009,21,0,0,0,0,0,0,0,0,14,2,0,1,0.0,0.0,0.0,0,0,9,11,81.8,0,7,0,0,0,Marseille,2018-04-21 Marseille-Lille,FRA-L1,17-18,05533f7e
22721b88,Jordan Amavi,18,FRA,LB,24-043,69,0,1,0,0,0,0,0,0,48,2,0,2,0.0,0.0,0.2,2,1,38,42,90.5,3,31,1,0,0,Marseille,2018-04-21 Marseille-Lille,FRA-L1,17-18,05533f7e
