id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
603cb947,Andrej Kramarić,27,CRO,FW,32-183,72,1,0,1,1,2,0,0,0,44,0,0,1,0.9,0.1,0.2,3,0,29,35,82.9,1,17,1,1,1,Hoffenheim,2023-12-19 Hoffenheim-Darmstadt 98,GER-BL1,23-24,067ebd6d
5db45ee5,Maximilian Beier,14,GER,FW,21-063,18,0,0,0,0,1,1,0,0,6,0,0,0,0.0,0.0,0.0,1,0,2,4,50.0,1,3,0,0,0,Hoffenheim,2023-12-19 Hoffenheim-Darmstadt 98,GER-BL1,23-24,067ebd6d
a53b661f,Ihlas Bebou,9,TOG,FW,29-240,90,2,0,0,0,3,2,1,0,36,0,0,1,1.1,1.1,0.0,6,3,13,18,72.2,1,21,3,5,2,Hoffenheim,2023-12-19 Hoffenheim-Darmstadt 98,GER-BL1,23-24,067ebd6d
ab5b7dc1,Marius Bülter,21,GER,LW,30-265,45,0,0,0,0,0,0,0,0,29,1,1,2,0.0,0.0,0.0,0,0,13,22,59.1,1,12,1,1,1,Hoffenheim,2023-12-19 Hoffenheim-Darmstadt 98,GER-BL1,23-24,067ebd6d
ff98492b,Robert Skov,29,DEN,LW,27-213,45,0,0,0,0,2,0,1,0,29,2,0,1,0.1,0.1,0.1,4,0,13,22,59.1,0,10,1,0,0,Hoffenheim,2023-12-19 Hoffenheim-Darmstadt 98,GER-BL1,23-24,067ebd6d
79c90e45,Pavel Kadeřábek,3,CZE,RW,31-238,90,0,0,0,0,1,0,0,0,51,0,1,0,0.0,0.0,0.6,2,0,33,47,70.2,4,16,1,0,0,Hoffenheim,2023-12-19 Hoffenheim-Darmstadt 98,GER-BL1,23-24,067ebd6d
e547d3cf,Umut Tohumcu,40,GER,CM,19-130,53,0,0,0,0,0,0,0,0,16,0,0,4,0.0,0.0,0.0,1,0,9,9,100.0,2,6,0,0,0,Hoffenheim,2023-12-19 Hoffenheim-Darmstadt 98,GER-BL1,23-24,067ebd6d
ffbbc83b,Florian Grillitsch,11,AUT,DM,28-134,37,0,1,0,0,0,0,0,0,36,0,0,1,0.0,0.0,0.2,2,1,28,33,84.8,4,21,1,1,0,Hoffenheim,2023-12-19 Hoffenheim-Darmstadt 98,GER-BL1,23-24,067ebd6d
924f9191,Grischa Prömel,6,GER,CM,28-344,89,0,1,0,0,1,0,0,0,45,0,3,1,0.5,0.5,0.9,1,1,28,34,82.4,3,24,1,2,0,Hoffenheim,2023-12-19 Hoffenheim-Darmstadt 98,GER-BL1,23-24,067ebd6d
dd2e62da,Finn Ole Becker,20,GER,CM,23-194,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,2,0,0,0,Hoffenheim,2023-12-19 Hoffenheim-Darmstadt 98,GER-BL1,23-24,067ebd6d
0f59a7bf,Anton Stach,16,GER,"DM,CM",25-034,90,0,0,0,0,1,0,0,0,46,3,2,0,0.1,0.1,0.7,2,0,29,38,76.3,3,21,2,1,1,Hoffenheim,2023-12-19 Hoffenheim-Darmstadt 98,GER-BL1,23-24,067ebd6d
1d8e9add,Kevin Vogt,22,GER,CB,32-087,90,0,0,0,0,0,0,0,0,57,2,0,0,0.0,0.0,0.1,2,1,47,53,88.7,3,33,2,0,0,Hoffenheim,2023-12-19 Hoffenheim-Darmstadt 98,GER-BL1,23-24,067ebd6d
e27da244,John Brooks,23,USA,CB,30-325,90,0,0,0,0,2,0,0,0,67,4,1,6,0.8,0.8,0.0,1,0,35,46,76.1,3,30,0,2,1,Hoffenheim,2023-12-19 Hoffenheim-Darmstadt 98,GER-BL1,23-24,067ebd6d
2d61d13a,Ozan Kabak,5,TUR,CB,23-269,89,0,0,0,0,0,0,0,0,41,0,0,2,0.0,0.0,0.0,1,0,32,37,86.5,1,21,0,0,0,Hoffenheim,2023-12-19 Hoffenheim-Darmstadt 98,GER-BL1,23-24,067ebd6d
ab1a72b4,Julian Justvan,17,GER,CB,25-261,1,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,6,7,85.7,2,5,1,0,0,Hoffenheim,2023-12-19 Hoffenheim-Darmstadt 98,GER-BL1,23-24,067ebd6d
47064058,Oliver Baumann,1,GER,GK,33-200,90,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,32,41,78.0,0,22,0,0,0,Hoffenheim,2023-12-19 Hoffenheim-Darmstadt 98,GER-BL1,23-24,067ebd6d
65857fdf,Tim Skarke,27,GER,FW,27-103,90,2,0,0,0,7,2,1,0,56,0,1,3,0.4,0.4,0.0,2,0,31,38,81.6,5,35,1,2,0,Darmstadt 98,2023-12-19 Hoffenheim-Darmstadt 98,GER-BL1,23-24,067ebd6d
83e1f40e,Luca Pfeiffer,24,GER,FW,27-121,90,1,2,0,0,2,1,1,0,23,2,0,0,0.2,0.2,0.2,3,2,10,16,62.5,2,10,1,1,0,Darmstadt 98,2023-12-19 Hoffenheim-Darmstadt 98,GER-BL1,23-24,067ebd6d
d7cdfd81,Tobias Kempe,11,GER,AM,34-175,83,0,0,0,0,1,0,0,0,34,0,0,0,0.0,0.0,0.1,4,1,20,29,69.0,3,16,0,0,0,Darmstadt 98,2023-12-19 Hoffenheim-Darmstadt 98,GER-BL1,23-24,067ebd6d
