id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
45b9b619,Joaquín Correa,11,ARG,FW,28-231,62,0,0,0,0,0,0,0,0,26,1,0,0,0.0,0.0,0.1,4,0,17,19,89.5,2,18,1,3,1,Internazionale,2023-04-01 Inter-Fiorentina,ITA-SERIA_A,22-23,067eccc7
f7036e1c,Lautaro Martínez,10,ARG,"AM,FW",25-222,28,0,0,0,0,1,0,0,0,16,0,1,1,0.1,0.1,0.0,0,0,8,9,88.9,1,12,0,1,0,Internazionale,2023-04-01 Inter-Fiorentina,ITA-SERIA_A,22-23,067eccc7
5eae500a,Romelu Lukaku,90,BEL,FW,29-323,90,0,0,0,0,3,0,0,0,32,0,0,0,1.0,1.0,0.2,4,0,11,19,57.9,2,19,1,3,3,Internazionale,2023-04-01 Inter-Fiorentina,ITA-SERIA_A,22-23,067eccc7
dd0daf32,Henrikh Mkhitaryan,22,ARM,CM,34-070,77,0,0,0,0,3,1,0,0,58,2,1,0,0.7,0.7,0.0,4,0,35,44,79.5,2,32,2,3,2,Internazionale,2023-04-01 Inter-Fiorentina,ITA-SERIA_A,22-23,067eccc7
0fdcef0e,Kristjan Asllani,14,ALB,CM,21-023,13,0,0,0,0,0,0,0,0,19,0,1,0,0.0,0.0,0.0,2,0,16,19,84.2,2,15,1,0,0,Internazionale,2023-04-01 Inter-Fiorentina,ITA-SERIA_A,22-23,067eccc7
33b8d077,Marcelo Brozović,77,CRO,CM,30-136,77,0,0,0,0,1,0,1,0,62,1,0,2,0.1,0.1,0.3,4,0,44,54,81.5,4,36,0,0,0,Internazionale,2023-04-01 Inter-Fiorentina,ITA-SERIA_A,22-23,067eccc7
3bb7f478,Edin Džeko,9,BIH,FW,37-015,13,0,0,0,0,1,0,0,0,8,0,0,0,0.0,0.0,0.1,1,0,2,6,33.3,0,6,0,1,0,Internazionale,2023-04-01 Inter-Fiorentina,ITA-SERIA_A,22-23,067eccc7
6928979a,Nicolò Barella,23,ITA,CM,26-053,90,0,0,0,0,1,0,0,0,61,3,0,2,0.0,0.0,0.0,1,0,37,48,77.1,6,41,1,1,1,Internazionale,2023-04-01 Inter-Fiorentina,ITA-SERIA_A,22-23,067eccc7
2d970560,Robin Gosens,8,GER,WB,28-270,62,0,0,0,0,3,0,0,0,42,1,0,2,0.3,0.3,0.2,2,0,26,34,76.5,2,25,0,0,0,Internazionale,2023-04-01 Inter-Fiorentina,ITA-SERIA_A,22-23,067eccc7
e3756e72,Raoul Bellanova,12,ITA,WB,22-319,28,0,0,0,0,1,1,0,0,22,1,0,0,0.3,0.3,0.0,0,0,15,18,83.3,0,14,4,2,2,Internazionale,2023-04-01 Inter-Fiorentina,ITA-SERIA_A,22-23,067eccc7
481c9ece,Denzel Dumfries,2,NED,WB,26-348,90,0,0,0,0,1,1,0,0,55,3,0,4,0.2,0.2,0.0,1,0,27,44,61.4,6,31,7,6,3,Internazionale,2023-04-01 Inter-Fiorentina,ITA-SERIA_A,22-23,067eccc7
75b86fb3,Alessandro Bastoni,95,ITA,CB,23-353,62,0,0,0,0,0,0,0,0,48,1,0,1,0.0,0.0,0.9,2,0,37,46,80.4,2,37,1,0,0,Internazionale,2023-04-01 Inter-Fiorentina,ITA-SERIA_A,22-23,067eccc7
