id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
9d66fbe3,Roberto Soldado,9,ESP,FW,35-108,79,0,0,0,0,0,0,0,0,21,0,0,1,0.0,0.0,0.0,0,0,13,17,76.5,2,10,1,0,0,Granada,2020-09-12 Granada-Athletic Club,ESP-LALIGA,20-21,083135b8
0cc474e7,Ramon Azeez,12,NGA,"FW,CM",27-275,11,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,7,7,100.0,1,3,0,0,0,Granada,2020-09-12 Granada-Athletic Club,ESP-LALIGA,20-21,083135b8
ed6ea4d9,Darwin Machís,11,VEN,LW,27-218,61,0,0,0,0,1,0,0,0,20,0,1,0,0.0,0.0,0.0,2,0,9,16,56.3,0,15,2,3,3,Granada,2020-09-12 Granada-Athletic Club,ESP-LALIGA,20-21,083135b8
f681a8ef,Fede Vico,14,ESP,"LW,RM",26-070,29,0,0,0,0,0,0,0,0,18,0,2,0,0.0,0.0,0.0,0,0,10,13,76.9,2,9,1,1,0,Granada,2020-09-12 Granada-Athletic Club,ESP-LALIGA,20-21,083135b8
c77a8043,Antonio Puertas,10,ESP,"RW,FW",28-204,90,0,0,0,0,0,0,0,0,41,0,1,1,0.0,0.0,0.0,0,0,23,32,71.9,1,24,3,2,1,Granada,2020-09-12 Granada-Athletic Club,ESP-LALIGA,20-21,083135b8
5083a734,Yangel Herrera,21,VEN,AM,22-242,79,1,0,0,0,2,1,1,0,42,1,1,2,0.3,0.3,0.0,1,0,21,30,70.0,4,14,0,1,1,Granada,2020-09-12 Granada-Athletic Club,ESP-LALIGA,20-21,083135b8
5eebbfdf,Kenedy,24,BRA,"AM,LM",24-217,11,0,0,0,0,0,0,0,0,9,0,0,1,0.0,0.0,0.0,0,0,4,5,80.0,1,3,0,2,1,Granada,2020-09-12 Granada-Athletic Club,ESP-LALIGA,20-21,083135b8
719384c1,Ángel Montoro,19,ESP,DM,32-079,61,0,1,0,0,0,0,0,0,36,0,0,1,0.0,0.0,0.3,2,1,20,31,64.5,2,15,0,0,0,Granada,2020-09-12 Granada-Athletic Club,ESP-LALIGA,20-21,083135b8
b8c1de25,Maxime Gonalons,4,FRA,"DM,CM",31-186,29,0,0,0,0,0,0,1,0,17,1,0,0,0.0,0.0,0.0,0,0,9,11,81.8,0,7,0,0,0,Granada,2020-09-12 Granada-Athletic Club,ESP-LALIGA,20-21,083135b8
