id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
49fe9070,Timo Werner,11,GER,FW,25-267,81,0,0,0,0,6,0,0,0,26,1,0,0,0.5,0.5,0.0,2,0,10,14,71.4,2,17,4,2,1,Chelsea,2021-11-28 Chelsea-Manchester Utd,ENG-EPL,21-22,08b3c5d8
5eae500a,Romelu Lukaku,9,BEL,FW,28-199,9,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.1,1,0,2,2,100.0,0,3,0,1,1,Chelsea,2021-11-28 Chelsea-Manchester Utd,ENG-EPL,21-22,08b3c5d8
15f3ec41,Callum Hudson-Odoi,20,ENG,AM,21-021,77,0,0,0,0,2,2,0,0,36,2,0,0,0.5,0.5,0.3,6,0,23,29,79.3,4,30,10,1,1,Chelsea,2021-11-28 Chelsea-Manchester Utd,ENG-EPL,21-22,08b3c5d8
1bf33a9a,Christian Pulisic,10,USA,"WB,AM",23-071,13,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.1,3,0,14,17,82.4,2,14,2,1,0,Chelsea,2021-11-28 Chelsea-Manchester Utd,ENG-EPL,21-22,08b3c5d8
6622454d,Hakim Ziyech,22,MAR,AM,28-254,90,0,0,0,0,6,2,0,0,72,2,0,0,0.4,0.4,0.1,7,0,42,52,80.8,9,52,3,5,2,Chelsea,2021-11-28 Chelsea-Manchester Utd,ENG-EPL,21-22,08b3c5d8
45db685d,Jorginho,5,ITA,CM,29-343,90,1,0,1,1,0,0,1,0,76,2,3,0,0.8,0.0,0.0,2,0,59,68,86.8,10,60,1,1,1,Chelsea,2021-11-28 Chelsea-Manchester Utd,ENG-EPL,21-22,08b3c5d8
e97fd090,Ruben Loftus-Cheek,12,ENG,CM,25-309,90,0,0,0,0,2,0,0,0,59,0,1,1,0.2,0.2,0.0,2,0,40,44,90.9,6,41,4,5,2,Chelsea,2021-11-28 Chelsea-Manchester Utd,ENG-EPL,21-22,08b3c5d8
f4290206,Marcos Alonso,3,ESP,WB,30-335,77,0,0,0,0,0,0,0,0,75,1,2,3,0.0,0.0,0.1,7,1,43,63,68.3,2,35,2,0,0,Chelsea,2021-11-28 Chelsea-Manchester Utd,ENG-EPL,21-22,08b3c5d8
9674002f,Mason Mount,19,ENG,"AM,WB",22-322,13,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.1,2,0,9,12,75.0,2,14,0,1,0,Chelsea,2021-11-28 Chelsea-Manchester Utd,ENG-EPL,21-22,08b3c5d8
1265a93a,Reece James,24,ENG,WB,21-355,90,0,0,0,0,3,0,1,0,81,3,1,1,0.2,0.2,0.0,1,0,56,71,78.9,5,50,4,1,0,Chelsea,2021-11-28 Chelsea-Manchester Utd,ENG-EPL,21-22,08b3c5d8
18b896d6,Antonio Rüdiger,2,GER,CB,28-270,90,0,0,0,0,3,1,0,0,87,1,1,0,0.2,0.2,0.0,1,0,68,80,85.0,3,67,4,1,0,Chelsea,2021-11-28 Chelsea-Manchester Utd,ENG-EPL,21-22,08b3c5d8
86e7deaf,Thiago Silva,6,BRA,CB,37-067,90,0,0,0,0,1,0,0,0,91,2,1,1,0.0,0.0,0.0,5,1,77,84,91.7,2,69,0,0,0,Chelsea,2021-11-28 Chelsea-Manchester Utd,ENG-EPL,21-22,08b3c5d8
5515376c,Trevoh Chalobah,14,ENG,CB,22-146,90,0,0,0,0,0,0,0,0,95,2,3,1,0.0,0.0,0.0,1,0,73,86,84.9,8,66,1,0,0,Chelsea,2021-11-28 Chelsea-Manchester Utd,ENG-EPL,21-22,08b3c5d8
33887998,Edouard Mendy,16,SEN,GK,29-272,90,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,21,25,84.0,0,20,0,0,0,Chelsea,2021-11-28 Chelsea-Manchester Utd,ENG-EPL,21-22,08b3c5d8
a1d5bd30,Marcus Rashford,10,ENG,FW,24-028,76,0,0,0,0,0,0,1,0,25,0,0,1,0.0,0.0,0.0,0,0,13,18,72.2,1,10,2,1,0,Manchester United,2021-11-28 Chelsea-Manchester Utd,ENG-EPL,21-22,08b3c5d8
810e3c74,Jesse Lingard,14,ENG,FW,28-348,14,0,0,0,0,0,0,0,0,4,0,0,1,0.0,0.0,0.0,0,0,0,1,0.0,0,3,0,1,0,Manchester United,2021-11-28 Chelsea-Manchester Utd,ENG-EPL,21-22,08b3c5d8
dbf053da,Jadon Sancho,25,ENG,FW,21-248,63,1,0,0,0,1,1,0,0,25,0,0,0,0.8,0.8,0.0,2,1,16,21,76.2,2,12,1,1,1,Manchester United,2021-11-28 Chelsea-Manchester Utd,ENG-EPL,21-22,08b3c5d8
dea698d9,Cristiano Ronaldo,7,POR,FW,36-296,27,0,0,0,0,0,0,1,0,7,0,0,0,0.0,0.0,0.0,0,0,5,5,100.0,1,3,0,1,0,Manchester United,2021-11-28 Chelsea-Manchester Utd,ENG-EPL,21-22,08b3c5d8
507c7bdf,Bruno Fernandes,18,POR,AM,27-081,88,0,0,0,0,1,0,1,0,51,2,2,1,0.0,0.0,0.0,1,0,28,38,73.7,1,25,1,3,1,Manchester United,2021-11-28 Chelsea-Manchester Utd,ENG-EPL,21-22,08b3c5d8
50dc94ce,Donny van de Beek,34,NED,AM,24-224,2,0,0,0,0,0,0,0,0,4,1,0,1,0.0,0.0,0.0,0,0,0,0,,0,1,0,1,0,Manchester United,2021-11-28 Chelsea-Manchester Utd,ENG-EPL,21-22,08b3c5d8
b853e0ad,Fred,17,BRA,LM,28-268,90,0,0,0,0,1,1,0,0,50,2,4,2,0.1,0.1,0.0,1,1,27,35,77.1,4,25,2,2,1,Manchester United,2021-11-28 Chelsea-Manchester Utd,ENG-EPL,21-22,08b3c5d8
eb7822d7,Nemanja Matić,31,SRB,CM,33-119,90,0,0,0,0,0,0,0,0,46,4,0,0,0.0,0.0,0.0,0,0,28,37,75.7,1,22,1,2,2,Manchester United,2021-11-28 Chelsea-Manchester Utd,ENG-EPL,21-22,08b3c5d8
d93c2511,Scott McTominay,39,SCO,RM,24-355,90,0,0,0,0,0,0,1,0,44,4,0,4,0.0,0.0,0.0,0,0,24,26,92.3,1,12,0,1,1,Manchester United,2021-11-28 Chelsea-Manchester Utd,ENG-EPL,21-22,08b3c5d8
e73c9bb2,Alex Telles,27,BRA,LB,28-348,90,0,0,0,0,0,0,0,0,60,3,1,0,0.0,0.0,0.0,0,0,28,49,57.1,1,18,0,1,0,Manchester United,2021-11-28 Chelsea-Manchester Utd,ENG-EPL,21-22,08b3c5d8
a1232f4e,Eric Bailly,3,CIV,CB,27-230,90,0,0,0,0,0,0,1,0,39,2,1,1,0.0,0.0,0.0,0,0,24,26,92.3,1,20,0,0,0,Manchester United,2021-11-28 Chelsea-Manchester Utd,ENG-EPL,21-22,08b3c5d8
f5deef4c,Victor Lindelöf,2,SWE,CB,27-134,90,0,0,0,0,0,0,0,0,39,0,1,3,0.0,0.0,0.0,0,0,18,25,72.0,0,15,0,0,0,Manchester United,2021-11-28 Chelsea-Manchester Utd,ENG-EPL,21-22,08b3c5d8
9e525177,Aaron Wan-Bissaka,29,ENG,RB,24-002,90,0,0,0,0,0,0,0,0,54,3,0,6,0.0,0.0,0.0,0,0,26,36,72.2,0,21,1,5,3,Manchester United,2021-11-28 Chelsea-Manchester Utd,ENG-EPL,21-22,08b3c5d8
7ba6d84e,David de Gea,1,ESP,GK,31-021,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,14,29,48.3,0,10,0,0,0,Manchester United,2021-11-28 Chelsea-Manchester Utd,ENG-EPL,21-22,08b3c5d8
