id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
8dfed6e9,Adolfo Gaich,38,ARG,FW,23-352,64,0,0,0,0,2,0,0,0,32,0,1,0,0.1,0.1,0.0,3,0,11,19,57.9,0,20,1,4,1,Hellas Verona,2023-02-13 Hellas Verona-Salernitana,ITA-SERIA_A,22-23,0c6b5f13
8f5cdf66,Oliver Abildgaard,28,DEN,CM,26-248,26,0,0,0,0,0,0,0,0,16,1,0,1,0.0,0.0,0.0,0,0,7,12,58.3,1,3,0,0,0,Hellas Verona,2023-02-13 Hellas Verona-Salernitana,ITA-SERIA_A,22-23,0c6b5f13
5128bde4,Darko Lazović,8,SRB,AM,32-151,90,0,1,0,0,3,1,0,0,54,3,2,0,0.2,0.2,0.4,5,1,21,40,52.5,1,23,4,1,0,Hellas Verona,2023-02-13 Hellas Verona-Salernitana,ITA-SERIA_A,22-23,0c6b5f13
2b8360f1,Cyril Ngonge,26,BEL,"AM,FW",22-263,76,1,0,0,0,5,2,0,0,38,0,0,0,0.4,0.4,0.1,2,0,10,16,62.5,3,28,3,5,1,Hellas Verona,2023-02-13 Hellas Verona-Salernitana,ITA-SERIA_A,22-23,0c6b5f13
09538fdb,Kevin Lasagna,11,ITA,FW,30-187,14,0,0,0,0,0,0,0,0,5,0,1,0,0.0,0.0,0.0,0,0,1,3,33.3,0,2,0,0,0,Hellas Verona,2023-02-13 Hellas Verona-Salernitana,ITA-SERIA_A,22-23,0c6b5f13
79ca3e23,Ondrej Duda,33,SVK,"CM,AM",28-070,85,0,0,0,0,3,1,0,0,51,1,1,2,0.3,0.3,0.1,4,0,28,33,84.8,7,24,0,9,2,Hellas Verona,2023-02-13 Hellas Verona-Salernitana,ITA-SERIA_A,22-23,0c6b5f13
0375723e,Simone Verdi,7,ITA,AM,30-216,5,0,0,0,0,0,0,1,0,4,1,0,1,0.0,0.0,0.0,0,0,2,2,100.0,2,2,0,0,0,Hellas Verona,2023-02-13 Hellas Verona-Salernitana,ITA-SERIA_A,22-23,0c6b5f13
8da74c05,Adrien Tameze,61,CMR,CM,29-009,90,0,0,0,0,0,0,0,0,52,0,0,3,0.0,0.0,0.1,3,0,32,41,78.0,4,19,0,1,1,Hellas Verona,2023-02-13 Hellas Verona-Salernitana,ITA-SERIA_A,22-23,0c6b5f13
2f69d881,Josh Doig,3,SCO,WB,20-271,85,0,0,0,0,0,0,0,0,37,0,0,2,0.0,0.0,0.0,4,1,18,31,58.1,3,14,2,3,1,Hellas Verona,2023-02-13 Hellas Verona-Salernitana,ITA-SERIA_A,22-23,0c6b5f13
aae9d04a,Davide Faraoni,5,ITA,WB,31-111,5,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,0,0,0,0,Hellas Verona,2023-02-13 Hellas Verona-Salernitana,ITA-SERIA_A,22-23,0c6b5f13
d97f2e8d,Fabio Depaoli,29,ITA,WB,25-295,90,0,0,0,0,1,0,0,0,28,3,1,1,0.1,0.1,0.0,0,0,13,20,65.0,3,10,1,0,0,Hellas Verona,2023-02-13 Hellas Verona-Salernitana,ITA-SERIA_A,22-23,0c6b5f13
22ae86f9,Diego Coppola,42,ITA,CB,19-047,90,0,0,0,0,0,0,0,0,46,2,1,1,0.0,0.0,0.0,0,0,21,35,60.0,2,22,1,1,1,Hellas Verona,2023-02-13 Hellas Verona-Salernitana,ITA-SERIA_A,22-23,0c6b5f13
