id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
c3fd9887,Vedad Ibišević,19,BIH,FW,34-271,70,1,0,0,0,2,2,0,0,24,1,0,1,0.7,0.7,0.0,2,1,6,15,40.0,0,13,0,0,0,Hertha BSC,2019-05-04 Hertha BSC-Stuttgart,GER-BL1,18-19,0e59cb2d
1238a3f9,Davie Selke,27,GER,FW,24-104,20,0,0,0,0,1,0,0,0,8,0,0,0,0.1,0.1,0.0,1,0,4,6,66.7,0,7,0,0,0,Hertha BSC,2019-05-04 Hertha BSC-Stuttgart,GER-BL1,18-19,0e59cb2d
2042d931,Salomon Kalou,8,CIV,LW,33-272,90,1,0,0,0,4,1,0,0,34,1,0,0,1.2,1.2,0.1,4,0,17,22,77.3,1,26,0,4,2,Hertha BSC,2019-05-04 Hertha BSC-Stuttgart,GER-BL1,18-19,0e59cb2d
b93b7882,Mathew Leckie,11,AUS,RW,28-089,65,0,0,0,0,2,1,0,0,38,1,0,2,0.2,0.2,0.1,4,1,16,26,61.5,1,26,1,0,0,Hertha BSC,2019-05-04 Hertha BSC-Stuttgart,GER-BL1,18-19,0e59cb2d
34a0f5ff,Javairô Dilrosun,16,NED,RW,20-316,25,0,0,0,0,1,0,0,0,12,0,1,1,0.1,0.1,0.0,2,1,5,9,55.6,0,10,1,1,1,Hertha BSC,2019-05-04 Hertha BSC-Stuttgart,GER-BL1,18-19,0e59cb2d
79ca3e23,Ondrej Duda,10,SVK,AM,24-150,90,1,0,0,0,1,1,0,0,56,0,1,2,0.4,0.4,0.2,3,0,33,45,73.3,6,37,1,3,3,Hertha BSC,2019-05-04 Hertha BSC-Stuttgart,GER-BL1,18-19,0e59cb2d
88d4144a,Maximilian Mittelstädt,17,GER,DM,22-047,90,0,0,0,0,1,1,0,0,40,2,1,1,0.1,0.1,0.0,1,0,21,28,75.0,0,23,0,2,1,Hertha BSC,2019-05-04 Hertha BSC-Stuttgart,GER-BL1,18-19,0e59cb2d
ecab64a0,Per Ciljan Skjelbred,3,NOR,DM,31-322,60,0,0,0,0,0,0,0,0,50,0,1,1,0.0,0.0,0.0,0,0,37,45,82.2,3,30,0,1,1,Hertha BSC,2019-05-04 Hertha BSC-Stuttgart,GER-BL1,18-19,0e59cb2d
8b8e759d,Marko Grujić,15,SRB,DM,23-021,30,0,0,0,0,0,0,0,0,23,0,1,1,0.0,0.0,0.1,1,0,15,19,78.9,1,15,1,2,2,Hertha BSC,2019-05-04 Hertha BSC-Stuttgart,GER-BL1,18-19,0e59cb2d
