id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
638a4d71,Marvin Ducksch,7,GER,FW,30-177,89,0,0,0,0,3,1,0,0,34,1,0,0,0.2,0.2,0.0,1,0,11,27,40.7,3,11,0,2,1,Werder Bremen,2024-08-31 Werder Bremen-Dortmund,GER-BL1,24-25,0f6a93b4
8babb812,Marco Grüll,17,AUT,FW,26-056,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,0,0,0,0,Werder Bremen,2024-08-31 Werder Bremen-Dortmund,GER-BL1,24-25,0f6a93b4
a45241d5,Justin Njinmah,11,GER,AM,23-290,81,0,0,0,0,1,0,0,0,32,0,2,0,0.1,0.1,0.0,2,0,16,23,69.6,4,25,4,4,1,Werder Bremen,2024-08-31 Werder Bremen-Dortmund,GER-BL1,24-25,0f6a93b4
ebb32f3a,Keke Maximilian Topp,42,GER,AM,20-159,9,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,1,0,0,0,Werder Bremen,2024-08-31 Werder Bremen-Dortmund,GER-BL1,24-25,0f6a93b4
220ace7e,Romano Schmid,20,AUT,AM,24-217,90,0,0,0,0,1,0,0,0,37,0,0,0,0.0,0.0,0.0,2,0,20,33,60.6,3,29,1,1,0,Werder Bremen,2024-08-31 Werder Bremen-Dortmund,GER-BL1,24-25,0f6a93b4
1fffae99,Jens Stage,6,DEN,CM,27-297,90,0,0,0,0,0,0,0,0,43,1,2,1,0.0,0.0,0.0,1,0,31,36,86.1,7,25,1,2,1,Werder Bremen,2024-08-31 Werder Bremen-Dortmund,GER-BL1,24-25,0f6a93b4
0ed60738,Senne Lynen,14,BEL,CM,25-194,90,0,0,0,0,0,0,0,0,54,2,0,0,0.0,0.0,0.0,0,0,38,46,82.6,4,28,0,1,1,Werder Bremen,2024-08-31 Werder Bremen-Dortmund,GER-BL1,24-25,0f6a93b4
cb6d81b3,Felix Agu,27,GER,WB,24-339,90,0,0,0,0,0,0,0,0,49,0,1,0,0.0,0.0,0.1,2,0,37,44,84.1,4,27,3,1,1,Werder Bremen,2024-08-31 Werder Bremen-Dortmund,GER-BL1,24-25,0f6a93b4
30c220c3,Mitchell Weiser,8,GER,WB,30-132,90,0,0,0,0,0,0,1,0,56,1,0,0,0.0,0.0,0.0,0,0,32,51,62.7,2,26,4,2,0,Werder Bremen,2024-08-31 Werder Bremen-Dortmund,GER-BL1,24-25,0f6a93b4
de838f86,Anthony Jung,3,GER,CB,32-302,90,0,0,0,0,0,0,0,0,71,0,2,0,0.0,0.0,0.0,0,0,55,67,82.1,5,54,0,0,0,Werder Bremen,2024-08-31 Werder Bremen-Dortmund,GER-BL1,24-25,0f6a93b4
f86ad3f5,Marco Friedl,32,AUT,CB,26-168,90,0,0,0,0,0,0,1,0,71,4,1,0,0.0,0.0,0.0,0,0,59,62,95.2,2,47,0,0,0,Werder Bremen,2024-08-31 Werder Bremen-Dortmund,GER-BL1,24-25,0f6a93b4
aad48be9,Niklas Stark,4,GER,CB,29-139,90,0,0,0,0,0,0,0,0,82,5,1,0,0.0,0.0,0.0,1,0,58,70,82.9,4,54,0,0,0,Werder Bremen,2024-08-31 Werder Bremen-Dortmund,GER-BL1,24-25,0f6a93b4
9b688ae1,Michael Zetterer,1,GER,GK,29-050,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,32,37,86.5,0,25,0,0,0,Werder Bremen,2024-08-31 Werder Bremen-Dortmund,GER-BL1,24-25,0f6a93b4
