id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
0a447501,Antonio Sanabria,19,PAR,FW,26-050,90,0,0,0,0,1,1,0,0,36,1,0,1,0.1,0.1,0.0,1,1,23,29,79.3,1,21,0,0,0,Torino,2022-04-23 Torino-Spezia,ITA-SERIA_A,21-22,12ecb77a
2c38b327,Marko Pjaca,11,CRO,AM,26-352,60,0,0,0,0,2,0,0,0,39,0,0,0,0.4,0.4,0.4,4,0,27,31,87.1,2,32,4,1,1,Torino,2022-04-23 Torino-Spezia,ITA-SERIA_A,21-22,12ecb77a
d4a2533d,Josip Brekalo,14,CRO,AM,23-304,30,0,0,0,0,0,0,0,0,19,1,0,0,0.0,0.0,0.1,4,1,12,15,80.0,0,11,2,0,0,Torino,2022-04-23 Torino-Spezia,ITA-SERIA_A,21-22,12ecb77a
16463a79,Demba Seck,23,SEN,AM,21-072,60,0,0,0,0,2,2,0,0,27,2,0,0,0.5,0.5,0.0,4,0,15,17,88.2,1,19,3,2,1,Torino,2022-04-23 Torino-Spezia,ITA-SERIA_A,21-22,12ecb77a
86695068,Dennis Praet,22,BEL,AM,27-344,30,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.0,1,0,11,15,73.3,2,11,1,1,0,Torino,2022-04-23 Torino-Spezia,ITA-SERIA_A,21-22,12ecb77a
9823be92,Samuele Ricci,28,ITA,CM,20-245,90,0,0,0,0,0,0,0,0,76,1,0,3,0.0,0.0,0.1,2,0,63,68,92.6,3,54,1,0,0,Torino,2022-04-23 Torino-Spezia,ITA-SERIA_A,21-22,12ecb77a
c6e8cf1f,Saša Lukić,10,SRB,CM,25-253,90,2,0,1,1,2,1,0,0,79,0,1,0,0.9,0.1,0.5,4,1,67,71,94.4,5,58,3,0,0,Torino,2022-04-23 Torino-Spezia,ITA-SERIA_A,21-22,12ecb77a
be2706c0,Mërgim Vojvoda,27,KVX,WB,27-081,90,0,0,0,0,2,1,0,0,73,1,0,1,0.1,0.1,0.1,3,0,49,63,77.8,7,40,1,0,0,Torino,2022-04-23 Torino-Spezia,ITA-SERIA_A,21-22,12ecb77a
8b609c34,Wilfried Singo,17,CIV,WB,21-119,84,0,0,0,0,3,0,0,0,61,0,1,2,0.3,0.3,0.0,2,1,40,52,76.9,4,40,1,3,2,Torino,2022-04-23 Torino-Spezia,ITA-SERIA_A,21-22,12ecb77a
