id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
5eae500a,Romelu Lukaku,90,BEL,FW,30-299,87,1,0,0,0,5,3,0,0,23,2,0,0,1.0,1.0,0.1,1,0,11,14,78.6,1,14,0,0,0,Roma,2024-03-07 Roma-Brighton,UEL,23-24,1328e56d
10549b49,Sardar Azmoun,17,IRN,FW,29-066,3,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,1,0,0,0,Roma,2024-03-07 Roma-Brighton,UEL,23-24,1328e56d
d3aaad90,Stephan El Shaarawy,92,ITA,"LW,LB",31-132,87,0,2,0,0,1,1,0,0,42,2,1,0,0.0,0.0,0.9,3,2,25,32,78.1,2,25,1,1,0,Roma,2024-03-07 Roma-Brighton,UEL,23-24,1328e56d
45191c29,Nicola Zalewski,59,POL,LB,22-044,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Roma,2024-03-07 Roma-Brighton,UEL,23-24,1328e56d
e0921a4f,Paulo Dybala,21,ARG,RW,30-113,71,1,0,0,0,3,1,0,0,41,0,0,1,0.9,0.9,0.0,3,1,24,31,77.4,2,32,2,4,2,Roma,2024-03-07 Roma-Brighton,UEL,23-24,1328e56d
102e2599,Tommaso Baldanzi,35,ITA,"FW,RW",20-350,19,0,0,0,0,0,0,0,0,2,1,0,0,0.0,0.0,0.0,0,0,0,0,,0,2,0,1,0,Roma,2024-03-07 Roma-Brighton,UEL,23-24,1328e56d
4a5a45c7,Lorenzo Pellegrini,7,ITA,"LM,CM",27-262,90,0,0,0,0,2,0,0,0,42,5,1,0,0.1,0.1,0.0,3,0,25,34,73.5,0,29,1,1,1,Roma,2024-03-07 Roma-Brighton,UEL,23-24,1328e56d
dff153a4,Leandro Paredes,16,ARG,CM,29-252,71,0,1,0,0,0,0,0,0,48,1,2,1,0.0,0.0,0.8,4,2,38,43,88.4,4,37,0,1,1,Roma,2024-03-07 Roma-Brighton,UEL,23-24,1328e56d
ae94a6c5,Edoardo Bove,52,ITA,CM,21-296,19,0,0,0,0,0,0,0,0,6,2,1,0,0.0,0.0,0.0,0,0,2,2,100.0,0,0,0,0,0,Roma,2024-03-07 Roma-Brighton,UEL,23-24,1328e56d
16657b95,Bryan Cristante,4,ITA,"RM,CM",29-004,90,1,0,0,0,1,1,0,0,50,0,1,1,0.5,0.5,0.0,2,2,36,45,80.0,3,39,1,0,0,Roma,2024-03-07 Roma-Brighton,UEL,23-24,1328e56d
3626daea,Leonardo Spinazzola,37,ITA,LB,30-348,81,0,0,0,0,0,0,1,0,50,1,0,1,0.0,0.0,0.8,4,1,37,44,84.1,4,37,3,1,0,Roma,2024-03-07 Roma-Brighton,UEL,23-24,1328e56d
bba30585,Diego Llorente,14,ESP,CB,30-204,9,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,3,0,0,0,Roma,2024-03-07 Roma-Brighton,UEL,23-24,1328e56d
441197b8,Obite N'Dicka,5,CIV,CB,24-200,90,0,0,0,0,0,0,0,0,57,1,1,0,0.0,0.0,0.0,2,0,46,50,92.0,0,37,0,0,0,Roma,2024-03-07 Roma-Brighton,UEL,23-24,1328e56d
5aa53281,Gianluca Mancini,23,ITA,CB,27-325,90,1,0,0,0,2,1,0,0,50,2,0,0,0.4,0.4,0.1,2,0,36,42,85.7,1,41,1,0,0,Roma,2024-03-07 Roma-Brighton,UEL,23-24,1328e56d
31a62dc7,Zeki Çelik,19,TUR,RB,27-019,90,0,0,0,0,0,0,0,0,43,2,0,3,0.0,0.0,0.1,1,0,33,37,89.2,0,26,2,1,0,Roma,2024-03-07 Roma-Brighton,UEL,23-24,1328e56d
bcf5058a,Mile Svilar,99,SRB,GK,24-193,90,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0,0,30,43,69.8,0,36,0,0,0,Roma,2024-03-07 Roma-Brighton,UEL,23-24,1328e56d
ce5143da,Danny Welbeck,18,ENG,FW,33-102,80,0,0,0,0,3,2,0,0,27,0,0,0,0.6,0.6,0.0,0,0,17,21,81.0,0,17,1,0,0,Brighton & Hove Albion,2024-03-07 Roma-Brighton,UEL,23-24,1328e56d
4596da74,Evan Ferguson,28,IRL,FW,19-140,10,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0.0,0.0,0,0,2,2,100.0,0,2,0,0,0,Brighton & Hove Albion,2024-03-07 Roma-Brighton,UEL,23-24,1328e56d
4dcec659,Simon Adingra,24,CIV,LW,22-066,90,0,0,0,0,1,1,0,0,49,0,0,0,0.0,0.0,0.6,6,0,35,42,83.3,4,36,8,2,0,Brighton & Hove Albion,2024-03-07 Roma-Brighton,UEL,23-24,1328e56d
468a7a91,Facundo Buonanotte,40,ARG,RW,19-075,74,0,0,0,0,1,0,0,0,33,2,1,1,0.1,0.1,0.0,2,0,20,21,95.2,6,26,3,4,1,Brighton & Hove Albion,2024-03-07 Roma-Brighton,UEL,23-24,1328e56d
dad4b285,Joël Veltman,34,NED,"RB,RW",32-052,16,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,0,0,10,13,76.9,1,11,0,0,0,Brighton & Hove Albion,2024-03-07 Roma-Brighton,UEL,23-24,1328e56d
9cfbad36,Julio Enciso,10,PAR,AM,20-044,45,0,0,0,0,0,0,0,0,21,1,0,0,0.0,0.0,0.0,0,0,9,14,64.3,0,19,1,2,1,Brighton & Hove Albion,2024-03-07 Roma-Brighton,UEL,23-24,1328e56d
0ba976e4,Ansu Fati,31,ESP,AM,21-128,45,0,0,0,0,2,1,0,0,25,1,0,0,0.1,0.1,0.1,3,0,18,19,94.7,1,23,3,2,1,Brighton & Hove Albion,2024-03-07 Roma-Brighton,UEL,23-24,1328e56d
8aec0537,Pascal Groß,13,GER,DM,32-266,90,0,0,0,0,0,0,0,0,105,1,0,0,0.0,0.0,0.0,2,0,93,101,92.1,6,87,4,0,0,Brighton & Hove Albion,2024-03-07 Roma-Brighton,UEL,23-24,1328e56d
df10e27c,Billy Gilmour,11,SCO,DM,22-270,80,0,0,0,0,0,0,0,0,65,1,1,0,0.0,0.0,0.0,2,0,58,63,92.1,5,58,4,0,0,Brighton & Hove Albion,2024-03-07 Roma-Brighton,UEL,23-24,1328e56d
a1390d2f,Carlos Baleba,20,CMR,DM,20-064,10,0,0,0,0,0,0,0,0,8,0,0,1,0.0,0.0,0.0,0,0,6,7,85.7,0,4,0,0,0,Brighton & Hove Albion,2024-03-07 Roma-Brighton,UEL,23-24,1328e56d
a4e85758,Igor,3,BRA,LB,26-029,74,0,0,0,0,0,0,0,0,72,1,0,3,0.0,0.0,0.0,2,0,55,62,88.7,4,51,1,0,0,Brighton & Hove Albion,2024-03-07 Roma-Brighton,UEL,23-24,1328e56d
d38fdf53,Pervis Estupiñán,30,ECU,LB,26-046,16,0,0,0,0,1,0,0,0,14,0,0,0,0.0,0.0,0.1,3,0,12,12,100.0,3,14,2,1,0,Brighton & Hove Albion,2024-03-07 Roma-Brighton,UEL,23-24,1328e56d
282f75f3,Lewis Dunk,5,ENG,CB,32-107,90,0,0,0,0,1,0,0,0,104,2,0,2,0.0,0.0,0.0,0,0,87,95,91.6,4,78,0,1,0,Brighton & Hove Albion,2024-03-07 Roma-Brighton,UEL,23-24,1328e56d
4fd08daa,Jan Paul van Hecke,29,NED,CB,23-273,90,0,0,0,0,0,0,1,0,86,1,1,1,0.0,0.0,0.0,0,0,75,80,93.8,5,71,0,0,0,Brighton & Hove Albion,2024-03-07 Roma-Brighton,UEL,23-24,1328e56d
f4e433d4,Tariq Lamptey,2,GHA,"RB,RW",23-159,90,0,0,0,0,2,0,1,0,35,0,1,2,0.1,0.1,0.1,0,0,22,27,81.5,0,26,5,3,2,Brighton & Hove Albion,2024-03-07 Roma-Brighton,UEL,23-24,1328e56d
28300a16,Jason Steele,23,ENG,GK,33-202,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,30,37,81.1,0,37,0,0,0,Brighton & Hove Albion,2024-03-07 Roma-Brighton,UEL,23-24,1328e56d
