id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
8395ab90,Mirzad Mehanović,95,BIH,FW,24-252,82,0,0,0,0,1,0,0,0,27,0,0,0,0.0,0.0,0.2,3,0,15,24,62.5,3,13,0,0,0,Fastav Zlín,2017-09-14 Fastav Zlín-Sheriff Tiraspol,UEL,17-18,133da4ef
134832c6,Adnan Džafić,11,BIH,"RM,FW",27-127,8,0,0,0,0,1,0,0,0,11,1,1,0,0.0,0.0,0.0,0,0,2,6,33.3,0,3,0,0,0,Fastav Zlín,2017-09-14 Fastav Zlín-Sheriff Tiraspol,UEL,17-18,133da4ef
917ddcdf,Lukáš Železník,7,CZE,FW,27-088,61,0,0,0,0,1,0,0,0,26,0,0,1,0.1,0.1,0.0,0,0,9,19,47.4,3,7,0,0,0,Fastav Zlín,2017-09-14 Fastav Zlín-Sheriff Tiraspol,UEL,17-18,133da4ef
f4a8e2ed,Dame Diop,7,SEN,FW,24-211,29,0,0,0,0,2,1,0,0,13,0,0,0,0.3,0.3,0.0,2,0,8,10,80.0,2,6,0,0,0,Fastav Zlín,2017-09-14 Fastav Zlín-Sheriff Tiraspol,UEL,17-18,133da4ef
a26c1727,Vukadin Vukadinović,90,SRB,"LM,RM,FW",26-274,90,0,0,0,0,1,1,0,0,43,4,0,3,0.1,0.1,0.3,1,0,16,28,57.1,0,22,2,1,0,Fastav Zlín,2017-09-14 Fastav Zlín-Sheriff Tiraspol,UEL,17-18,133da4ef
81b013ec,Petr Jiráček,8,CZE,CM,31-196,90,0,0,0,0,0,0,0,0,47,1,2,5,0.0,0.0,0.0,2,0,29,38,76.3,5,20,1,0,0,Fastav Zlín,2017-09-14 Fastav Zlín-Sheriff Tiraspol,UEL,17-18,133da4ef
4c5e78da,Ibrahim Traoré,12,CIV,CM,28-363,90,0,0,0,0,2,1,0,0,50,1,2,0,0.1,0.1,0.0,1,0,27,39,69.2,4,22,2,2,1,Fastav Zlín,2017-09-14 Fastav Zlín-Sheriff Tiraspol,UEL,17-18,133da4ef
fb517645,Ubong Moses Ekpai,28,NGA,RM,21-332,67,0,0,0,0,0,0,1,0,35,1,0,1,0.0,0.0,0.0,1,0,16,23,69.6,0,20,3,5,1,Fastav Zlín,2017-09-14 Fastav Zlín-Sheriff Tiraspol,UEL,17-18,133da4ef
3811e046,Lukáš Bartošák,22,CZE,"LM,RM",27-073,23,0,0,0,0,0,0,0,0,13,1,0,1,0.0,0.0,0.0,1,0,6,9,66.7,1,7,0,1,0,Fastav Zlín,2017-09-14 Fastav Zlín-Sheriff Tiraspol,UEL,17-18,133da4ef
6809ec76,Daniel Holzer,14,CZE,LB,22-027,90,0,0,0,0,0,0,0,0,78,1,2,0,0.0,0.0,0.0,1,0,51,68,75.0,9,30,5,2,1,Fastav Zlín,2017-09-14 Fastav Zlín-Sheriff Tiraspol,UEL,17-18,133da4ef
6419c6f7,Zoran Gajić,18,SRB,CB,27-119,90,0,0,0,0,1,0,0,0,60,1,2,1,0.0,0.0,0.0,1,0,32,44,72.7,2,22,1,0,0,Fastav Zlín,2017-09-14 Fastav Zlín-Sheriff Tiraspol,UEL,17-18,133da4ef
4285332d,Ondřej Bačo,27,CZE,CB,21-173,90,0,0,0,0,0,0,0,0,44,2,1,1,0.0,0.0,0.0,1,0,25,26,96.2,2,9,0,0,0,Fastav Zlín,2017-09-14 Fastav Zlín-Sheriff Tiraspol,UEL,17-18,133da4ef
8270ccf9,Róbert Matejov,16,SVK,RB,29-071,90,0,0,0,0,0,0,0,0,76,2,1,1,0.0,0.0,0.0,1,0,43,66,65.2,6,27,5,4,3,Fastav Zlín,2017-09-14 Fastav Zlín-Sheriff Tiraspol,UEL,17-18,133da4ef
