id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
0b4d8274,Romain Hamouma,21,FRA,FW,31-325,70,0,0,0,0,1,0,0,0,40,1,0,0,0.1,0.1,0.2,4,0,28,33,84.8,1,24,3,1,1,Saint-Étienne,2019-02-17 Saint-Étienne-Paris S-G,FRA-L1,18-19,1351e4d4
9001138b,Robert Berić,27,SVN,FW,27-245,20,0,0,0,0,1,0,0,0,5,0,0,0,0.1,0.1,0.0,0,0,2,3,66.7,1,0,0,0,0,Saint-Étienne,2019-02-17 Saint-Étienne-Paris S-G,FRA-L1,18-19,1351e4d4
2677a1de,Wahbi Khazri,10,TUN,"FW,CM,RW",28-009,90,0,0,0,0,3,0,1,0,37,1,2,0,0.1,0.1,0.0,2,0,15,26,57.7,2,19,1,0,0,Saint-Étienne,2019-02-17 Saint-Étienne-Paris S-G,FRA-L1,18-19,1351e4d4
148e136f,Rémy Cabella,7,FRA,"AM,RM,CM",28-346,90,0,0,0,0,1,0,0,0,60,1,0,3,0.0,0.0,0.0,1,0,36,48,75.0,6,31,9,1,1,Saint-Étienne,2019-02-17 Saint-Étienne-Paris S-G,FRA-L1,18-19,1351e4d4
d4133fa1,Yann M'Vila,6,FRA,"CM,LM",28-233,90,0,0,0,0,0,0,0,0,68,3,4,0,0.0,0.0,0.0,3,0,49,57,86.0,6,26,0,0,0,Saint-Étienne,2019-02-17 Saint-Étienne-Paris S-G,FRA-L1,18-19,1351e4d4
c46fa34c,Youssef Aït Bennasser,8,MAR,"CM,RB,RM",22-225,90,0,0,0,0,0,0,0,0,79,3,2,2,0.0,0.0,0.2,5,0,62,71,87.3,7,37,0,3,3,Saint-Étienne,2019-02-17 Saint-Étienne-Paris S-G,FRA-L1,18-19,1351e4d4
4914ed4a,Gabriel Silva,11,BRA,"WB,LB",27-280,90,0,0,0,0,1,0,0,0,44,1,0,0,0.1,0.1,0.0,0,0,35,38,92.1,4,22,0,0,0,Saint-Étienne,2019-02-17 Saint-Étienne-Paris S-G,FRA-L1,18-19,1351e4d4
4a57580c,Kévin Monnet-Paquet,22,FRA,"WB,RB",30-182,85,0,0,0,0,4,2,0,0,56,4,0,1,0.2,0.2,0.1,3,0,34,44,77.3,4,26,0,2,0,Saint-Étienne,2019-02-17 Saint-Étienne-Paris S-G,FRA-L1,18-19,1351e4d4
7b9a9e25,Arnaud Nordin,18,FRA,RW,20-245,5,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,0,Saint-Étienne,2019-02-17 Saint-Étienne-Paris S-G,FRA-L1,18-19,1351e4d4
ab096c6f,Timothée Kolodziejczak,5,FRA,CB,27-139,90,0,0,0,0,0,0,0,0,50,2,1,0,0.0,0.0,0.0,0,0,36,45,80.0,3,29,3,0,0,Saint-Étienne,2019-02-17 Saint-Étienne-Paris S-G,FRA-L1,18-19,1351e4d4
6b200d45,Loïc Perrin,24,FRA,CB,33-194,90,0,0,0,0,0,0,0,0,46,2,1,0,0.0,0.0,0.0,1,0,36,39,92.3,0,16,0,1,1,Saint-Étienne,2019-02-17 Saint-Étienne-Paris S-G,FRA-L1,18-19,1351e4d4
92232aad,Mathieu Debuchy,26,FRA,CB,33-204,79,0,0,0,0,0,0,0,0,40,2,5,0,0.0,0.0,0.0,0,0,23,31,74.2,1,22,2,1,1,Saint-Étienne,2019-02-17 Saint-Étienne-Paris S-G,FRA-L1,18-19,1351e4d4
4be0b467,Lois Diony,9,FRA,LW,26-059,11,0,0,0,0,0,0,0,0,4,1,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,5,0,0,0,Saint-Étienne,2019-02-17 Saint-Étienne-Paris S-G,FRA-L1,18-19,1351e4d4
