id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
743fd71f,Vagner Gonçalves,27,CPV,FW,25-035,62,0,0,0,0,2,0,0,0,26,2,0,0,0.1,0.1,0.7,5,0,13,18,72.2,1,18,1,1,1,Metz,2021-02-14 Metz-Strasbourg,FRA-L1,20-21,13dd281c
29ef0f49,Aaron Leya Iseka,24,BEL,FW,23-091,28,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,0,5,0.0,0,7,0,0,0,Metz,2021-02-14 Metz-Strasbourg,FRA-L1,20-21,13dd281c
a0791826,Farid Boulaya,10,ALG,AM,27-355,90,0,0,0,0,3,0,0,0,57,1,0,0,0.1,0.1,0.3,6,0,31,47,66.0,6,30,5,3,2,Metz,2021-02-14 Metz-Strasbourg,FRA-L1,20-21,13dd281c
87e9c7cd,Papa Ndiaga Yade,26,MTN,AM,21-040,62,0,1,0,0,2,0,0,0,24,0,0,0,0.1,0.1,0.5,4,2,10,13,76.9,2,14,1,1,1,Metz,2021-02-14 Metz-Strasbourg,FRA-L1,20-21,13dd281c
514270e8,Youssef Maziz,22,FRA,AM,22-235,28,0,0,0,0,1,0,0,0,14,0,2,1,0.0,0.0,0.0,0,0,6,9,66.7,1,5,0,0,0,Metz,2021-02-14 Metz-Strasbourg,FRA-L1,20-21,13dd281c
e768de1f,Habib Maïga,19,CIV,CM,25-044,90,0,0,0,0,3,0,0,0,57,3,4,1,0.2,0.2,0.1,6,0,34,41,82.9,4,34,0,2,0,Metz,2021-02-14 Metz-Strasbourg,FRA-L1,20-21,13dd281c
feb5d972,Pape Matar Sarr,15,SEN,CM,18-153,36,0,0,0,0,0,0,0,0,20,0,0,1,0.0,0.0,0.0,1,0,13,14,92.9,2,10,1,1,1,Metz,2021-02-14 Metz-Strasbourg,FRA-L1,20-21,13dd281c
93b8f9f4,Warren Tchimbembé,12,CGO,CM,22-299,54,0,0,0,0,0,0,0,0,36,1,0,0,0.0,0.0,0.0,1,0,25,31,80.6,3,20,0,0,0,Metz,2021-02-14 Metz-Strasbourg,FRA-L1,20-21,13dd281c
8332db56,Thomas Delaine,17,FRA,WB,28-327,90,1,0,0,0,2,2,1,0,74,2,0,1,1.0,1.0,0.1,3,0,52,66,78.8,2,47,8,5,3,Metz,2021-02-14 Metz-Strasbourg,FRA-L1,20-21,13dd281c
3c6bbbab,Fabien Centonze,18,FRA,WB,25-029,90,0,0,0,0,0,0,0,0,54,0,2,1,0.0,0.0,0.0,0,0,30,42,71.4,2,29,1,5,2,Metz,2021-02-14 Metz-Strasbourg,FRA-L1,20-21,13dd281c
861227d2,John Boye,21,GHA,CB,33-297,90,0,0,0,0,0,0,0,0,44,2,3,1,0.0,0.0,0.0,0,0,24,30,80.0,1,17,0,0,0,Metz,2021-02-14 Metz-Strasbourg,FRA-L1,20-21,13dd281c
562a4799,Boubakar Kouyaté,23,MLI,CB,23-305,90,0,0,0,0,1,0,1,0,62,1,3,2,0.2,0.2,0.0,1,0,37,51,72.5,0,30,0,0,0,Metz,2021-02-14 Metz-Strasbourg,FRA-L1,20-21,13dd281c
edd81e2a,Dylan Bronn,2,TUN,CB,25-240,90,0,0,0,0,0,0,0,0,52,2,1,1,0.0,0.0,0.1,1,0,33,43,76.7,1,21,0,0,0,Metz,2021-02-14 Metz-Strasbourg,FRA-L1,20-21,13dd281c
ae7d0ecd,Alexandre Oukidja,16,ALG,GK,32-210,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,21,32,65.6,0,17,0,0,0,Metz,2021-02-14 Metz-Strasbourg,FRA-L1,20-21,13dd281c
462475ed,Ludovic Ajorque,25,FRA,FW,26-355,90,0,0,0,0,1,0,0,0,48,1,1,0,0.1,0.1,0.0,4,0,22,36,61.1,4,24,0,0,0,Strasbourg,2021-02-14 Metz-Strasbourg,FRA-L1,20-21,13dd281c
6605d143,Habib Diallo,28,SEN,FW,25-241,90,0,0,0,0,3,0,0,0,43,0,0,0,0.3,0.3,0.1,2,0,18,27,66.7,0,25,2,1,1,Strasbourg,2021-02-14 Metz-Strasbourg,FRA-L1,20-21,13dd281c
c76b7567,Adrien Thomasson,26,FRA,AM,27-066,90,2,0,0,0,2,2,0,0,51,2,0,4,0.9,0.9,0.2,6,1,30,38,78.9,6,24,2,4,3,Strasbourg,2021-02-14 Metz-Strasbourg,FRA-L1,20-21,13dd281c
