id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
24228180,Bruno Petković,70,CRO,"FW,LW,LM",23-141,90,0,0,0,0,1,0,0,0,22,1,1,2,0.1,0.1,0.1,2,0,7,14,50.0,1,16,1,2,1,Hellas Verona,2018-02-04 Hellas Verona-Roma,ITA-SERIA_A,17-18,172944d7
7280b54f,Ryder Matos,7,BRA,"FW,RW,LW",24-342,90,0,0,0,0,3,1,0,0,44,1,0,0,0.1,0.1,0.0,1,0,28,32,87.5,2,38,4,3,2,Hellas Verona,2018-02-04 Hellas Verona-Roma,ITA-SERIA_A,17-18,172944d7
c5942695,Rolando Aarons,16,ENG,"RW,LM,FW",22-080,70,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,0,0,9,12,75.0,3,15,1,0,0,Hellas Verona,2018-02-04 Hellas Verona-Roma,ITA-SERIA_A,17-18,172944d7
0f22b650,Lee Seung-woo,9,KOR,"LM,AM",20-029,20,0,0,0,0,1,0,0,0,16,1,0,0,0.0,0.0,0.0,0,0,5,12,41.7,0,11,0,0,0,Hellas Verona,2018-02-04 Hellas Verona-Roma,ITA-SERIA_A,17-18,172944d7
2edeb221,Marcel Büchel,77,LIE,CM,26-323,87,0,0,0,0,0,0,1,0,60,3,1,2,0.0,0.0,0.0,2,0,37,50,74.0,6,29,0,1,1,Hellas Verona,2018-02-04 Hellas Verona-Roma,ITA-SERIA_A,17-18,172944d7
f7c9fcd6,Samuel Souprayen,26,FRA,"RM,LM",28-351,3,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,2,0,0,0,Hellas Verona,2018-02-04 Hellas Verona-Roma,ITA-SERIA_A,17-18,172944d7
c414df9d,Mattia Valoti,27,ITA,"CM,LM",24-151,66,0,0,0,0,0,0,0,0,25,5,4,2,0.0,0.0,0.0,1,0,10,16,62.5,3,12,1,0,0,Hellas Verona,2018-02-04 Hellas Verona-Roma,ITA-SERIA_A,17-18,172944d7
9dabfcf5,Simone Calvano,23,ITA,"CM,DM,LM",24-208,24,0,0,0,0,1,0,0,0,15,0,0,0,0.1,0.1,0.0,0,0,10,14,71.4,1,9,0,0,0,Hellas Verona,2018-02-04 Hellas Verona-Roma,ITA-SERIA_A,17-18,172944d7
07abb358,Rômulo,2,ITA,"RM,CM",30-258,90,0,0,0,0,0,0,0,0,52,1,2,0,0.0,0.0,0.2,5,0,34,44,77.3,4,33,8,4,2,Hellas Verona,2018-02-04 Hellas Verona-Roma,ITA-SERIA_A,17-18,172944d7
b7a5bc86,Mohamed Fares,93,ALG,"LB,LW",21-354,90,0,0,0,0,1,0,1,0,68,2,6,0,0.0,0.0,0.0,1,0,36,48,75.0,3,36,2,3,2,Hellas Verona,2018-02-04 Hellas Verona-Roma,ITA-SERIA_A,17-18,172944d7
ba06950a,Jagoš Vuković,26,SRB,CB,29-239,90,0,0,0,0,0,0,0,0,49,0,1,0,0.0,0.0,0.0,0,0,32,40,80.0,4,26,0,0,0,Hellas Verona,2018-02-04 Hellas Verona-Roma,ITA-SERIA_A,17-18,172944d7
99d8fc35,Antonio Caracciolo,2,ITA,CB,27-219,90,0,0,0,0,0,0,1,0,48,1,3,2,0.0,0.0,0.0,1,0,27,32,84.4,0,22,0,0,0,Hellas Verona,2018-02-04 Hellas Verona-Roma,ITA-SERIA_A,17-18,172944d7
d0dbca9f,Alex Ferrari,28,ITA,"RB,CB",23-218,90,0,0,0,0,2,0,0,0,55,4,2,1,0.1,0.1,0.0,1,0,27,38,71.1,2,24,4,1,1,Hellas Verona,2018-02-04 Hellas Verona-Roma,ITA-SERIA_A,17-18,172944d7
326d09ef,Nícolas Andrade,1,BRA,GK,29-298,90,0,0,0,0,0,0,0,0,49,0,0,0,0.0,0.0,0.0,1,0,25,45,55.6,0,26,0,0,0,Hellas Verona,2018-02-04 Hellas Verona-Roma,ITA-SERIA_A,17-18,172944d7
3bb7f478,Edin Džeko,9,BIH,FW,31-324,88,0,0,0,0,9,3,0,0,47,0,0,0,1.2,1.2,0.0,5,0,19,32,59.4,2,27,5,4,3,Roma,2018-02-04 Hellas Verona-Roma,ITA-SERIA_A,17-18,172944d7
854ee61a,Grégoire Defrel,23,MTQ,FW,26-232,2,0,0,0,0,0,0,0,0,5,0,0,1,0.0,0.0,0.4,2,0,3,3,100.0,0,1,1,1,1,Roma,2018-02-04 Hellas Verona-Roma,ITA-SERIA_A,17-18,172944d7
