id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
abb3bb95,Luuk de Jong,9,NED,FW,33-073,89,1,0,0,0,1,1,0,0,44,0,1,0,0.1,0.1,0.2,5,0,24,35,68.6,2,24,0,0,0,PSV Eindhoven,2023-11-08 PSV Eindhoven-Lens,UCL,23-24,17d16c49
a2b1ed42,Ricardo Pepi,14,USA,FW,20-303,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,PSV Eindhoven,2023-11-08 PSV Eindhoven-Lens,UCL,23-24,17d16c49
a69e4806,Hirving Lozano,27,MEX,LW,28-101,89,0,0,0,0,6,3,1,0,46,2,0,3,0.3,0.3,0.0,1,0,22,28,78.6,2,36,5,3,1,PSV Eindhoven,2023-11-08 PSV Eindhoven-Lens,UCL,23-24,17d16c49
e8ef59da,Yorbe Vertessen,32,BEL,LW,22-304,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,PSV Eindhoven,2023-11-08 PSV Eindhoven-Lens,UCL,23-24,17d16c49
0caa2fd4,Johan Bakayoko,11,BEL,RW,20-202,90,0,1,0,0,4,0,0,0,47,1,0,0,0.2,0.2,0.2,4,1,21,32,65.6,2,30,4,5,3,PSV Eindhoven,2023-11-08 PSV Eindhoven-Lens,UCL,23-24,17d16c49
6e44569a,Guus Til,20,NED,AM,25-321,65,0,0,0,0,1,1,0,0,19,2,0,1,0.0,0.0,0.1,2,0,12,14,85.7,1,11,1,2,1,PSV Eindhoven,2023-11-08 PSV Eindhoven-Lens,UCL,23-24,17d16c49
a5420709,Malik Tillman,10,USA,AM,21-164,25,0,0,0,0,0,0,0,0,14,4,1,2,0.0,0.0,0.0,3,0,5,8,62.5,1,6,1,1,0,PSV Eindhoven,2023-11-08 PSV Eindhoven-Lens,UCL,23-24,17d16c49
18fae4ac,Joey Veerman,23,NED,DM,24-354,65,0,0,0,0,1,1,0,0,55,2,1,1,0.1,0.1,0.1,3,0,32,44,72.7,6,26,0,0,0,PSV Eindhoven,2023-11-08 PSV Eindhoven-Lens,UCL,23-24,17d16c49
3ec9f005,Ismael Saibari,34,MAR,DM,22-284,25,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,3,7,42.9,0,7,0,0,0,PSV Eindhoven,2023-11-08 PSV Eindhoven-Lens,UCL,23-24,17d16c49
2cfae697,Jerdy Schouten,22,NED,DM,26-300,90,0,0,0,0,0,0,0,0,60,3,2,3,0.0,0.0,0.1,3,1,37,50,74.0,5,28,0,3,1,PSV Eindhoven,2023-11-08 PSV Eindhoven-Lens,UCL,23-24,17d16c49
5976f83e,Sergiño Dest,8,USA,LB,23-005,90,0,0,0,0,1,1,0,0,57,3,0,1,0.0,0.0,0.0,1,0,31,41,75.6,3,23,1,0,0,PSV Eindhoven,2023-11-08 PSV Eindhoven-Lens,UCL,23-24,17d16c49
403f5d20,Olivier Boscagli,18,FRA,CB,25-355,90,0,0,0,0,0,0,0,0,64,2,3,2,0.0,0.0,0.0,0,0,31,49,63.3,3,24,0,0,0,PSV Eindhoven,2023-11-08 PSV Eindhoven-Lens,UCL,23-24,17d16c49
7483d9f9,André Ramalho,5,BRA,CB,31-265,90,0,0,0,0,0,0,1,0,46,3,1,4,0.0,0.0,0.1,2,0,29,35,82.9,3,19,0,0,0,PSV Eindhoven,2023-11-08 PSV Eindhoven-Lens,UCL,23-24,17d16c49
82e9b1bb,Jordan Teze,3,NED,RB,24-039,90,0,0,0,0,0,0,0,0,55,1,0,0,0.0,0.0,0.0,1,0,40,50,80.0,7,32,0,0,0,PSV Eindhoven,2023-11-08 PSV Eindhoven-Lens,UCL,23-24,17d16c49
8a2248b4,Walter Benítez,1,ARG,GK,30-293,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,1,0,18,32,56.3,0,22,0,0,0,PSV Eindhoven,2023-11-08 PSV Eindhoven-Lens,UCL,23-24,17d16c49
0d7b6576,Elye Wahi,9,FRA,FW,20-310,81,0,0,0,0,2,0,1,0,21,0,0,0,0.1,0.1,0.0,1,0,10,13,76.9,1,12,1,3,0,Lens,2023-11-08 PSV Eindhoven-Lens,UCL,23-24,17d16c49
90fcf472,Wesley Saïd,22,FRA,FW,28-203,9,0,0,0,0,1,0,0,0,7,1,0,0,0.0,0.0,0.1,4,0,4,5,80.0,1,5,1,1,1,Lens,2023-11-08 PSV Eindhoven-Lens,UCL,23-24,17d16c49
c76b7567,Adrien Thomasson,28,FRA,AM,29-333,64,0,0,0,0,1,0,0,0,45,0,0,2,0.1,0.1,0.1,3,0,26,39,66.7,2,26,1,0,0,Lens,2023-11-08 PSV Eindhoven-Lens,UCL,23-24,17d16c49
4b96c347,Angelo Fulgini,11,FRA,AM,27-080,26,0,0,0,0,2,1,0,0,20,1,0,0,0.6,0.6,0.0,1,0,9,16,56.3,1,7,1,0,0,Lens,2023-11-08 PSV Eindhoven-Lens,UCL,23-24,17d16c49
7a42d0df,Florian Sotoca,7,FRA,"AM,WB",33-014,90,0,0,0,0,3,0,1,0,64,0,0,0,0.1,0.1,0.0,0,0,35,53,66.0,5,40,0,1,0,Lens,2023-11-08 PSV Eindhoven-Lens,UCL,23-24,17d16c49
1598599e,Nampalys Mendy,26,SEN,CM,31-138,65,0,0,0,0,0,0,0,0,34,1,2,0,0.0,0.0,0.0,2,0,21,26,80.8,1,17,0,1,0,Lens,2023-11-08 PSV Eindhoven-Lens,UCL,23-24,17d16c49
