id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
ca618d23,Lucas Höler,9,GER,FW,29-208,82,0,0,0,0,0,0,0,0,28,0,0,1,0.0,0.0,0.0,0,0,10,21,47.6,0,20,0,0,0,Freiburg,2024-02-03 Freiburg-Stuttgart,GER-BL1,23-24,1caf6190
061e8e23,Maximilian Philipp,26,GER,CM,29-339,8,0,0,0,0,0,0,1,0,6,1,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,3,0,0,0,Freiburg,2024-02-03 Freiburg-Stuttgart,GER-BL1,23-24,1caf6190
54e4866f,Vincenzo Grifo,32,ITA,LW,30-302,82,0,1,0,0,0,0,0,0,44,2,1,0,0.0,0.0,0.4,3,1,30,38,78.9,2,25,0,1,0,Freiburg,2024-02-03 Freiburg-Stuttgart,GER-BL1,23-24,1caf6190
dd676a97,Noah Weißhaupt,7,GER,LB,22-136,8,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,0,0,0,0,Freiburg,2024-02-03 Freiburg-Stuttgart,GER-BL1,23-24,1caf6190
bf075f6b,Roland Sallai,22,HUN,"RW,RM",26-257,90,0,0,0,0,1,0,0,0,37,1,1,0,0.0,0.0,0.2,4,0,14,22,63.6,3,25,3,5,2,Freiburg,2024-02-03 Freiburg-Stuttgart,GER-BL1,23-24,1caf6190
1f2c7b55,Merlin Röhl,34,GER,AM,21-213,17,0,0,0,0,0,0,0,1,7,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,1,7,1,0,0,Freiburg,2024-02-03 Freiburg-Stuttgart,GER-BL1,23-24,1caf6190
5d8e331f,Nicolas Höfler,27,GER,DM,33-331,72,0,0,0,0,0,0,0,0,47,3,0,0,0.0,0.0,0.0,0,0,36,42,85.7,3,30,0,0,0,Freiburg,2024-02-03 Freiburg-Stuttgart,GER-BL1,23-24,1caf6190
8e235926,Michael Gregoritsch,38,AUT,"FW,DM",29-291,18,0,0,0,0,1,0,0,0,12,0,0,0,0.2,0.2,0.0,0,0,4,9,44.4,0,7,1,0,0,Freiburg,2024-02-03 Freiburg-Stuttgart,GER-BL1,23-24,1caf6190
beb882a8,Maximilian Eggestein,8,GER,"DM,CM",27-057,90,0,0,0,0,2,1,1,0,37,2,0,0,0.1,0.1,0.0,1,0,23,28,82.1,5,22,1,1,0,Freiburg,2024-02-03 Freiburg-Stuttgart,GER-BL1,23-24,1caf6190
14b09c41,Jordy Makengo,33,FRA,LB,22-184,72,0,0,0,0,0,0,0,0,29,0,1,1,0.0,0.0,0.0,0,0,20,24,83.3,2,14,0,4,1,Freiburg,2024-02-03 Freiburg-Stuttgart,GER-BL1,23-24,1caf6190
8593f88c,Christian Günter,30,GER,"CB,LB",30-340,18,0,0,0,0,0,0,0,0,13,3,0,0,0.0,0.0,0.0,2,0,5,10,50.0,1,5,1,0,0,Freiburg,2024-02-03 Freiburg-Stuttgart,GER-BL1,23-24,1caf6190
25ab9c9c,Manuel Gulde,5,GER,CB,32-356,90,0,0,0,0,0,0,0,0,41,0,1,0,0.0,0.0,0.0,0,0,27,36,75.0,4,28,0,0,0,Freiburg,2024-02-03 Freiburg-Stuttgart,GER-BL1,23-24,1caf6190
f521b80a,Matthias Ginter,28,GER,CB,30-015,81,0,0,0,0,1,1,1,0,44,3,1,2,0.3,0.3,0.0,1,0,29,35,82.9,3,29,1,0,0,Freiburg,2024-02-03 Freiburg-Stuttgart,GER-BL1,23-24,1caf6190
ae961785,Florent Muslija,23,KVX,LM,25-212,9,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,4,6,66.7,2,3,0,0,0,Freiburg,2024-02-03 Freiburg-Stuttgart,GER-BL1,23-24,1caf6190
2a29eb9b,Lukas Kübler,17,GER,RB,31-157,90,1,0,0,0,1,1,1,0,78,5,3,5,0.1,0.1,0.0,1,1,42,60,70.0,4,28,2,1,0,Freiburg,2024-02-03 Freiburg-Stuttgart,GER-BL1,23-24,1caf6190
dbd1b101,Noah Atubolu,1,GER,GK,21-254,90,0,0,0,0,0,0,0,0,53,0,0,0,0.0,0.0,0.0,0,0,33,48,68.8,0,31,0,0,0,Freiburg,2024-02-03 Freiburg-Stuttgart,GER-BL1,23-24,1caf6190
dd549382,Deniz Undav,26,GER,FW,27-199,90,1,2,0,0,5,3,0,0,32,2,0,0,0.6,0.6,0.4,3,2,19,25,76.0,3,23,3,0,0,Stuttgart,2024-02-03 Freiburg-Stuttgart,GER-BL1,23-24,1caf6190
0cf778df,Chris Führich,27,GER,AM,26-025,75,1,0,0,0,2,1,0,0,50,0,0,0,0.3,0.3,0.0,5,0,37,43,86.0,3,37,5,5,3,Stuttgart,2024-02-03 Freiburg-Stuttgart,GER-BL1,23-24,1caf6190
13fe7b69,Jamie Leweling,18,GER,"FW,AM",22-342,15,0,0,0,0,2,2,0,0,11,0,0,0,0.2,0.2,0.0,1,0,7,8,87.5,1,10,5,0,0,Stuttgart,2024-02-03 Freiburg-Stuttgart,GER-BL1,23-24,1caf6190
f76022e7,Enzo Millot,8,FRA,AM,21-201,75,0,0,0,0,3,0,0,0,56,0,1,2,0.3,0.3,0.3,2,0,37,44,84.1,4,34,0,3,1,Stuttgart,2024-02-03 Freiburg-Stuttgart,GER-BL1,23-24,1caf6190
