id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
01eb744d,Ángel Correa,11,ARG,"RW,FW",22-202,69,0,0,0,0,1,0,0,0,29,1,1,1,0.0,0.0,0.0,3,0,14,21,66.7,2,27,2,4,2,Atlético Madrid,2017-09-27 Atlético Madrid-Chelsea,UCL,17-18,1df64d2e
7ebfac0f,Nicolás Gaitán,22,ARG,"LM,LW,RW",29-216,21,0,0,0,0,0,0,0,0,18,0,1,0,0.0,0.0,0.1,2,0,15,17,88.2,2,11,0,0,0,Atlético Madrid,2017-09-27 Atlético Madrid-Chelsea,UCL,17-18,1df64d2e
df69b544,Antoine Griezmann,7,FRA,"FW,RM,RW",26-190,90,1,0,1,1,1,0,1,0,38,3,1,1,0.8,0.0,0.0,1,0,22,30,73.3,2,17,2,1,1,Atlético Madrid,2017-09-27 Atlético Madrid-Chelsea,UCL,17-18,1df64d2e
de39485a,Yannick Carrasco,10,BEL,"LW,LM",24-023,68,0,0,0,0,1,0,0,0,25,1,1,2,0.0,0.0,0.0,2,1,14,18,77.8,0,18,4,3,2,Atlético Madrid,2017-09-27 Atlético Madrid-Chelsea,UCL,17-18,1df64d2e
bdf7b97d,Fernando Torres,9,ESP,"FW,LW",33-191,22,0,0,0,0,2,1,0,0,17,0,0,0,0.1,0.1,0.0,2,0,12,13,92.3,1,12,4,0,0,Atlético Madrid,2017-09-27 Atlético Madrid-Chelsea,UCL,17-18,1df64d2e
55126f3b,Koke,6,ESP,CM,25-262,90,0,0,0,0,1,1,0,0,91,3,0,2,0.0,0.0,0.1,3,0,68,85,80.0,15,62,4,0,0,Atlético Madrid,2017-09-27 Atlético Madrid-Chelsea,UCL,17-18,1df64d2e
529f49ab,Thomas Partey,5,GHA,CM,24-106,76,0,0,0,0,1,0,1,0,56,1,0,4,0.0,0.0,0.0,1,0,45,46,97.8,3,32,0,0,0,Atlético Madrid,2017-09-27 Atlético Madrid-Chelsea,UCL,17-18,1df64d2e
f0da930c,José María Giménez,24,URU,"CB,CM",22-250,14,0,0,0,0,1,0,0,0,23,1,0,0,0.0,0.0,0.0,1,0,15,18,83.3,2,10,1,0,0,Atlético Madrid,2017-09-27 Atlético Madrid-Chelsea,UCL,17-18,1df64d2e
c14bc029,Saúl Ñíguez,8,ESP,"CM,RM",22-310,90,0,0,0,0,3,1,0,0,69,3,6,3,0.4,0.4,0.0,2,0,35,50,70.0,2,35,1,0,0,Atlético Madrid,2017-09-27 Atlético Madrid-Chelsea,UCL,17-18,1df64d2e
e4ed2628,Filipe Luís,3,BRA,LB,32-049,90,0,0,0,0,0,0,0,0,79,5,0,4,0.0,0.0,0.0,1,0,55,64,85.9,4,51,9,5,2,Atlético Madrid,2017-09-27 Atlético Madrid-Chelsea,UCL,17-18,1df64d2e
