id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
bdedd861,Rachid Alioui,7,MAR,FW,27-168,90,0,0,0,0,4,1,0,0,31,0,0,1,0.2,0.2,0.0,2,0,16,19,84.2,3,20,1,1,0,Angers,2019-12-03 Angers-Marseille,FRA-L1,19-20,1e20a4d3
79b2399c,Pierrick Capelle,15,FRA,LM,32-232,57,0,0,0,0,3,1,0,0,30,2,0,0,0.5,0.5,0.0,1,0,16,24,66.7,1,8,0,0,0,Angers,2019-12-03 Angers-Marseille,FRA-L1,19-20,1e20a4d3
8846a40f,Mathias Pereira Lage,27,POR,"RM,LM",23-003,33,0,0,0,0,0,0,0,0,22,1,0,0,0.0,0.0,0.0,0,0,15,18,83.3,1,10,0,1,0,Angers,2019-12-03 Angers-Marseille,FRA-L1,19-20,1e20a4d3
c801616a,Thomas Mangani,5,FRA,CM,32-218,70,0,0,0,0,0,0,0,0,63,2,0,0,0.0,0.0,0.0,2,0,50,59,84.7,10,27,3,3,2,Angers,2019-12-03 Angers-Marseille,FRA-L1,19-20,1e20a4d3
450e277f,Mateo Pavlović,4,BIH,FW,29-177,20,0,0,0,0,1,0,0,0,14,0,0,1,0.1,0.1,0.0,0,0,6,11,54.5,0,2,0,0,0,Angers,2019-12-03 Angers-Marseille,FRA-L1,19-20,1e20a4d3
4b96c347,Angelo Fulgini,10,FRA,CM,23-105,76,0,0,0,0,1,0,0,0,63,0,1,1,0.0,0.0,0.0,3,0,41,53,77.4,6,36,2,5,4,Angers,2019-12-03 Angers-Marseille,FRA-L1,19-20,1e20a4d3
7d937aa1,Antonin Bobichon,23,FRA,CM,24-080,14,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,11,14,78.6,2,5,0,0,0,Angers,2019-12-03 Angers-Marseille,FRA-L1,19-20,1e20a4d3
f4bc42b1,Sada Thioub,20,SEN,"RM,LM",24-185,90,0,0,0,0,0,0,0,0,59,2,0,1,0.0,0.0,0.1,4,0,32,46,69.6,3,34,3,10,5,Angers,2019-12-03 Angers-Marseille,FRA-L1,19-20,1e20a4d3
5e22e2a4,Baptiste Santamaria,18,FRA,"DM,CM",24-269,90,0,0,0,0,0,0,0,0,88,2,2,2,0.0,0.0,0.0,0,0,59,79,74.7,7,25,1,1,1,Angers,2019-12-03 Angers-Marseille,FRA-L1,19-20,1e20a4d3
9b398aea,Rayan Aït-Nouri,2,ALG,LB,18-180,90,0,0,0,0,0,0,0,0,95,1,1,3,0.0,0.0,0.1,3,0,70,82,85.4,5,35,2,3,1,Angers,2019-12-03 Angers-Marseille,FRA-L1,19-20,1e20a4d3
275e2c51,Romain Thomas,24,FRA,CB,31-174,90,0,0,0,0,0,0,1,0,100,2,4,1,0.0,0.0,0.0,0,0,77,94,81.9,4,49,0,0,0,Angers,2019-12-03 Angers-Marseille,FRA-L1,19-20,1e20a4d3
