id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
f9e7c4ac,Alfreð Finnbogason,27,ISL,FW,29-275,90,1,0,0,0,4,1,0,0,33,1,0,1,1.3,1.3,0.0,1,1,14,19,73.7,1,21,1,3,0,Augsburg,2018-11-03 Augsburg-Nürnberg,GER-BL1,18-19,1e678cd2
c6637acf,Caiuby,30,BRA,"LM,LW",30-112,90,0,0,0,0,2,0,1,0,40,1,1,1,0.4,0.4,0.0,4,0,24,27,88.9,2,23,2,3,2,Augsburg,2018-11-03 Augsburg-Nürnberg,GER-BL1,18-19,1e678cd2
f972644c,Marco Richter,23,GER,"RW,RM",20-344,70,0,0,0,0,4,1,0,0,33,1,0,1,0.2,0.2,0.0,5,0,19,22,86.4,2,25,7,3,2,Augsburg,2018-11-03 Augsburg-Nürnberg,GER-BL1,18-19,1e678cd2
cd82452e,André Hahn,28,GER,RM,28-082,20,0,0,0,0,1,0,1,0,10,1,0,0,0.0,0.0,0.0,1,0,5,6,83.3,0,4,0,1,0,Augsburg,2018-11-03 Augsburg-Nürnberg,GER-BL1,18-19,1e678cd2
3c05e082,Koo Ja-cheol,19,KOR,AM,29-249,45,0,0,0,0,0,0,1,0,12,0,0,0,0.0,0.0,0.0,0,0,8,10,80.0,1,10,1,0,0,Augsburg,2018-11-03 Augsburg-Nürnberg,GER-BL1,18-19,1e678cd2
ee7cdd0c,Felix Götze,4,GER,CM,20-265,45,0,0,0,0,0,0,0,0,15,1,2,0,0.0,0.0,0.0,0,0,6,10,60.0,0,5,0,0,0,Augsburg,2018-11-03 Augsburg-Nürnberg,GER-BL1,18-19,1e678cd2
f261abcb,Daniel Baier,10,GER,"CM,DM",34-169,90,0,0,0,0,0,0,0,0,65,2,3,3,0.0,0.0,0.0,2,0,38,52,73.1,5,30,0,2,1,Augsburg,2018-11-03 Augsburg-Nürnberg,GER-BL1,18-19,1e678cd2
59e4b92e,Rani Khedira,8,GER,"CB,DM",24-280,90,0,0,0,0,1,0,0,0,75,0,3,1,0.1,0.1,0.4,3,0,60,65,92.3,0,52,1,1,1,Augsburg,2018-11-03 Augsburg-Nürnberg,GER-BL1,18-19,1e678cd2
826e8b63,Philipp Max,31,GER,LB,25-034,90,0,0,0,0,1,0,0,0,60,1,1,1,0.1,0.1,0.3,3,0,30,51,58.8,5,29,1,1,0,Augsburg,2018-11-03 Augsburg-Nürnberg,GER-BL1,18-19,1e678cd2
080440a4,Martin Hinteregger,36,AUT,CB,26-057,90,0,0,0,0,1,0,0,0,77,5,0,0,0.0,0.0,0.0,0,0,49,69,71.0,8,52,2,1,1,Augsburg,2018-11-03 Augsburg-Nürnberg,GER-BL1,18-19,1e678cd2
