id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
d37b0350,Leonardo Pavoletti,30,ITA,FW,32-041,90,0,1,0,0,2,1,0,0,25,0,0,1,0.4,0.4,0.3,4,1,10,17,58.8,2,10,1,0,0,Cagliari,2021-01-06 Cagliari-Benevento,ITA-SERIA_A,20-21,1ed9b04f
81255c03,João Pedro,10,ITA,"AM,LW",28-303,90,1,0,0,0,1,1,0,0,36,0,1,1,0.3,0.3,0.0,0,0,21,30,70.0,5,19,1,1,1,Cagliari,2021-01-06 Cagliari-Benevento,ITA-SERIA_A,20-21,1ed9b04f
1f9328da,Radja Nainggolan,4,BEL,"AM,DM",32-247,80,0,0,0,0,5,1,0,0,56,3,0,1,0.1,0.1,0.1,3,0,40,48,83.3,2,35,3,2,2,Cagliari,2021-01-06 Cagliari-Benevento,ITA-SERIA_A,20-21,1ed9b04f
7ec7738e,Gastón Pereiro,20,URU,DM,25-209,10,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.3,1,0,9,10,90.0,3,10,1,0,0,Cagliari,2021-01-06 Cagliari-Benevento,ITA-SERIA_A,20-21,1ed9b04f
22ca11f1,Fabrizio Caligara,12,ITA,LM,20-269,45,0,0,0,0,0,0,1,0,16,0,0,2,0.0,0.0,0.0,2,0,9,13,69.2,1,6,0,1,0,Cagliari,2021-01-06 Cagliari-Benevento,ITA-SERIA_A,20-21,1ed9b04f
94816803,Riccardo Sottil,33,ITA,"RW,LM",21-217,45,0,0,0,0,1,1,1,0,29,1,0,0,0.1,0.1,0.0,1,0,12,21,57.1,2,24,6,4,3,Cagliari,2021-01-06 Cagliari-Benevento,ITA-SERIA_A,20-21,1ed9b04f
7fac99d4,Răzvan Marin,8,ROU,"CM,DM",24-228,90,0,0,0,0,1,0,0,0,91,1,0,0,0.1,0.1,0.2,4,0,77,87,88.5,10,62,3,4,4,Cagliari,2021-01-06 Cagliari-Benevento,ITA-SERIA_A,20-21,1ed9b04f
95facda1,Nahitan Nández,18,URU,"RM,LB",25-009,84,0,0,0,0,0,0,1,1,51,2,2,0,0.0,0.0,0.0,1,0,37,42,88.1,3,34,5,5,2,Cagliari,2021-01-06 Cagliari-Benevento,ITA-SERIA_A,20-21,1ed9b04f
4571fa88,Alessandro Tripaldelli,3,ITA,LB,21-332,67,0,0,0,0,0,0,0,0,40,1,1,0,0.0,0.0,0.0,0,0,22,30,73.3,1,27,3,3,1,Cagliari,2021-01-06 Cagliari-Benevento,ITA-SERIA_A,20-21,1ed9b04f
343c0d52,Giovanni Simeone,9,ARG,"AM,LB",25-185,23,0,0,0,0,1,1,0,0,4,0,0,0,0.1,0.1,0.0,0,0,3,3,100.0,0,2,0,0,0,Cagliari,2021-01-06 Cagliari-Benevento,ITA-SERIA_A,20-21,1ed9b04f
7d50454d,Luca Ceppitelli,23,ITA,CB,31-148,76,0,0,0,0,1,0,0,0,75,1,2,1,0.1,0.1,0.0,1,0,61,69,88.4,2,48,1,0,0,Cagliari,2021-01-06 Cagliari-Benevento,ITA-SERIA_A,20-21,1ed9b04f
56400c01,Fabio Pisacane,19,ITA,CB,34-344,14,0,0,0,0,0,0,1,0,13,0,0,0,0.0,0.0,0.0,0,0,12,14,85.7,0,9,0,0,0,Cagliari,2021-01-06 Cagliari-Benevento,ITA-SERIA_A,20-21,1ed9b04f
217875a4,Sebastian Walukiewicz,40,POL,CB,20-276,90,0,0,0,0,0,0,0,0,86,2,0,0,0.0,0.0,0.0,0,0,74,79,93.7,1,53,0,0,0,Cagliari,2021-01-06 Cagliari-Benevento,ITA-SERIA_A,20-21,1ed9b04f
ca3db240,Gabriele Zappa,25,ITA,RB,21-015,90,0,0,0,0,0,0,0,0,87,0,0,1,0.0,0.0,0.1,2,0,59,77,76.6,4,51,3,1,0,Cagliari,2021-01-06 Cagliari-Benevento,ITA-SERIA_A,20-21,1ed9b04f
f554e29b,Alessio Cragno,28,ITA,GK,26-192,90,0,0,0,0,0,0,0,0,24,0,1,0,0.0,0.0,0.0,1,0,20,22,90.9,0,14,0,0,0,Cagliari,2021-01-06 Cagliari-Benevento,ITA-SERIA_A,20-21,1ed9b04f
2ead2809,Gianluca Lapadula,9,PER,FW,30-334,75,0,0,0,0,0,0,0,0,18,2,1,0,0.0,0.0,0.4,2,0,6,11,54.5,3,10,4,1,1,Benevento,2021-01-06 Cagliari-Benevento,ITA-SERIA_A,20-21,1ed9b04f
5048486b,Giuseppe Di Serio,20,ITA,FW,19-170,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,0,Benevento,2021-01-06 Cagliari-Benevento,ITA-SERIA_A,20-21,1ed9b04f
1ad1f50d,Marco Sau,25,ITA,AM,33-064,75,1,0,0,0,2,1,0,0,33,0,0,2,0.7,0.7,0.2,3,1,15,21,71.4,3,25,1,2,0,Benevento,2021-01-06 Cagliari-Benevento,ITA-SERIA_A,20-21,1ed9b04f
54e53b7e,Gianluca Caprari,17,ITA,LM,27-160,15,0,0,0,0,2,1,1,0,7,1,0,0,0.2,0.2,0.0,3,0,2,3,66.7,0,6,3,2,1,Benevento,2021-01-06 Cagliari-Benevento,ITA-SERIA_A,20-21,1ed9b04f
8faf7b3c,Roberto Insigne,19,ITA,AM,26-240,71,0,1,0,0,1,0,0,0,34,2,0,0,0.1,0.1,0.1,3,2,22,30,73.3,3,22,3,2,2,Benevento,2021-01-06 Cagliari-Benevento,ITA-SERIA_A,20-21,1ed9b04f
658d44be,Daam Foulon,18,BEL,"LB,AM",21-289,19,0,0,0,0,0,0,0,0,6,1,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,3,0,0,0,Benevento,2021-01-06 Cagliari-Benevento,ITA-SERIA_A,20-21,1ed9b04f
cedb3e36,Artur Ioniță,29,MDA,"LM,CM",30-142,90,0,0,0,0,0,0,0,0,29,2,0,0,0.0,0.0,0.1,1,0,15,21,71.4,3,9,1,0,0,Benevento,2021-01-06 Cagliari-Benevento,ITA-SERIA_A,20-21,1ed9b04f
bd84fc61,Pasquale Schiattarella,28,ITA,CM,33-221,90,0,1,0,0,0,0,1,0,38,0,1,1,0.0,0.0,0.6,3,1,34,38,89.5,5,27,0,0,0,Benevento,2021-01-06 Cagliari-Benevento,ITA-SERIA_A,20-21,1ed9b04f
90b70194,Përparim Hetemaj,56,FIN,RM,34-025,88,0,0,0,0,0,0,0,0,40,3,0,0,0.0,0.0,0.0,1,0,23,31,74.2,5,25,1,1,0,Benevento,2021-01-06 Cagliari-Benevento,ITA-SERIA_A,20-21,1ed9b04f
c53083ad,Bryan Dabo,14,BFA,RM,28-323,2,0,0,0,0,1,0,0,0,4,0,0,0,0.1,0.1,0.0,0,0,1,1,100.0,0,1,0,0,0,Benevento,2021-01-06 Cagliari-Benevento,ITA-SERIA_A,20-21,1ed9b04f
c010b898,Federico Barba,93,ITA,"LB,CB",27-127,90,0,0,0,0,0,0,0,0,50,1,1,4,0.0,0.0,0.0,1,0,31,42,73.8,3,29,2,2,2,Benevento,2021-01-06 Cagliari-Benevento,ITA-SERIA_A,20-21,1ed9b04f
c6056d58,Kamil Glik,15,POL,CB,32-338,90,0,0,0,0,1,1,0,0,40,0,0,1,0.1,0.1,0.0,0,0,29,31,93.5,0,24,0,0,0,Benevento,2021-01-06 Cagliari-Benevento,ITA-SERIA_A,20-21,1ed9b04f
26c54058,Alessandro Tuia,13,ITA,CB,30-212,89,1,0,0,0,1,1,0,0,53,0,2,0,0.1,0.1,0.0,0,0,34,42,81.0,1,35,0,0,0,Benevento,2021-01-06 Cagliari-Benevento,ITA-SERIA_A,20-21,1ed9b04f
31d7f557,Christian Maggio,11,ITA,CB,38-330,1,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Benevento,2021-01-06 Cagliari-Benevento,ITA-SERIA_A,20-21,1ed9b04f
f6dfa5b8,Riccardo Improta,16,ITA,RB,27-018,90,0,0,0,0,2,0,1,0,62,4,0,1,0.1,0.1,0.0,2,0,34,45,75.6,2,28,1,2,0,Benevento,2021-01-06 Cagliari-Benevento,ITA-SERIA_A,20-21,1ed9b04f
