id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
0b90bb97,Santi Mina,22,ESP,FW,25-363,90,0,0,0,0,3,1,0,0,41,2,0,1,0.3,0.3,0.2,0,0,15,24,62.5,1,21,1,0,0,Celta Vigo,2021-12-05 Celta Vigo-Valencia,ESP-LALIGA,21-22,1eebab4b
7dcf86f6,Iago Aspas,10,ESP,FW,34-126,15,1,0,0,0,1,1,1,0,5,0,0,0,0.2,0.2,0.0,0,0,1,3,33.3,0,2,1,0,0,Celta Vigo,2021-12-05 Celta Vigo-Valencia,ESP-LALIGA,21-22,1eebab4b
34269bdf,Renato Tapia,14,PER,DM,26-130,75,0,0,0,0,1,0,0,0,71,2,1,0,0.0,0.0,0.1,2,0,50,56,89.3,5,35,0,2,0,Celta Vigo,2021-12-05 Celta Vigo-Valencia,ESP-LALIGA,21-22,1eebab4b
5e1028e5,Franco Cervi,11,ARG,LM,27-193,57,0,0,0,0,0,0,0,0,49,2,0,0,0.0,0.0,0.1,3,0,27,37,73.0,4,26,0,3,0,Celta Vigo,2021-12-05 Celta Vigo-Valencia,ESP-LALIGA,21-22,1eebab4b
3ca6106c,Augusto Solari,21,ARG,RM,29-336,33,0,0,0,0,0,0,0,0,25,0,0,1,0.0,0.0,0.0,1,0,15,18,83.3,2,15,1,1,0,Celta Vigo,2021-12-05 Celta Vigo-Valencia,ESP-LALIGA,21-22,1eebab4b
12c50af5,Denis Suárez,6,ESP,CM,27-333,90,0,0,0,0,2,0,0,0,95,2,0,0,0.1,0.1,0.1,8,0,64,86,74.4,12,63,6,6,3,Celta Vigo,2021-12-05 Celta Vigo-Valencia,ESP-LALIGA,21-22,1eebab4b
c9e39d91,Brais Méndez,23,ESP,"FW,RM",24-332,90,0,1,0,0,3,2,0,0,41,1,0,0,0.3,0.3,0.2,1,1,24,32,75.0,1,23,0,0,0,Celta Vigo,2021-12-05 Celta Vigo-Valencia,ESP-LALIGA,21-22,1eebab4b
ed5c5fa3,Fran Beltrán,8,ESP,"RM,DM",22-305,56,0,0,0,0,0,0,1,0,34,2,0,0,0.0,0.0,0.0,0,0,22,31,71.0,2,24,0,1,1,Celta Vigo,2021-12-05 Celta Vigo-Valencia,ESP-LALIGA,21-22,1eebab4b
b2d0ec1b,Nolito,9,ESP,LM,35-051,34,0,0,0,0,0,0,1,0,19,1,0,0,0.0,0.0,0.0,1,0,8,14,57.1,2,12,0,1,1,Celta Vigo,2021-12-05 Celta Vigo-Valencia,ESP-LALIGA,21-22,1eebab4b
