id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
75f2c59f,Roberto Pereyra,37,ARG,"FW,CM",28-292,90,0,0,0,0,1,1,1,0,43,2,2,0,0.0,0.0,0.0,2,0,25,35,71.4,2,28,6,3,3,Watford,2019-10-26 Watford-Bournemouth,ENG-EPL,19-20,1ef8e186
39583cfd,Gerard Deulofeu,7,ESP,FW,25-227,90,0,0,0,0,2,1,1,0,50,1,1,0,0.5,0.5,0.0,1,0,19,34,55.9,3,27,5,7,3,Watford,2019-10-26 Watford-Bournemouth,ENG-EPL,19-20,1ef8e186
02b29014,Abdoulaye Doucouré,16,MLI,CM,26-298,90,0,0,0,0,2,0,1,0,58,4,2,2,0.1,0.1,0.0,1,0,33,42,78.6,3,31,4,3,1,Watford,2019-10-26 Watford-Bournemouth,ENG-EPL,19-20,1ef8e186
422862ea,Nathaniel Chalobah,14,ENG,CM,24-318,56,0,0,0,0,0,0,0,0,22,1,0,0,0.0,0.0,0.0,0,0,13,15,86.7,1,13,0,1,0,Watford,2019-10-26 Watford-Bournemouth,ENG-EPL,19-20,1ef8e186
c24dba2a,Andre Gray,18,JAM,FW,28-122,34,0,0,0,0,0,0,0,0,18,1,0,0,0.0,0.0,0.0,1,0,9,11,81.8,0,11,0,0,0,Watford,2019-10-26 Watford-Bournemouth,ENG-EPL,19-20,1ef8e186
6cdd8245,Tom Cleverley,8,ENG,CM,30-075,9,0,0,0,0,0,0,0,0,8,1,0,1,0.0,0.0,0.0,1,0,6,6,100.0,2,2,0,0,0,Watford,2019-10-26 Watford-Bournemouth,ENG-EPL,19-20,1ef8e186
a0666d3e,Will Hughes,19,ENG,CM,24-192,81,0,0,0,0,1,1,1,0,41,4,0,0,0.0,0.0,0.0,2,0,14,27,51.9,2,25,2,0,0,Watford,2019-10-26 Watford-Bournemouth,ENG-EPL,19-20,1ef8e186
de0f152c,Adam Masina,11,MAR,LB,25-297,72,0,0,0,0,0,0,0,0,33,1,0,0,0.0,0.0,0.0,1,0,23,27,85.2,4,17,0,0,0,Watford,2019-10-26 Watford-Bournemouth,ENG-EPL,19-20,1ef8e186
45e17712,Dimitri Foulquier,36,FRA,RB,26-217,18,0,0,0,0,0,0,0,0,9,0,1,0,0.0,0.0,0.0,0,0,5,6,83.3,1,3,1,0,0,Watford,2019-10-26 Watford-Bournemouth,ENG-EPL,19-20,1ef8e186
