id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
c21fb312,Jann-Fiete Arp,40,GER,FW,18-070,77,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.0,2,0,11,13,84.6,2,11,1,2,1,Hamburger SV,2018-03-17 Hamburger SV-Hertha BSC,GER-BL1,17-18,1f72fe5f
e5a35ae9,Luca Waldschmidt,15,GER,FW,21-302,13,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,6,8,75.0,2,5,0,0,0,Hamburger SV,2018-03-17 Hamburger SV-Hertha BSC,GER-BL1,17-18,1f72fe5f
6743cef5,Tatsuya Ito,43,JPN,LM,20-264,70,0,0,0,0,0,0,0,0,33,2,1,2,0.0,0.0,0.0,2,0,18,24,75.0,2,18,2,1,0,Hamburger SV,2018-03-17 Hamburger SV-Hertha BSC,GER-BL1,17-18,1f72fe5f
34c313d5,Bakery Jatta,18,GAM,LM,19-284,20,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,14,17,82.4,2,15,2,2,1,Hamburger SV,2018-03-17 Hamburger SV-Hertha BSC,GER-BL1,17-18,1f72fe5f
410ab123,Lewis Holtby,8,GER,CM,27-180,64,0,0,0,0,3,1,0,0,43,2,0,3,0.2,0.2,0.0,1,0,24,31,77.4,5,19,1,2,2,Hamburger SV,2018-03-17 Hamburger SV-Hertha BSC,GER-BL1,17-18,1f72fe5f
9853983f,Bobby Wood,7,USA,CM,25-122,26,0,0,0,0,1,0,0,0,13,1,0,0,0.1,0.1,0.0,0,0,7,7,100.0,0,9,0,0,0,Hamburger SV,2018-03-17 Hamburger SV-Hertha BSC,GER-BL1,17-18,1f72fe5f
5f9f0531,Aaron Hunt,14,GER,CM,31-194,90,0,0,0,0,0,0,0,0,60,1,1,0,0.0,0.0,0.2,4,1,35,52,67.3,6,37,2,3,2,Hamburger SV,2018-03-17 Hamburger SV-Hertha BSC,GER-BL1,17-18,1f72fe5f
b1cd37e6,Filip Kostić,17,SRB,RM,25-136,90,0,1,0,0,1,0,0,0,44,1,0,2,0.1,0.1,0.5,2,1,20,31,64.5,8,20,3,3,0,Hamburger SV,2018-03-17 Hamburger SV-Hertha BSC,GER-BL1,17-18,1f72fe5f
ee57792b,Ville Matti Steinmann,29,GER,DM,23-068,90,0,0,0,0,0,0,0,0,79,3,1,2,0.0,0.0,0.1,1,0,52,64,81.3,7,38,0,2,1,Hamburger SV,2018-03-17 Hamburger SV-Hertha BSC,GER-BL1,17-18,1f72fe5f
