id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
a300ac7e,Lucas Pérez,7,ESP,"FW,AM,LW",29-055,90,0,0,0,0,0,0,0,0,34,0,0,1,0.0,0.0,0.2,4,0,24,31,77.4,4,20,0,0,0,Deportivo La Coruña,2017-11-04 La Coruña-Atlético Madrid,ESP-LALIGA,17-18,1fe77224
ec3efd7f,Zakaria Bakkali,18,BEL,LW,21-282,74,0,0,0,0,5,0,0,0,35,0,0,0,0.2,0.2,0.0,3,0,20,27,74.1,2,25,2,3,2,Deportivo La Coruña,2017-11-04 La Coruña-Atlético Madrid,ESP-LALIGA,17-18,1fe77224
dc008610,Florin Andone,10,ROU,FW,24-207,16,0,0,0,0,1,1,1,0,7,0,0,0,0.1,0.1,0.0,0,0,3,5,60.0,0,4,0,1,0,Deportivo La Coruña,2017-11-04 La Coruña-Atlético Madrid,ESP-LALIGA,17-18,1fe77224
a8e6bebf,Federico Cartabia,9,ARG,RW,24-288,90,0,0,0,0,1,0,0,0,66,2,0,0,0.0,0.0,0.1,7,0,42,54,77.8,13,53,5,6,4,Deportivo La Coruña,2017-11-04 La Coruña-Atlético Madrid,ESP-LALIGA,17-18,1fe77224
0959c2a2,Federico Valverde,17,URU,"AM,LW",19-105,90,0,0,0,0,0,0,0,0,54,4,1,0,0.0,0.0,0.1,5,0,31,43,72.1,6,34,0,1,1,Deportivo La Coruña,2017-11-04 La Coruña-Atlético Madrid,ESP-LALIGA,17-18,1fe77224
8754c7ca,Guilherme,20,BRA,DM,26-213,90,0,0,0,0,4,0,0,0,62,1,0,2,0.2,0.2,0.0,1,0,39,47,83.0,8,37,0,1,1,Deportivo La Coruña,2017-11-04 La Coruña-Atlético Madrid,ESP-LALIGA,17-18,1fe77224
b8836910,Celso Borges,22,CRC,DM,29-161,74,0,0,0,0,1,0,0,0,40,0,1,2,0.1,0.1,0.0,0,0,23,33,69.7,4,23,1,0,0,Deportivo La Coruña,2017-11-04 La Coruña-Atlético Madrid,ESP-LALIGA,17-18,1fe77224
c5fa58ea,Pedro Mosquera,5,ESP,DM,29-197,16,0,0,0,0,0,0,0,0,14,0,0,2,0.0,0.0,0.1,1,0,6,10,60.0,1,6,0,0,0,Deportivo La Coruña,2017-11-04 La Coruña-Atlético Madrid,ESP-LALIGA,17-18,1fe77224
a7f00c8c,Luisinho,16,POR,LB,32-183,81,0,0,0,0,1,0,1,0,55,2,1,0,0.0,0.0,0.0,1,0,27,42,64.3,1,30,1,5,5,Deportivo La Coruña,2017-11-04 La Coruña-Atlético Madrid,ESP-LALIGA,17-18,1fe77224
5a3f6fae,Fernando Navarro,3,ESP,LB,35-132,9,0,0,0,0,0,0,0,0,15,0,0,1,0.0,0.0,0.0,1,0,9,13,69.2,2,6,0,0,0,Deportivo La Coruña,2017-11-04 La Coruña-Atlético Madrid,ESP-LALIGA,17-18,1fe77224
b14d0c5d,Sidnei,12,BRA,CB,28-073,90,0,0,0,0,0,0,1,0,44,2,0,1,0.0,0.0,0.0,0,0,29,39,74.4,1,24,1,2,2,Deportivo La Coruña,2017-11-04 La Coruña-Atlético Madrid,ESP-LALIGA,17-18,1fe77224
c8aa95da,Fabian Schär,24,SUI,CB,25-319,90,0,0,0,0,1,0,0,0,55,7,1,1,0.0,0.0,0.0,1,0,27,38,71.1,1,28,0,2,2,Deportivo La Coruña,2017-11-04 La Coruña-Atlético Madrid,ESP-LALIGA,17-18,1fe77224
9ba48d64,Juanfran,2,ESP,RB,29-054,90,0,0,0,0,1,0,1,0,78,0,2,0,0.0,0.0,0.1,2,0,50,67,74.6,6,41,0,2,1,Deportivo La Coruña,2017-11-04 La Coruña-Atlético Madrid,ESP-LALIGA,17-18,1fe77224
d24e154c,Costel Pantilimon,25,ROU,GK,30-276,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,1,0,21,32,65.6,0,10,0,0,0,Deportivo La Coruña,2017-11-04 La Coruña-Atlético Madrid,ESP-LALIGA,17-18,1fe77224
df69b544,Antoine Griezmann,7,FRA,FW,26-228,79,0,0,0,0,1,1,1,0,37,0,1,1,0.1,0.1,0.0,2,0,21,28,75.0,1,24,2,3,1,Atlético Madrid,2017-11-04 La Coruña-Atlético Madrid,ESP-LALIGA,17-18,1fe77224
f0da930c,José María Giménez,24,URU,CM,22-288,11,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,0,0,0,0,Atlético Madrid,2017-11-04 La Coruña-Atlético Madrid,ESP-LALIGA,17-18,1fe77224
01eb744d,Ángel Correa,11,ARG,FW,22-240,45,0,0,0,0,0,0,0,0,17,1,0,1,0.0,0.0,0.0,2,0,5,10,50.0,0,17,0,1,0,Atlético Madrid,2017-11-04 La Coruña-Atlético Madrid,ESP-LALIGA,17-18,1fe77224
7ebfac0f,Nicolás Gaitán,22,ARG,"LM,LW,FW",29-254,45,0,0,0,0,1,1,0,0,24,1,0,0,0.0,0.0,0.2,4,0,13,21,61.9,0,17,2,0,0,Atlético Madrid,2017-11-04 La Coruña-Atlético Madrid,ESP-LALIGA,17-18,1fe77224
c14bc029,Saúl Ñíguez,8,ESP,"LM,CM,RW",22-348,90,0,0,0,0,3,0,0,0,60,4,0,3,0.1,0.1,0.0,2,0,31,46,67.4,7,37,0,5,4,Atlético Madrid,2017-11-04 La Coruña-Atlético Madrid,ESP-LALIGA,17-18,1fe77224
78c40e94,Augusto Fernández,12,ARG,CM,31-208,60,0,0,0,0,1,0,0,0,48,3,0,2,0.0,0.0,0.0,1,0,31,40,77.5,4,32,0,0,0,Atlético Madrid,2017-11-04 La Coruña-Atlético Madrid,ESP-LALIGA,17-18,1fe77224
42276181,Kévin Gameiro,21,FRA,FW,30-179,30,0,0,0,0,0,0,0,0,5,1,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,3,0,0,0,Atlético Madrid,2017-11-04 La Coruña-Atlético Madrid,ESP-LALIGA,17-18,1fe77224
65d750b5,Gabi,14,ESP,CM,34-117,90,0,1,0,0,1,0,0,0,74,2,0,2,0.1,0.1,0.1,3,1,53,68,77.9,8,47,1,2,2,Atlético Madrid,2017-11-04 La Coruña-Atlético Madrid,ESP-LALIGA,17-18,1fe77224
529f49ab,Thomas Partey,5,GHA,"RM,CM",24-144,90,1,0,0,0,2,1,0,0,46,2,1,0,0.1,0.1,0.0,0,0,27,38,71.1,4,31,1,0,0,Atlético Madrid,2017-11-04 La Coruña-Atlético Madrid,ESP-LALIGA,17-18,1fe77224
c3ee18ef,Lucas Hernández,19,FRA,LB,21-263,90,0,0,0,0,1,0,0,0,51,3,3,1,0.0,0.0,0.0,3,1,29,38,76.3,2,27,4,4,3,Atlético Madrid,2017-11-04 La Coruña-Atlético Madrid,ESP-LALIGA,17-18,1fe77224
fc4f85b1,Diego Godín,2,URU,CB,31-261,90,0,0,0,0,1,0,0,0,67,0,2,5,0.1,0.1,0.0,1,0,37,52,71.2,1,37,0,0,0,Atlético Madrid,2017-11-04 La Coruña-Atlético Madrid,ESP-LALIGA,17-18,1fe77224
f6ac68c1,Stefan Savić,15,MNE,CB,26-300,90,0,0,0,0,0,0,1,0,56,2,2,1,0.0,0.0,0.0,3,0,31,42,73.8,2,32,0,0,0,Atlético Madrid,2017-11-04 La Coruña-Atlético Madrid,ESP-LALIGA,17-18,1fe77224
cfd8d664,Juanfran,20,ESP,RB,32-299,90,0,0,0,0,0,0,0,0,52,0,0,2,0.0,0.0,0.0,0,0,31,45,68.9,3,22,1,0,0,Atlético Madrid,2017-11-04 La Coruña-Atlético Madrid,ESP-LALIGA,17-18,1fe77224
ee8508c0,Jan Oblak,13,SVN,GK,24-301,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,19,32,59.4,0,18,0,0,0,Atlético Madrid,2017-11-04 La Coruña-Atlético Madrid,ESP-LALIGA,17-18,1fe77224
