id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
ac05f970,Michail Antonio,9,JAM,FW,31-248,90,0,0,0,0,2,1,1,0,27,1,0,1,0.1,0.1,0.2,2,0,12,18,66.7,1,23,1,1,0,West Ham United,2021-12-01 West Ham-Brighton,ENG-EPL,21-22,2049300f
5a04fd92,Saïd Benrahma,22,ALG,LW,26-113,75,0,0,0,0,1,0,0,0,38,1,0,4,0.0,0.0,0.0,2,0,13,26,50.0,3,19,2,4,3,West Ham United,2021-12-01 West Ham-Brighton,ENG-EPL,21-22,2049300f
26f6dca8,Manuel Lanzini,10,ARG,AM,28-289,15,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,2,0,17,21,81.0,0,15,1,3,2,West Ham United,2021-12-01 West Ham-Brighton,ENG-EPL,21-22,2049300f
79c84d1c,Jarrod Bowen,20,ENG,RW,24-346,90,0,0,0,0,3,1,0,0,40,1,4,3,0.2,0.2,0.0,1,0,13,23,56.5,2,20,2,3,2,West Ham United,2021-12-01 West Ham-Brighton,ENG-EPL,21-22,2049300f
82927de4,Pablo Fornals,8,ESP,AM,25-282,76,0,1,0,0,2,0,0,0,32,3,1,1,0.1,0.1,0.7,3,1,12,22,54.5,4,12,0,1,1,West Ham United,2021-12-01 West Ham-Brighton,ENG-EPL,21-22,2049300f
57df7a11,Arthur Masuaku,26,COD,LW,28-024,14,0,0,0,0,0,0,0,0,19,1,1,0,0.0,0.0,0.0,1,0,12,14,85.7,2,7,0,1,0,West Ham United,2021-12-01 West Ham-Brighton,ENG-EPL,21-22,2049300f
1c7012b8,Declan Rice,41,ENG,DM,22-321,90,0,0,0,0,1,1,0,0,52,2,4,1,0.0,0.0,0.1,5,0,31,40,77.5,6,32,3,2,2,West Ham United,2021-12-01 West Ham-Brighton,ENG-EPL,21-22,2049300f
6613c819,Tomáš Souček,28,CZE,DM,26-277,90,1,0,0,0,1,1,0,0,29,1,1,0,0.6,0.6,0.0,2,0,13,21,61.9,1,14,0,0,0,West Ham United,2021-12-01 West Ham-Brighton,ENG-EPL,21-22,2049300f
9319781b,Ben Johnson,31,ENG,LB,21-311,90,0,0,0,0,0,0,0,0,64,3,0,2,0.0,0.0,0.0,3,1,35,52,67.3,4,29,2,1,0,West Ham United,2021-12-01 West Ham-Brighton,ENG-EPL,21-22,2049300f
ce4246f5,Kurt Zouma,4,FRA,CB,27-035,90,0,0,0,0,1,0,0,0,29,0,0,1,0.1,0.1,0.0,0,0,15,20,75.0,1,13,0,0,0,West Ham United,2021-12-01 West Ham-Brighton,ENG-EPL,21-22,2049300f
3e9e06cb,Craig Dawson,15,ENG,CB,31-209,90,0,0,0,0,0,0,0,0,20,0,3,1,0.0,0.0,0.0,0,0,8,12,66.7,0,8,0,0,0,West Ham United,2021-12-01 West Ham-Brighton,ENG-EPL,21-22,2049300f
fdf3cb77,Vladimír Coufal,5,CZE,RB,29-101,90,0,0,0,0,3,1,0,0,45,0,0,0,0.1,0.1,0.1,3,0,28,37,75.7,6,20,2,1,1,West Ham United,2021-12-01 West Ham-Brighton,ENG-EPL,21-22,2049300f
9328b835,Łukasz Fabiański,1,POL,GK,36-227,90,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,0,0,11,15,73.3,0,4,0,0,0,West Ham United,2021-12-01 West Ham-Brighton,ENG-EPL,21-22,2049300f
4bcf39f6,Neal Maupay,9,FRA,FW,25-109,90,1,0,0,0,2,1,1,0,32,0,0,1,0.3,0.3,0.4,2,0,15,20,75.0,2,19,2,3,1,Brighton & Hove Albion,2021-12-01 West Ham-Brighton,ENG-EPL,21-22,2049300f
38ceb24a,Leandro Trossard,11,BEL,"LW,AM",26-362,90,0,0,0,0,1,0,0,0,50,1,0,1,0.0,0.0,0.2,1,0,30,40,75.0,5,30,0,1,1,Brighton & Hove Albion,2021-12-01 West Ham-Brighton,ENG-EPL,21-22,2049300f
ac0d576d,Jeremy Sarmiento,60,ECU,RW,19-168,12,0,0,0,0,0,0,0,0,7,1,0,1,0.0,0.0,0.0,0,0,2,3,66.7,0,3,0,0,0,Brighton & Hove Albion,2021-12-01 West Ham-Brighton,ENG-EPL,21-22,2049300f
bb5fbd2b,Solly March,20,ENG,"RW,WB",27-134,78,0,0,0,0,0,0,0,0,57,3,1,0,0.0,0.0,0.1,3,0,37,52,71.2,6,40,2,0,0,Brighton & Hove Albion,2021-12-01 West Ham-Brighton,ENG-EPL,21-22,2049300f
99813635,Adam Lallana,14,ENG,AM,33-205,90,0,0,0,0,1,0,0,0,38,1,0,0,0.2,0.2,0.0,3,0,27,31,87.1,5,29,2,3,2,Brighton & Hove Albion,2021-12-01 West Ham-Brighton,ENG-EPL,21-22,2049300f
6c203af0,Yves Bissouma,8,MLI,"DM,CM",25-093,90,0,0,0,0,0,0,0,0,73,1,0,1,0.0,0.0,0.2,1,0,61,64,95.3,12,54,5,3,3,Brighton & Hove Albion,2021-12-01 West Ham-Brighton,ENG-EPL,21-22,2049300f
f230bc30,Jakub Moder,15,POL,"DM,CM",22-238,90,0,0,0,0,1,1,0,0,66,5,0,2,0.4,0.4,0.1,4,0,38,53,71.7,6,43,1,2,0,Brighton & Hove Albion,2021-12-01 West Ham-Brighton,ENG-EPL,21-22,2049300f
1daec722,Marc Cucurella,3,ESP,"LB,CB",23-132,90,0,0,0,0,1,0,0,0,71,2,1,1,0.0,0.0,0.1,1,0,49,59,83.1,3,41,3,1,0,Brighton & Hove Albion,2021-12-01 West Ham-Brighton,ENG-EPL,21-22,2049300f
282f75f3,Lewis Dunk,5,ENG,CB,30-010,90,0,0,0,0,2,1,0,0,91,2,0,0,0.2,0.2,0.0,1,1,74,78,94.9,4,63,0,0,0,Brighton & Hove Albion,2021-12-01 West Ham-Brighton,ENG-EPL,21-22,2049300f
c40b6180,Adam Webster,4,ENG,CB,26-331,35,0,0,0,0,0,0,0,0,33,0,1,1,0.0,0.0,0.0,0,0,26,31,83.9,1,26,1,0,0,Brighton & Hove Albion,2021-12-01 West Ham-Brighton,ENG-EPL,21-22,2049300f
7314bba4,Shane Duffy,24,IRL,CB,29-334,55,0,0,0,0,0,0,0,0,53,0,1,1,0.0,0.0,0.0,0,0,41,47,87.2,2,35,1,0,0,Brighton & Hove Albion,2021-12-01 West Ham-Brighton,ENG-EPL,21-22,2049300f
dad4b285,Joël Veltman,34,NED,RB,29-320,69,0,0,0,0,1,0,0,0,62,1,1,2,0.1,0.1,0.0,0,0,37,45,82.2,0,38,3,2,0,Brighton & Hove Albion,2021-12-01 West Ham-Brighton,ENG-EPL,21-22,2049300f
f4e433d4,Tariq Lamptey,2,GHA,WB,21-062,21,0,1,0,0,0,0,0,0,24,2,0,0,0.0,0.0,0.2,1,1,11,14,78.6,0,13,2,1,1,Brighton & Hove Albion,2021-12-01 West Ham-Brighton,ENG-EPL,21-22,2049300f
6a713852,Robert Sánchez,1,ESP,GK,24-013,90,0,0,0,0,0,0,0,0,52,0,0,0,0.0,0.0,0.0,0,0,44,49,89.8,0,35,0,0,0,Brighton & Hove Albion,2021-12-01 West Ham-Brighton,ENG-EPL,21-22,2049300f
