id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
c0b3669f,Randal Kolo Muani,23,FRA,FW,21-353,90,1,0,0,0,4,2,0,0,36,1,0,0,0.5,0.5,0.2,5,0,15,21,71.4,2,18,2,4,2,Nantes,2020-11-22 Nantes-Metz,FRA-L1,20-21,20aca344
32f3d97e,Abdoul Kader Bamba,32,FRA,LW,26-181,89,0,0,0,0,3,2,0,0,68,1,0,0,0.1,0.1,0.3,7,0,46,58,79.3,9,37,6,3,1,Nantes,2020-11-22 Nantes-Metz,FRA-L1,20-21,20aca344
97bfa797,Jean-Kévin Augustin,20,FRA,LW,23-159,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,Nantes,2020-11-22 Nantes-Metz,FRA-L1,20-21,20aca344
3010aefb,Marcus Coco,11,FRA,RW,24-151,76,0,0,0,0,2,0,0,0,57,1,1,2,0.1,0.1,0.0,2,0,31,46,67.4,3,28,2,2,1,Nantes,2020-11-22 Nantes-Metz,FRA-L1,20-21,20aca344
5c9ac7f0,Renaud Emond,28,BEL,RW,28-353,14,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,3,0,0,0,Nantes,2020-11-22 Nantes-Metz,FRA-L1,20-21,20aca344
6191093d,Ludovic Blas,10,FRA,AM,22-327,90,0,0,0,0,3,1,0,0,67,1,0,0,0.2,0.2,0.1,7,0,45,51,88.2,8,46,4,12,8,Nantes,2020-11-22 Nantes-Metz,FRA-L1,20-21,20aca344
ef7cd87a,Abdoulaye Touré,19,GUI,DM,26-264,90,0,0,0,0,1,0,0,0,80,0,0,0,0.0,0.0,0.1,2,0,62,74,83.8,7,42,2,2,2,Nantes,2020-11-22 Nantes-Metz,FRA-L1,20-21,20aca344
a4c3f7af,Mehdi Abeid,8,ALG,DM,28-108,90,0,0,0,0,3,0,1,0,69,4,0,0,0.2,0.2,0.0,2,0,56,61,91.8,2,46,1,2,1,Nantes,2020-11-22 Nantes-Metz,FRA-L1,20-21,20aca344
bc7b4580,Fábio,2,BRA,LB,30-136,90,0,0,0,0,0,0,1,0,65,4,2,4,0.0,0.0,0.0,3,0,44,51,86.3,4,21,0,2,0,Nantes,2020-11-22 Nantes-Metz,FRA-L1,20-21,20aca344
e0f3a1f6,Jean-Charles Castelletto,21,CMR,CB,25-301,90,0,0,0,0,0,0,0,0,76,4,4,2,0.0,0.0,0.0,0,0,58,63,92.1,5,42,0,0,0,Nantes,2020-11-22 Nantes-Metz,FRA-L1,20-21,20aca344
3befc2b6,Andrei Girotto,3,BRA,CB,28-279,90,0,0,0,0,1,0,0,0,93,2,0,0,0.1,0.1,0.0,1,0,73,83,88.0,11,56,4,0,0,Nantes,2020-11-22 Nantes-Metz,FRA-L1,20-21,20aca344
0e7ccfc4,Sébastien Corchia,24,FRA,RB,30-021,90,0,1,0,0,1,0,0,0,89,2,2,0,0.0,0.0,0.5,5,2,55,73,75.3,8,46,4,2,1,Nantes,2020-11-22 Nantes-Metz,FRA-L1,20-21,20aca344
4e7db402,Alban Lafont,1,FRA,GK,21-304,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,31,35,88.6,0,18,0,0,0,Nantes,2020-11-22 Nantes-Metz,FRA-L1,20-21,20aca344
29ef0f49,Aaron Leya Iseka,24,BEL,FW,23-007,54,1,0,1,1,1,0,0,0,12,0,0,0,0.9,0.1,0.1,2,0,10,10,100.0,1,10,0,0,0,Metz,2020-11-22 Nantes-Metz,FRA-L1,20-21,20aca344
75a63397,Opa Nguette,11,SEN,FW,26-137,36,0,0,0,0,0,0,0,0,16,1,0,0,0.0,0.0,0.0,1,0,4,7,57.1,0,13,2,3,0,Metz,2020-11-22 Nantes-Metz,FRA-L1,20-21,20aca344
a0791826,Farid Boulaya,10,ALG,LW,27-271,90,0,0,0,0,2,1,0,0,51,0,0,0,0.0,0.0,0.1,3,0,25,40,62.5,5,26,3,4,2,Metz,2020-11-22 Nantes-Metz,FRA-L1,20-21,20aca344
9d5dcc23,Lamine Gueye,13,SEN,RW,22-254,90,0,0,0,0,5,1,0,0,45,1,6,1,0.3,0.3,0.0,4,1,13,22,59.1,2,31,3,3,2,Metz,2020-11-22 Nantes-Metz,FRA-L1,20-21,20aca344
93b8f9f4,Warren Tchimbembé,12,CGO,LM,22-215,66,0,0,0,0,1,0,0,0,32,3,0,0,0.1,0.1,0.1,1,0,17,23,73.9,3,18,0,0,0,Metz,2020-11-22 Nantes-Metz,FRA-L1,20-21,20aca344
743fd71f,Vagner Gonçalves,27,CPV,LM,24-317,24,0,0,0,0,1,1,0,0,14,2,1,0,0.1,0.1,0.0,0,0,5,7,71.4,0,9,1,0,0,Metz,2020-11-22 Nantes-Metz,FRA-L1,20-21,20aca344
f86ca403,Vincent Pajot,14,FRA,CM,30-095,24,0,0,0,0,0,0,0,0,12,1,2,0,0.0,0.0,0.0,0,0,5,8,62.5,0,8,0,0,0,Metz,2020-11-22 Nantes-Metz,FRA-L1,20-21,20aca344
8332db56,Thomas Delaine,17,FRA,RB,28-243,66,0,0,0,0,0,0,0,0,35,3,0,0,0.0,0.0,0.1,1,0,20,30,66.7,3,17,2,1,0,Metz,2020-11-22 Nantes-Metz,FRA-L1,20-21,20aca344
d8992b84,Victorien Angban,5,CIV,RM,24-054,90,0,0,0,0,0,0,0,0,31,1,0,1,0.0,0.0,0.0,0,0,21,25,84.0,6,21,0,0,0,Metz,2020-11-22 Nantes-Metz,FRA-L1,20-21,20aca344
cc41f558,Matthieu Udol,3,FRA,LB,24-247,90,0,0,0,0,0,0,0,0,55,1,0,3,0.0,0.0,0.1,4,0,32,44,72.7,2,26,1,2,0,Metz,2020-11-22 Nantes-Metz,FRA-L1,20-21,20aca344
861227d2,John Boye,21,GHA,CB,33-213,90,0,0,0,0,0,0,1,0,50,5,3,4,0.0,0.0,0.0,0,0,18,26,69.2,0,21,0,0,0,Metz,2020-11-22 Nantes-Metz,FRA-L1,20-21,20aca344
edd81e2a,Dylan Bronn,2,TUN,CB,25-156,90,0,0,0,0,0,0,0,0,31,3,2,0,0.0,0.0,0.0,0,0,15,22,68.2,0,18,1,0,0,Metz,2020-11-22 Nantes-Metz,FRA-L1,20-21,20aca344
