id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
27c01749,Aaron Connolly,7,IRL,FW,20-242,74,0,0,0,0,1,0,0,0,13,0,0,0,0.0,0.0,0.0,1,0,6,7,85.7,0,12,1,0,0,Brighton & Hove Albion,2020-09-26 Brighton-Manchester Utd,ENG-EPL,20-21,21495573
08452314,Alireza Jahanbakhsh,16,IRN,FW,27-046,16,0,1,0,0,1,0,1,0,19,0,0,1,0.0,0.0,0.7,5,1,15,17,88.2,3,16,0,1,1,Brighton & Hove Albion,2020-09-26 Brighton-Manchester Utd,ENG-EPL,20-21,21495573
4bcf39f6,Neal Maupay,9,FRA,LW,24-043,90,1,0,1,1,3,1,0,0,47,0,0,1,0.9,0.1,0.4,5,0,24,36,66.7,3,22,1,4,3,Brighton & Hove Albion,2020-09-26 Brighton-Manchester Utd,ENG-EPL,20-21,21495573
38ceb24a,Leandro Trossard,11,BEL,RW,25-297,90,0,0,0,0,4,1,1,0,48,0,0,0,0.5,0.5,0.1,4,0,26,41,63.4,7,35,2,3,2,Brighton & Hove Albion,2020-09-26 Brighton-Manchester Utd,ENG-EPL,20-21,21495573
bb5fbd2b,Solly March,20,ENG,LM,26-068,90,1,0,0,0,5,1,0,0,80,4,2,3,0.9,0.9,0.0,6,0,47,66,71.2,4,52,4,8,7,Brighton & Hove Albion,2020-09-26 Brighton-Manchester Utd,ENG-EPL,20-21,21495573
ad1f61f3,Steven Alzate,17,COL,CM,22-018,90,0,0,0,0,1,0,0,0,63,4,2,0,0.1,0.1,0.3,5,1,47,51,92.2,4,50,0,6,4,Brighton & Hove Albion,2020-09-26 Brighton-Manchester Utd,ENG-EPL,20-21,21495573
99813635,Adam Lallana,14,ENG,CM,32-139,74,0,0,0,0,0,0,0,0,42,0,3,1,0.0,0.0,0.0,2,1,30,35,85.7,7,26,0,0,0,Brighton & Hove Albion,2020-09-26 Brighton-Manchester Utd,ENG-EPL,20-21,21495573
8aec0537,Pascal Groß,13,GER,CM,29-103,16,0,0,0,0,1,0,0,0,21,0,0,0,0.0,0.0,0.1,1,0,16,20,80.0,7,14,1,0,0,Brighton & Hove Albion,2020-09-26 Brighton-Manchester Utd,ENG-EPL,20-21,21495573
f4e433d4,Tariq Lamptey,2,GHA,RM,19-362,90,0,0,0,0,0,0,0,0,53,1,2,2,0.0,0.0,0.0,2,1,36,43,83.7,4,38,3,3,2,Brighton & Hove Albion,2020-09-26 Brighton-Manchester Utd,ENG-EPL,20-21,21495573
c40b6180,Adam Webster,4,ENG,CB,25-266,90,0,0,0,0,1,1,0,0,58,1,2,0,0.1,0.1,0.0,0,0,42,51,82.4,1,44,1,0,0,Brighton & Hove Albion,2020-09-26 Brighton-Manchester Utd,ENG-EPL,20-21,21495573
282f75f3,Lewis Dunk,5,ENG,CB,28-310,90,0,0,0,0,0,0,1,0,71,0,1,1,0.0,0.0,0.0,0,0,59,65,90.8,2,57,1,0,0,Brighton & Hove Albion,2020-09-26 Brighton-Manchester Utd,ENG-EPL,20-21,21495573
35e413f1,Ben White,3,ENG,CB,22-354,90,0,0,0,0,0,0,1,0,73,2,2,1,0.0,0.0,0.1,2,0,60,66,90.9,7,55,2,1,1,Brighton & Hove Albion,2020-09-26 Brighton-Manchester Utd,ENG-EPL,20-21,21495573
4535e4bb,Mathew Ryan,1,AUS,GK,28-171,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,31,40,77.5,0,28,0,0,0,Brighton & Hove Albion,2020-09-26 Brighton-Manchester Utd,ENG-EPL,20-21,21495573
