id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
028e70b9,Joshua Zirkzee,9,NED,FW,22-268,87,0,0,0,0,4,1,0,0,53,1,0,1,0.6,0.6,0.1,6,0,29,39,74.4,5,31,2,4,2,Bologna,2024-02-14 Bologna-Fiorentina,ITA-SERIA_A,23-24,218232ce
75374ee7,Jens Odgaard,21,DEN,FW,24-320,3,1,0,0,0,1,1,0,0,5,0,0,0,0.5,0.5,0.0,0,0,2,2,100.0,0,3,0,0,0,Bologna,2024-02-14 Bologna-Fiorentina,ITA-SERIA_A,23-24,218232ce
ee251371,Alexis Saelemaekers,56,BEL,LM,24-232,78,0,0,0,0,1,1,0,0,58,2,0,0,0.1,0.1,0.1,6,1,35,46,76.1,2,28,2,3,2,Bologna,2024-02-14 Bologna-Fiorentina,ITA-SERIA_A,23-24,218232ce
5efc5389,Charalambos Lykogiannis,22,GRE,LM,30-115,12,0,1,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.5,2,2,3,4,75.0,0,2,1,1,1,Bologna,2024-02-14 Bologna-Fiorentina,ITA-SERIA_A,23-24,218232ce
ee64a822,Lewis Ferguson,19,SCO,CM,24-174,90,0,1,0,0,4,2,0,0,66,1,0,0,0.3,0.3,0.5,5,1,52,58,89.7,4,32,4,1,1,Bologna,2024-02-14 Bologna-Fiorentina,ITA-SERIA_A,23-24,218232ce
f9c927de,Michel Aebischer,20,SUI,CM,27-039,69,0,0,0,0,1,0,0,0,36,1,0,1,0.0,0.0,0.2,2,0,26,27,96.3,4,14,1,0,0,Bologna,2024-02-14 Bologna-Fiorentina,ITA-SERIA_A,23-24,218232ce
f97f9188,Giovanni Fabbian,80,ITA,CM,21-031,21,0,0,0,0,1,0,0,0,10,0,0,1,0.1,0.1,0.0,0,0,4,6,66.7,1,3,1,0,0,Bologna,2024-02-14 Bologna-Fiorentina,ITA-SERIA_A,23-24,218232ce
e14ec482,Riccardo Orsolini,7,ITA,RM,27-021,78,1,0,0,0,5,2,0,0,31,1,0,0,0.3,0.3,0.4,3,0,19,25,76.0,1,16,4,1,0,Bologna,2024-02-14 Bologna-Fiorentina,ITA-SERIA_A,23-24,218232ce
8e697a8f,Dan Ndoye,11,SUI,RM,23-112,12,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,7,10,70.0,0,9,0,2,2,Bologna,2024-02-14 Bologna-Fiorentina,ITA-SERIA_A,23-24,218232ce
