id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
cbbfa2e7,Fyodor Smolov,9,RUS,FW,30-000,87,0,0,0,0,2,1,1,0,41,0,4,4,0.2,0.2,0.0,1,0,13,21,61.9,0,20,0,2,0,Celta Vigo,2020-02-09 Celta Vigo-Sevilla,ESP-LALIGA,19-20,24e7efeb
0b90bb97,Santi Mina,22,ESP,FW,24-064,3,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,1,1,2,2,100.0,1,1,0,0,0,Celta Vigo,2020-02-09 Celta Vigo-Sevilla,ESP-LALIGA,19-20,24e7efeb
c9e39d91,Brais Méndez,23,ESP,LW,23-033,45,0,0,0,0,2,1,0,0,27,2,0,1,0.1,0.1,0.1,3,0,9,18,50.0,3,12,1,2,2,Celta Vigo,2020-02-09 Celta Vigo-Sevilla,ESP-LALIGA,19-20,24e7efeb
fd9c4805,Pione Sisto,11,DEN,LW,25-005,45,1,0,0,0,4,3,0,0,26,2,0,0,0.4,0.4,0.0,1,0,12,19,63.2,2,24,7,2,2,Celta Vigo,2020-02-09 Celta Vigo-Sevilla,ESP-LALIGA,19-20,24e7efeb
7dcf86f6,Iago Aspas,10,ESP,RW,32-192,90,1,0,0,0,2,1,0,0,48,1,3,0,0.8,0.8,0.1,4,1,29,36,80.6,5,33,5,7,5,Celta Vigo,2020-02-09 Celta Vigo-Sevilla,ESP-LALIGA,19-20,24e7efeb
0c2ac3cb,Rafinha,12,BRA,LM,26-362,90,0,1,0,0,2,0,0,0,66,1,0,0,0.1,0.1,0.7,5,1,48,55,87.3,7,46,1,4,3,Celta Vigo,2020-02-09 Celta Vigo-Sevilla,ESP-LALIGA,19-20,24e7efeb
e49ce451,Okay Yokuşlu,5,TUR,CM,25-337,90,0,1,0,0,0,0,0,0,60,0,1,0,0.0,0.0,0.4,4,1,46,52,88.5,10,39,4,4,3,Celta Vigo,2020-02-09 Celta Vigo-Sevilla,ESP-LALIGA,19-20,24e7efeb
ed5c5fa3,Fran Beltrán,8,ESP,RM,21-006,69,0,0,0,0,0,0,0,0,29,2,0,1,0.0,0.0,0.0,2,0,22,24,91.7,2,15,0,1,1,Celta Vigo,2020-02-09 Celta Vigo-Sevilla,ESP-LALIGA,19-20,24e7efeb
605873e1,Filip Bradarić,14,CRO,RM,28-029,21,0,0,0,0,0,0,0,0,14,1,1,0,0.0,0.0,0.0,0,0,10,14,71.4,1,6,0,0,0,Celta Vigo,2020-02-09 Celta Vigo-Sevilla,ESP-LALIGA,19-20,24e7efeb
4cee5954,Lucas Olaza,15,URU,LB,25-203,90,0,0,0,0,0,0,0,0,68,0,3,2,0.0,0.0,0.0,0,0,41,63,65.1,4,33,2,0,0,Celta Vigo,2020-02-09 Celta Vigo-Sevilla,ESP-LALIGA,19-20,24e7efeb
27a013f7,Néstor Araujo,4,MEX,CB,28-164,90,0,0,0,0,0,0,0,0,59,1,0,1,0.0,0.0,0.0,1,0,45,54,83.3,2,34,0,0,0,Celta Vigo,2020-02-09 Celta Vigo-Sevilla,ESP-LALIGA,19-20,24e7efeb
b233e8e4,Jeison Murillo,21,COL,CB,27-258,90,0,0,0,0,0,0,1,0,46,3,0,1,0.0,0.0,0.0,0,0,33,36,91.7,2,21,0,0,0,Celta Vigo,2020-02-09 Celta Vigo-Sevilla,ESP-LALIGA,19-20,24e7efeb
cb574619,Hugo Mallo,2,ESP,RB,28-232,90,0,0,0,0,1,1,1,0,49,2,0,0,0.0,0.0,0.0,2,0,30,42,71.4,3,19,1,1,1,Celta Vigo,2020-02-09 Celta Vigo-Sevilla,ESP-LALIGA,19-20,24e7efeb
967f34d3,Rubén Blanco,13,ESP,GK,24-199,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,19,31,61.3,0,12,0,0,0,Celta Vigo,2020-02-09 Celta Vigo-Sevilla,ESP-LALIGA,19-20,24e7efeb
04e17fd5,Youssef En-Nesyri,15,MAR,FW,22-253,72,1,0,0,0,3,1,0,0,33,0,0,0,0.5,0.5,0.0,0,0,14,23,60.9,2,14,0,1,0,Sevilla,2020-02-09 Celta Vigo-Sevilla,ESP-LALIGA,19-20,24e7efeb
abb3bb95,Luuk de Jong,19,NED,FW,29-166,18,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,0,5,0,0,0,Sevilla,2020-02-09 Celta Vigo-Sevilla,ESP-LALIGA,19-20,24e7efeb
a08b974a,Lucas Ocampos,5,ARG,"LW,RW",25-213,90,0,0,0,0,4,2,0,0,51,1,1,1,0.5,0.5,0.0,1,0,26,33,78.8,4,31,6,7,3,Sevilla,2020-02-09 Celta Vigo-Sevilla,ESP-LALIGA,19-20,24e7efeb
4e219ad2,Suso,14,ESP,RW,26-082,65,0,0,0,0,1,0,0,0,34,0,0,1,0.0,0.0,0.1,4,0,21,29,72.4,3,23,3,2,0,Sevilla,2020-02-09 Celta Vigo-Sevilla,ESP-LALIGA,19-20,24e7efeb
fa937f7a,Éver Banega,10,ARG,"RW,LM",31-225,25,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,22,24,91.7,4,18,0,1,1,Sevilla,2020-02-09 Celta Vigo-Sevilla,ESP-LALIGA,19-20,24e7efeb
467bae22,Franco Vázquez,22,ARG,"LM,LW",30-352,84,0,0,0,0,1,1,0,0,57,1,1,2,0.1,0.1,0.0,2,0,34,45,75.6,6,32,0,2,1,Sevilla,2020-02-09 Celta Vigo-Sevilla,ESP-LALIGA,19-20,24e7efeb
b2d0ec1b,Nolito,8,ESP,LW,33-117,6,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,0,1,0,0,0,Sevilla,2020-02-09 Celta Vigo-Sevilla,ESP-LALIGA,19-20,24e7efeb
