id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
aa8e289e,Nikola Vlašić,16,CRO,FW,25-092,90,0,0,0,0,0,0,0,0,52,0,0,1,0.0,0.0,0.2,6,1,38,43,88.4,2,29,0,1,1,Torino,2023-01-04 Torino-Hellas Verona,ITA-SERIA_A,22-23,25fb9390
0630eb63,Nemanja Radonjić,49,SRB,AM,26-323,64,0,0,0,0,2,1,0,0,25,0,0,0,0.1,0.1,0.1,1,0,12,16,75.0,2,21,4,5,1,Torino,2023-01-04 Torino-Hellas Verona,ITA-SERIA_A,22-23,25fb9390
0a447501,Antonio Sanabria,9,PAR,AM,26-306,26,0,0,0,0,0,0,0,0,15,1,0,0,0.0,0.0,0.0,0,0,7,10,70.0,0,8,0,0,0,Torino,2023-01-04 Torino-Hellas Verona,ITA-SERIA_A,22-23,25fb9390
a9aa0d1d,Aleksei Miranchuk,59,RUS,AM,27-079,90,1,0,0,0,2,2,0,0,58,0,0,1,0.0,0.0,0.0,0,0,37,48,77.1,5,32,0,1,0,Torino,2023-01-04 Torino-Hellas Verona,ITA-SERIA_A,22-23,25fb9390
9823be92,Samuele Ricci,28,ITA,CM,21-136,88,0,0,0,0,0,0,0,0,56,0,1,1,0.0,0.0,0.0,1,0,45,54,83.3,1,29,1,1,1,Torino,2023-01-04 Torino-Hellas Verona,ITA-SERIA_A,22-23,25fb9390
d023d70f,Karol Linetty,77,POL,CM,27-336,2,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,3,6,50.0,1,5,2,1,1,Torino,2023-01-04 Torino-Hellas Verona,ITA-SERIA_A,22-23,25fb9390
c6e8cf1f,Saša Lukić,10,SRB,CM,26-144,90,0,0,0,0,3,0,0,0,66,2,2,0,0.2,0.2,0.1,2,0,46,54,85.2,2,27,0,0,0,Torino,2023-01-04 Torino-Hellas Verona,ITA-SERIA_A,22-23,25fb9390
be2706c0,Mërgim Vojvoda,27,KVX,WB,27-337,90,0,0,0,0,0,0,0,0,66,1,0,0,0.0,0.0,0.0,3,0,39,57,68.4,6,26,2,0,0,Torino,2023-01-04 Torino-Hellas Verona,ITA-SERIA_A,22-23,25fb9390
016ff750,Valentino Lazaro,19,AUT,WB,26-286,90,0,0,0,0,1,0,0,0,88,0,0,0,0.1,0.1,0.1,3,0,62,87,71.3,7,37,4,3,2,Torino,2023-01-04 Torino-Hellas Verona,ITA-SERIA_A,22-23,25fb9390
7f78ad23,Ricardo Rodríguez,13,SUI,CB,30-132,90,0,0,0,0,0,0,0,0,72,2,1,0,0.0,0.0,0.0,0,0,54,66,81.8,3,22,1,1,0,Torino,2023-01-04 Torino-Hellas Verona,ITA-SERIA_A,22-23,25fb9390
