id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
6605d143,Habib Diallo,20,SEN,FW,24-235,90,0,0,0,0,2,0,0,0,34,0,0,0,0.0,0.0,0.0,1,0,12,17,70.6,1,19,2,1,1,Metz,2020-02-08 Metz-Bordeaux,FRA-L1,19-20,27c16c8e
46faabfa,Ibrahima Niane,7,SEN,LW,20-334,73,1,0,0,0,1,1,0,0,28,1,3,0,0.0,0.0,0.1,4,0,15,18,83.3,2,19,0,1,1,Metz,2020-02-08 Metz-Bordeaux,FRA-L1,19-20,27c16c8e
8332db56,Thomas Delaine,17,FRA,"LW,LB",27-321,17,0,0,0,0,0,0,0,0,4,0,1,0,0.0,0.0,0.1,1,0,2,2,100.0,0,2,0,0,0,Metz,2020-02-08 Metz-Bordeaux,FRA-L1,19-20,27c16c8e
75a63397,Opa Nguette,11,SEN,RW,25-215,62,0,0,0,0,1,0,0,0,27,2,0,0,0.0,0.0,0.0,1,0,13,18,72.2,1,17,2,5,3,Metz,2020-02-08 Metz-Bordeaux,FRA-L1,19-20,27c16c8e
a0791826,Farid Boulaya,27,ALG,RW,26-348,28,0,0,0,0,0,0,0,0,17,0,2,0,0.0,0.0,0.1,1,0,9,15,60.0,2,9,1,2,1,Metz,2020-02-08 Metz-Bordeaux,FRA-L1,19-20,27c16c8e
f86ca403,Vincent Pajot,14,FRA,LM,29-173,7,0,1,0,0,1,0,0,1,4,0,0,0,0.0,0.0,0.1,2,1,3,3,100.0,1,1,1,0,0,Metz,2020-02-08 Metz-Bordeaux,FRA-L1,19-20,27c16c8e
e50623a0,Kévin N'Doram,4,FRA,"LM,CM",24-017,90,0,0,0,0,1,1,0,0,37,1,1,2,0.0,0.0,0.0,3,0,19,25,76.0,4,15,0,0,0,Metz,2020-02-08 Metz-Bordeaux,FRA-L1,19-20,27c16c8e
e768de1f,Habib Maïga,19,CIV,RM,24-038,90,0,0,0,0,2,0,1,0,44,2,2,1,0.1,0.1,0.0,3,0,24,29,82.8,2,24,3,1,1,Metz,2020-02-08 Metz-Bordeaux,FRA-L1,19-20,27c16c8e
cc41f558,Matthieu Udol,3,FRA,LB,23-325,87,0,0,0,0,0,0,0,0,36,4,1,1,0.0,0.0,0.0,0,0,16,24,66.7,0,16,1,2,1,Metz,2020-02-08 Metz-Bordeaux,FRA-L1,19-20,27c16c8e
