id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
165a2e40,Burak Yılmaz,17,TUR,FW,35-275,90,0,0,0,0,3,1,0,0,29,1,0,0,0.3,0.3,0.3,2,0,13,19,68.4,1,14,1,1,1,Lille,2021-04-16 Lille-Montpellier,FRA-L1,20-21,283e5426
8eec784d,Timothy Weah,22,USA,FW,21-053,67,0,0,0,0,2,1,0,0,43,2,1,1,0.1,0.1,0.3,4,0,27,33,81.8,1,26,4,0,0,Lille,2021-04-16 Lille-Montpellier,FRA-L1,20-21,283e5426
ce50fd99,Jonathan David,9,CAN,FW,21-092,23,0,0,0,0,1,1,0,0,13,0,0,0,0.1,0.1,0.0,0,0,5,9,55.6,2,8,0,1,0,Lille,2021-04-16 Lille-Montpellier,FRA-L1,20-21,283e5426
b2bd0f6c,Jonathan Bamba,7,CIV,LM,25-021,76,0,0,0,0,5,2,0,0,63,0,0,0,0.2,0.2,0.2,6,0,35,49,71.4,3,37,3,2,1,Lille,2021-04-16 Lille-Montpellier,FRA-L1,20-21,283e5426
fa18c72e,Luiz Araújo,11,BRA,LM,24-318,14,1,0,0,0,1,1,0,0,16,0,0,0,0.0,0.0,0.0,0,0,10,15,66.7,1,7,1,1,1,Lille,2021-04-16 Lille-Montpellier,FRA-L1,20-21,283e5426
ae59b359,Boubakary Soumaré,24,FRA,CM,22-048,90,0,0,0,0,2,0,0,0,103,4,1,1,0.1,0.1,0.0,3,0,79,93,84.9,18,60,3,3,2,Lille,2021-04-16 Lille-Montpellier,FRA-L1,20-21,283e5426
ef9c1c95,Benjamin André,21,FRA,CM,30-256,67,0,0,0,0,1,0,1,0,63,1,0,1,0.1,0.1,0.0,2,0,48,57,84.2,9,38,2,1,1,Lille,2021-04-16 Lille-Montpellier,FRA-L1,20-21,283e5426
f3600c02,Xeka,8,POR,CM,26-157,23,0,0,0,0,1,1,0,0,34,1,0,0,0.0,0.0,0.0,2,0,23,29,79.3,3,20,3,0,0,Lille,2021-04-16 Lille-Montpellier,FRA-L1,20-21,283e5426
42eaa028,Jonathan Ikone,10,FRA,RM,22-349,76,0,0,0,0,1,1,0,0,40,2,0,0,0.3,0.3,0.1,3,0,27,33,81.8,6,27,5,2,2,Lille,2021-04-16 Lille-Montpellier,FRA-L1,20-21,283e5426
f5c8b425,Yusuf Yazıcı,12,TUR,RM,24-077,14,0,0,0,0,1,0,0,0,16,0,0,0,0.0,0.0,0.1,1,0,9,15,60.0,2,8,2,0,0,Lille,2021-04-16 Lille-Montpellier,FRA-L1,20-21,283e5426
c20bdcd7,Reinildo Mandava,28,MOZ,LB,27-085,85,0,0,0,0,1,0,1,0,69,2,1,2,0.0,0.0,0.1,5,0,43,57,75.4,3,28,1,4,3,Lille,2021-04-16 Lille-Montpellier,FRA-L1,20-21,283e5426
8bbe2df5,Domagoj Bradarić,29,CRO,LB,21-127,5,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,6,10,60.0,0,5,1,0,0,Lille,2021-04-16 Lille-Montpellier,FRA-L1,20-21,283e5426
ccce7025,Sven Botman,5,NED,CB,21-094,90,0,0,0,0,0,0,0,0,82,0,1,0,0.0,0.0,0.0,0,0,70,79,88.6,11,50,3,0,0,Lille,2021-04-16 Lille-Montpellier,FRA-L1,20-21,283e5426
90f87966,José Fonte,6,POR,CB,37-115,90,0,0,0,0,1,1,0,0,80,3,1,0,0.1,0.1,0.0,1,1,66,73,90.4,8,52,2,0,0,Lille,2021-04-16 Lille-Montpellier,FRA-L1,20-21,283e5426
31a62dc7,Zeki Çelik,2,TUR,RB,24-058,90,0,1,0,0,0,0,1,0,67,4,1,1,0.0,0.0,0.1,2,1,43,56,76.8,4,36,3,3,2,Lille,2021-04-16 Lille-Montpellier,FRA-L1,20-21,283e5426
fcb38f57,Mike Maignan,16,FRA,GK,25-287,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,1,0,29,31,93.5,1,15,0,0,0,Lille,2021-04-16 Lille-Montpellier,FRA-L1,20-21,283e5426
d33c706e,Andy Delort,9,ALG,FW,29-189,86,1,0,0,0,3,1,0,0,48,0,0,1,0.6,0.6,0.0,0,0,17,38,44.7,2,30,0,1,0,Montpellier,2021-04-16 Lille-Montpellier,FRA-L1,20-21,283e5426
d9a66c60,Petar Škuletić,32,SRB,FW,30-291,4,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,1,4,0,0,0,Montpellier,2021-04-16 Lille-Montpellier,FRA-L1,20-21,283e5426
30144daa,Stephy Mavididi,19,ENG,LW,22-320,90,0,0,0,0,2,1,0,0,34,0,1,0,0.1,0.1,0.0,0,0,14,17,82.4,1,30,9,5,2,Montpellier,2021-04-16 Lille-Montpellier,FRA-L1,20-21,283e5426
7cdda3bf,Gaëtan Laborde,10,FRA,RW,26-348,76,0,1,0,0,0,0,0,0,28,3,1,1,0.0,0.0,0.4,2,1,12,20,60.0,2,14,1,0,0,Montpellier,2021-04-16 Lille-Montpellier,FRA-L1,20-21,283e5426
4e0afc5d,Arnaud Souquet,2,FRA,RW,29-063,14,0,0,0,0,0,0,0,0,9,1,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,3,1,0,0,Montpellier,2021-04-16 Lille-Montpellier,FRA-L1,20-21,283e5426
6bde367b,Téji Savanier,11,FRA,LM,29-115,86,0,0,0,0,3,2,0,0,49,2,2,1,0.1,0.1,0.2,8,0,25,32,78.1,5,33,0,3,1,Montpellier,2021-04-16 Lille-Montpellier,FRA-L1,20-21,283e5426
8f4d116f,Damien Le Tallec,14,FRA,LM,30-362,4,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,3,7,42.9,0,5,2,0,0,Montpellier,2021-04-16 Lille-Montpellier,FRA-L1,20-21,283e5426
375622c5,Jordan Ferri,12,FRA,CM,29-035,90,0,0,0,0,0,0,0,0,60,0,0,3,0.0,0.0,0.0,1,1,38,48,79.2,8,39,2,0,0,Montpellier,2021-04-16 Lille-Montpellier,FRA-L1,20-21,283e5426
7e82a78f,Florent Mollet,25,FRA,RM,29-148,90,0,0,0,0,2,0,1,0,56,2,3,0,0.2,0.2,0.0,1,0,38,44,86.4,2,36,0,0,0,Montpellier,2021-04-16 Lille-Montpellier,FRA-L1,20-21,283e5426
ea0aa7e0,Mihailo Ristić,7,SRB,LB,25-167,90,0,0,0,0,0,0,0,0,54,3,1,1,0.0,0.0,0.0,0,0,31,42,73.8,1,37,1,1,0,Montpellier,2021-04-16 Lille-Montpellier,FRA-L1,20-21,283e5426
3f5b4635,Daniel Congré,3,FRA,CB,36-011,90,0,0,0,0,0,0,0,0,45,1,3,0,0.0,0.0,0.0,0,0,25,27,92.6,2,26,0,0,0,Montpellier,2021-04-16 Lille-Montpellier,FRA-L1,20-21,283e5426
6690ef25,Pedro Mendes,5,POR,CB,30-197,52,0,0,0,0,0,0,0,0,26,3,2,2,0.0,0.0,0.0,1,0,15,17,88.2,1,14,0,0,0,Montpellier,2021-04-16 Lille-Montpellier,FRA-L1,20-21,283e5426
c4bbea9f,Vitorino Hilton,4,BRA,CB,43-215,38,0,0,0,0,0,0,0,0,18,1,2,0,0.0,0.0,0.0,0,0,4,9,44.4,1,8,0,0,0,Montpellier,2021-04-16 Lille-Montpellier,FRA-L1,20-21,283e5426
