id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
e92cd3f7,Alexander Sørloth,11,NOR,FW,28-061,45,0,0,0,0,1,1,0,0,9,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,8,1,0,0,Villarreal,2024-02-04 Villarreal-Cádiz,ESP-LALIGA,23-24,28a20450
4a478107,José Luis Morales,15,ESP,FW,36-196,45,0,0,0,0,2,0,0,0,34,1,0,0,0.2,0.2,0.0,2,0,19,24,79.2,5,23,3,3,1,Villarreal,2024-02-04 Villarreal-Cádiz,ESP-LALIGA,23-24,28a20450
81f0781e,Gerard Moreno,7,ESP,FW,31-303,90,0,0,0,0,3,0,0,0,42,0,0,0,0.2,0.2,0.2,4,0,27,33,81.8,12,31,2,4,4,Villarreal,2024-02-04 Villarreal-Cádiz,ESP-LALIGA,23-24,28a20450
518f2234,Alex Baena,16,ESP,LM,22-199,90,0,0,0,0,4,1,1,0,64,1,0,1,0.3,0.3,0.6,13,0,36,57,63.2,12,32,5,3,2,Villarreal,2024-02-04 Villarreal-Cádiz,ESP-LALIGA,23-24,28a20450
a6951bf8,Francis Coquelin,19,FRA,CM,32-267,88,0,0,0,0,0,0,1,0,56,4,2,0,0.0,0.0,0.1,3,0,37,45,82.2,9,24,0,1,0,Villarreal,2024-02-04 Villarreal-Cádiz,ESP-LALIGA,23-24,28a20450
963829d0,Manu Trigueros,14,ESP,CM,32-110,2,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,3,6,50.0,0,3,0,0,0,Villarreal,2024-02-04 Villarreal-Cádiz,ESP-LALIGA,23-24,28a20450
5ae499d0,Santi Comesaña,4,ESP,CM,27-122,69,0,0,0,0,1,1,1,0,39,2,1,2,0.1,0.1,0.0,1,0,25,31,80.6,3,20,1,1,1,Villarreal,2024-02-04 Villarreal-Cádiz,ESP-LALIGA,23-24,28a20450
5acc4a10,Étienne Capoue,6,FRA,CM,35-208,21,0,0,0,0,0,0,0,0,23,1,4,1,0.0,0.0,0.0,0,0,14,15,93.3,2,6,0,0,0,Villarreal,2024-02-04 Villarreal-Cádiz,ESP-LALIGA,23-24,28a20450
b8bd60fe,Ilias Akhomach,27,MAR,RM,19-294,45,0,0,0,0,0,0,0,0,27,1,0,1,0.0,0.0,0.0,3,0,9,19,47.4,1,16,1,6,3,Villarreal,2024-02-04 Villarreal-Cádiz,ESP-LALIGA,23-24,28a20450
