id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
5bd72174,Francesco Caputo,11,ITA,FW,31-138,90,1,0,0,0,3,1,1,0,22,0,0,1,0.3,0.3,0.1,4,1,9,12,75.0,1,16,3,3,2,Empoli,2018-12-22 Empoli-Sampdoria,ITA-SERIA_A,18-19,2b50c933
822a7761,Antonino La Gumina,20,ITA,FW,22-291,90,0,0,0,0,0,0,1,0,14,0,0,1,0.0,0.0,0.0,3,2,6,9,66.7,1,6,1,2,2,Empoli,2018-12-22 Empoli-Sampdoria,ITA-SERIA_A,18-19,2b50c933
570bb4b9,Hamed Junior Traorè,8,CIV,"CM,LM",18-309,90,0,1,0,0,3,1,0,0,39,2,1,3,0.1,0.1,0.2,3,1,24,30,80.0,6,16,2,0,0,Empoli,2018-12-22 Empoli-Sampdoria,ITA-SERIA_A,18-19,2b50c933
db092d3b,Ismaël Bennacer,10,ALG,CM,21-021,90,0,0,0,0,0,0,0,0,38,1,2,0,0.0,0.0,0.0,2,0,26,33,78.8,2,15,0,0,0,Empoli,2018-12-22 Empoli-Sampdoria,ITA-SERIA_A,18-19,2b50c933
d7403bd5,Afriyie Acquah,18,GHA,"CM,RM",26-351,83,0,0,0,0,1,0,1,0,27,1,0,0,0.0,0.0,0.0,1,0,13,21,61.9,2,14,1,0,0,Empoli,2018-12-22 Empoli-Sampdoria,ITA-SERIA_A,18-19,2b50c933
fe154b26,Salih Uçan,48,TUR,RM,24-350,7,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.1,1,0,3,5,60.0,1,2,0,0,0,Empoli,2018-12-22 Empoli-Sampdoria,ITA-SERIA_A,18-19,2b50c933
548902cc,Manuel Pasqual,23,ITA,LB,36-284,90,1,0,1,1,1,0,0,0,38,1,0,0,0.8,0.0,0.0,0,0,16,34,47.1,2,14,0,0,0,Empoli,2018-12-22 Empoli-Sampdoria,ITA-SERIA_A,18-19,2b50c933
283699b4,Jacob Rasmussen,32,DEN,CB,21-208,71,0,0,0,0,0,0,0,0,26,1,1,0,0.0,0.0,0.0,0,0,12,16,75.0,0,7,0,0,0,Empoli,2018-12-22 Empoli-Sampdoria,ITA-SERIA_A,18-19,2b50c933
83e4643e,Miha Zajc,6,SVN,AM,24-174,19,0,0,0,0,0,0,0,0,10,0,1,0,0.0,0.0,0.0,0,0,5,9,55.6,1,6,0,0,0,Empoli,2018-12-22 Empoli-Sampdoria,ITA-SERIA_A,18-19,2b50c933
b6ca47a2,Matías Silvestre,26,ARG,CB,34-088,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.1,1,0,18,26,69.2,1,9,0,0,0,Empoli,2018-12-22 Empoli-Sampdoria,ITA-SERIA_A,18-19,2b50c933
d541e703,Freddie Veseli,5,ALB,CB,26-032,90,0,0,0,0,1,0,0,0,36,0,1,2,0.1,0.1,0.0,0,0,20,28,71.4,0,9,0,0,0,Empoli,2018-12-22 Empoli-Sampdoria,ITA-SERIA_A,18-19,2b50c933
230a2fac,Giovanni Di Lorenzo,2,ITA,RB,25-140,90,0,0,0,0,0,0,0,0,49,2,0,2,0.0,0.0,0.0,3,0,28,40,70.0,5,22,2,0,0,Empoli,2018-12-22 Empoli-Sampdoria,ITA-SERIA_A,18-19,2b50c933
277da414,Ivan Provedel,1,ITA,GK,24-280,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,22,29,75.9,0,18,0,0,0,Empoli,2018-12-22 Empoli-Sampdoria,ITA-SERIA_A,18-19,2b50c933
ee4f2f3b,Fabio Quagliarella,27,ITA,FW,35-325,90,1,0,0,0,6,3,1,0,42,0,0,1,1.1,1.1,0.0,3,2,22,33,66.7,2,32,0,0,0,Sampdoria,2018-12-22 Empoli-Sampdoria,ITA-SERIA_A,18-19,2b50c933
854ee61a,Grégoire Defrel,92,MTQ,FW,27-188,84,0,1,0,0,1,0,0,0,29,0,0,1,0.0,0.0,0.1,4,1,23,27,85.2,0,16,0,1,1,Sampdoria,2018-12-22 Empoli-Sampdoria,ITA-SERIA_A,18-19,2b50c933
54e53b7e,Gianluca Caprari,17,ITA,FW,25-145,6,2,0,0,0,3,3,1,0,9,0,0,0,0.1,0.1,0.0,0,0,5,6,83.3,1,6,2,0,0,Sampdoria,2018-12-22 Empoli-Sampdoria,ITA-SERIA_A,18-19,2b50c933
2c851997,Gastón Ramírez,11,URU,AM,28-020,64,1,0,0,0,2,2,0,0,55,2,0,1,0.1,0.1,0.1,3,1,37,48,77.1,3,35,1,1,1,Sampdoria,2018-12-22 Empoli-Sampdoria,ITA-SERIA_A,18-19,2b50c933
3bb7af3b,Riccardo Saponara,5,ITA,AM,27-001,26,0,1,0,0,0,0,0,0,20,0,0,1,0.0,0.0,0.0,1,1,11,17,64.7,0,13,0,0,0,Sampdoria,2018-12-22 Empoli-Sampdoria,ITA-SERIA_A,18-19,2b50c933
d023d70f,Karol Linetty,16,POL,LM,23-323,85,0,0,0,0,1,1,0,0,48,1,0,2,0.0,0.0,0.0,5,1,38,44,86.4,2,26,3,0,0,Sampdoria,2018-12-22 Empoli-Sampdoria,ITA-SERIA_A,18-19,2b50c933
1ea5f91c,Jakub Jankto,14,CZE,LM,22-337,5,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,5,5,100.0,1,1,0,0,0,Sampdoria,2018-12-22 Empoli-Sampdoria,ITA-SERIA_A,18-19,2b50c933
f503ea63,Albin Ekdal,6,SWE,CM,29-147,90,0,0,0,0,0,0,1,0,63,0,3,1,0.0,0.0,0.0,0,0,51,54,94.4,4,30,1,0,0,Sampdoria,2018-12-22 Empoli-Sampdoria,ITA-SERIA_A,18-19,2b50c933
86695068,Dennis Praet,10,BEL,RM,24-222,90,0,0,0,0,0,0,0,0,82,0,0,2,0.0,0.0,1.0,4,0,72,79,91.1,7,46,5,1,1,Sampdoria,2018-12-22 Empoli-Sampdoria,ITA-SERIA_A,18-19,2b50c933
d183e9d6,Nicola Murru,29,ITA,LB,24-006,90,0,2,0,0,1,0,0,0,91,0,0,2,0.0,0.0,0.4,5,2,71,84,84.5,5,58,5,3,2,Sampdoria,2018-12-22 Empoli-Sampdoria,ITA-SERIA_A,18-19,2b50c933
e34fc66d,Joachim Andersen,3,DEN,CB,22-205,90,0,0,0,0,1,1,1,0,112,0,2,0,0.1,0.1,0.0,1,0,103,106,97.2,9,83,4,1,1,Sampdoria,2018-12-22 Empoli-Sampdoria,ITA-SERIA_A,18-19,2b50c933
8cc29864,Lorenzo Tonelli,26,ITA,CB,28-339,90,0,0,0,0,1,1,0,0,88,2,2,2,0.3,0.3,0.0,1,0,75,81,92.6,3,54,0,0,0,Sampdoria,2018-12-22 Empoli-Sampdoria,ITA-SERIA_A,18-19,2b50c933
da5a981b,Jacopo Sala,7,ITA,RB,27-017,90,0,0,0,0,0,0,0,0,87,1,0,1,0.0,0.0,0.1,2,0,66,79,83.5,11,58,3,1,1,Sampdoria,2018-12-22 Empoli-Sampdoria,ITA-SERIA_A,18-19,2b50c933
649b01d8,Emil Audero,1,ITA,GK,21-338,90,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,1,0,18,20,90.0,0,7,0,0,0,Sampdoria,2018-12-22 Empoli-Sampdoria,ITA-SERIA_A,18-19,2b50c933
