id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
4be0b467,Lois Diony,9,FRA,FW,29-244,61,0,0,0,0,0,0,1,0,21,0,0,0,0.0,0.0,0.0,0,0,16,19,84.2,0,16,1,0,0,Angers,2022-08-21 Angers-Brest,FRA-L1,22-23,2bc4aa01
bc7cc472,Amine Salama,11,FRA,FW,22-034,29,0,1,0,0,0,0,0,0,12,1,1,0,0.0,0.0,0.2,1,1,6,8,75.0,0,7,1,2,0,Angers,2022-08-21 Angers-Brest,FRA-L1,22-23,2bc4aa01
d14229f3,Adrien Hunou,23,FRA,"LW,LM",28-214,41,0,0,0,0,0,0,0,0,21,3,0,2,0.0,0.0,0.0,0,0,9,12,75.0,0,12,0,2,1,Angers,2022-08-21 Angers-Brest,FRA-L1,22-23,2bc4aa01
7fecbcdb,Abdoulaye Bamba,25,CIV,RB,32-118,49,0,0,0,0,0,0,0,0,29,2,1,0,0.0,0.0,0.1,1,0,19,22,86.4,2,17,0,0,0,Angers,2022-08-21 Angers-Brest,FRA-L1,22-23,2bc4aa01
f4bc42b1,Sada Thioub,92,SEN,"RW,RM,RB",27-081,61,0,0,0,0,1,0,1,0,37,2,2,1,0.1,0.1,0.0,0,0,18,26,69.2,3,30,0,1,0,Angers,2022-08-21 Angers-Brest,FRA-L1,22-23,2bc4aa01
95192fe4,Waniss Taibi,26,FRA,CM,20-167,29,0,0,0,0,0,0,0,0,29,2,0,0,0.0,0.0,0.0,0,0,25,26,96.2,1,22,0,0,0,Angers,2022-08-21 Angers-Brest,FRA-L1,22-23,2bc4aa01
83299cc0,Azzedine Ounahi,8,MAR,"AM,RM,LM",22-124,86,0,0,0,0,2,1,0,0,64,1,0,0,0.1,0.1,0.1,3,0,46,55,83.6,5,52,0,3,2,Angers,2022-08-21 Angers-Brest,FRA-L1,22-23,2bc4aa01
7d937aa1,Antonin Bobichon,21,FRA,RM,26-341,4,0,0,0,0,1,1,0,0,8,0,0,1,0.1,0.1,0.0,1,0,4,6,66.7,0,5,2,0,0,Angers,2022-08-21 Angers-Brest,FRA-L1,22-23,2bc4aa01
79b2399c,Pierrick Capelle,15,FRA,"DM,CM",35-128,60,0,0,0,0,2,2,0,0,31,1,0,1,0.2,0.2,0.0,1,0,20,25,80.0,2,24,1,3,1,Angers,2022-08-21 Angers-Brest,FRA-L1,22-23,2bc4aa01
b0c71810,Sofiane Boufal,7,MAR,LM,28-338,30,1,0,0,0,1,1,0,0,28,0,1,1,0.2,0.2,0.0,2,1,13,21,61.9,5,24,2,5,1,Angers,2022-08-21 Angers-Brest,FRA-L1,22-23,2bc4aa01
e472a6f6,Batista Mendy,2,FRA,"CM,DM",22-221,90,0,0,0,0,0,0,0,0,81,6,0,2,0.0,0.0,0.0,2,0,58,66,87.9,8,69,0,5,2,Angers,2022-08-21 Angers-Brest,FRA-L1,22-23,2bc4aa01
9daeac61,Souleyman Doumbia,3,CIV,LB,25-331,90,0,0,0,0,0,0,0,0,62,3,0,1,0.0,0.0,0.0,1,0,36,47,76.6,1,37,0,6,3,Angers,2022-08-21 Angers-Brest,FRA-L1,22-23,2bc4aa01
