id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
0b4f388a,Breel Embolo,36,SUI,FW,21-220,90,0,0,0,0,2,0,0,0,23,1,0,1,0.2,0.2,0.1,2,0,9,15,60.0,2,8,2,0,0,Schalke 04,2018-09-22 Schalke 04-Bayern Munich,GER-BL1,18-19,2bd3ce0b
a3ddb1b9,Mark Uth,7,GER,FW,27-029,72,0,0,0,0,1,1,0,0,20,1,0,1,0.0,0.0,0.0,1,0,12,13,92.3,1,11,0,1,0,Schalke 04,2018-09-22 Schalke 04-Bayern Munich,GER-BL1,18-19,2bd3ce0b
2bcc6d52,Guido Burgstaller,19,AUT,FW,29-146,18,0,0,0,0,1,0,0,0,5,0,0,0,0.0,0.0,0.0,1,0,1,1,100.0,0,5,0,1,0,Schalke 04,2018-09-22 Schalke 04-Bayern Munich,GER-BL1,18-19,2bd3ce0b
549c6ba7,Franco Di Santo,9,ARG,AM,29-168,64,0,0,0,0,1,1,0,0,16,1,0,0,0.0,0.0,0.0,1,0,4,12,33.3,0,9,3,1,1,Schalke 04,2018-09-22 Schalke 04-Bayern Munich,GER-BL1,18-19,2bd3ce0b
e7d59f4f,Amine Harit,25,MAR,AM,21-096,26,0,0,0,0,1,0,0,0,16,0,0,0,0.0,0.0,0.1,3,0,11,14,78.6,3,8,2,1,1,Schalke 04,2018-09-22 Schalke 04-Bayern Munich,GER-BL1,18-19,2bd3ce0b
01c3aff5,Weston McKennie,2,USA,CM,20-025,53,0,0,0,0,0,0,0,0,19,1,1,0,0.0,0.0,0.0,1,0,5,13,38.5,0,5,1,0,0,Schalke 04,2018-09-22 Schalke 04-Bayern Munich,GER-BL1,18-19,2bd3ce0b
3189f61a,Nabil Bentaleb,10,ALG,CM,23-302,37,0,0,0,0,0,0,0,0,14,2,2,1,0.0,0.0,0.0,0,0,5,8,62.5,0,9,1,1,0,Schalke 04,2018-09-22 Schalke 04-Bayern Munich,GER-BL1,18-19,2bd3ce0b
80f36c88,Sebastian Rudy,13,GER,CM,28-206,90,0,0,0,0,0,0,0,0,49,3,0,0,0.0,0.0,0.1,2,0,34,43,79.1,6,23,2,0,0,Schalke 04,2018-09-22 Schalke 04-Bayern Munich,GER-BL1,18-19,2bd3ce0b
106bca06,Alessandro Schöpf,28,AUT,WB,24-227,90,0,0,0,0,0,0,0,0,52,1,0,3,0.0,0.0,0.0,2,0,29,42,69.0,4,26,4,3,2,Schalke 04,2018-09-22 Schalke 04-Bayern Munich,GER-BL1,18-19,2bd3ce0b
