id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
b2fe86e5,Eli Junior Kroupi,22,FRA,FW,17-086,54,0,1,0,0,1,1,0,0,14,0,1,0,0.0,0.0,0.5,1,1,8,10,80.0,1,10,0,1,0,Lorient,2023-09-17 Lorient-Monaco,FRA-L1,23-24,2cbf9481
afe39ca8,Théo Le Bris,37,FRA,AM,20-351,36,0,0,0,0,1,0,0,0,26,1,1,0,0.0,0.0,0.0,2,0,15,20,75.0,6,20,2,1,1,Lorient,2023-09-17 Lorient-Monaco,FRA-L1,23-24,2cbf9481
9c4f39b3,Tosin Aiyegun,27,BEN,"AM,FW",25-083,81,1,0,0,0,2,1,0,0,24,1,0,1,0.6,0.6,0.0,1,0,10,13,76.9,1,14,3,1,1,Lorient,2023-09-17 Lorient-Monaco,FRA-L1,23-24,2cbf9481
92d90c8f,Siriné Doucouré,29,MLI,FW,21-162,9,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,3,0,0,0,Lorient,2023-09-17 Lorient-Monaco,FRA-L1,23-24,2cbf9481
745ca0a3,Romain Faivre,10,FRA,AM,25-065,90,1,0,0,0,2,1,0,0,50,0,0,0,0.1,0.1,0.1,4,0,31,38,81.6,8,42,6,7,4,Lorient,2023-09-17 Lorient-Monaco,FRA-L1,23-24,2cbf9481
e546b2e3,Julien Ponceau,21,FRA,CM,22-293,70,0,0,0,0,0,0,0,0,40,1,1,2,0.0,0.0,0.0,3,1,28,32,87.5,2,31,2,1,0,Lorient,2023-09-17 Lorient-Monaco,FRA-L1,23-24,2cbf9481
cc704d9c,Joel Mvuka,93,NOR,CM,20-309,20,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,4,8,50.0,1,7,0,2,0,Lorient,2023-09-17 Lorient-Monaco,FRA-L1,23-24,2cbf9481
31626657,Laurent Abergel,19,FRA,CM,30-228,90,0,0,0,0,2,0,0,0,80,6,2,1,0.0,0.0,0.1,3,0,56,69,81.2,8,58,0,0,0,Lorient,2023-09-17 Lorient-Monaco,FRA-L1,23-24,2cbf9481
2321ea6e,Vincent Le Goff,25,FRA,WB,33-337,70,0,0,0,0,1,0,0,0,46,1,0,2,0.0,0.0,0.0,1,0,27,37,73.0,1,32,2,1,1,Lorient,2023-09-17 Lorient-Monaco,FRA-L1,23-24,2cbf9481
