id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
8d78e732,Robert Lewandowski,9,POL,FW,30-172,90,1,1,0,0,5,1,1,0,34,0,0,0,1.1,1.1,0.4,3,1,18,27,66.7,1,28,1,3,3,Bayern Munich,2019-02-09 Bayern Munich-Schalke 04,GER-BL1,18-19,2d460aea
042e8a49,Kingsley Coman,29,FRA,LW,22-241,67,0,0,0,0,1,0,0,0,51,0,0,1,0.1,0.1,0.2,4,0,34,41,82.9,6,36,4,6,4,Bayern Munich,2019-02-09 Bayern Munich-Schalke 04,GER-BL1,18-19,2d460aea
f61c7c4e,Franck Ribéry,7,FRA,LW,35-308,23,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,2,0,12,14,85.7,1,14,3,3,2,Bayern Munich,2019-02-09 Bayern Munich-Schalke 04,GER-BL1,18-19,2d460aea
88e357ef,Serge Gnabry,22,GER,RW,23-210,88,1,0,0,0,3,2,0,0,67,4,0,3,0.4,0.4,0.1,5,1,35,44,79.5,2,38,5,6,1,Bayern Munich,2019-02-09 Bayern Munich-Schalke 04,GER-BL1,18-19,2d460aea
d781d855,Alphonso Davies,19,CAN,RW,18-099,2,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,2,0,0,0,Bayern Munich,2019-02-09 Bayern Munich-Schalke 04,GER-BL1,18-19,2d460aea
715bf047,James Rodríguez,11,COL,LM,27-212,77,0,1,0,0,3,1,0,0,82,1,2,2,0.2,0.2,1.0,7,1,64,73,87.7,15,55,3,1,1,Bayern Munich,2019-02-09 Bayern Munich-Schalke 04,GER-BL1,18-19,2d460aea
7f97771d,Javi Martínez,8,ESP,LM,30-160,13,0,0,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.0,0,0,6,6,100.0,1,2,0,0,0,Bayern Munich,2019-02-09 Bayern Munich-Schalke 04,GER-BL1,18-19,2d460aea
77e84962,Thiago Alcántara,6,ESP,CM,27-304,90,0,0,0,0,0,0,0,0,109,5,2,1,0.0,0.0,0.1,6,0,96,98,98.0,13,70,1,0,0,Bayern Munich,2019-02-09 Bayern Munich-Schalke 04,GER-BL1,18-19,2d460aea
cc86b9a3,Leon Goretzka,18,GER,RM,24-003,90,0,0,0,0,2,0,0,0,50,1,2,0,0.2,0.2,0.0,1,0,38,42,90.5,4,36,4,5,4,Bayern Munich,2019-02-09 Bayern Munich-Schalke 04,GER-BL1,18-19,2d460aea
