id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
20730eae,Rafael Leão,7,POR,FW,19-195,74,1,0,0,0,2,2,0,0,26,0,0,1,0.1,0.1,0.0,1,0,15,22,68.2,2,16,1,0,0,Lille,2018-12-22 Lille-Toulouse,FRA-L1,18-19,2e5c78b5
5c2da10f,Loïc Rémy,9,FRA,FW,31-354,16,0,0,0,0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,3,0,0,0,Lille,2018-12-22 Lille-Toulouse,FRA-L1,18-19,2e5c78b5
b2bd0f6c,Jonathan Bamba,14,CIV,LW,22-271,90,0,0,0,0,3,0,0,0,52,1,0,0,0.2,0.2,0.0,6,0,32,43,74.4,5,36,1,0,0,Lille,2018-12-22 Lille-Toulouse,FRA-L1,18-19,2e5c78b5
57e3f0c7,Nicolas Pépé,19,CIV,RW,23-207,90,0,0,0,0,1,0,0,0,49,1,1,0,0.3,0.3,0.2,6,0,28,40,70.0,5,35,0,3,3,Lille,2018-12-22 Lille-Toulouse,FRA-L1,18-19,2e5c78b5
42eaa028,Jonathan Ikone,12,FRA,AM,20-234,63,0,0,0,0,1,1,0,0,21,1,0,1,0.5,0.5,0.1,3,0,9,16,56.3,1,16,2,2,1,Lille,2018-12-22 Lille-Toulouse,FRA-L1,18-19,2e5c78b5
fa18c72e,Luiz Araújo,11,BRA,AM,22-203,27,0,0,0,0,4,1,0,0,20,0,0,0,0.1,0.1,0.0,0,0,8,14,57.1,2,14,2,2,2,Lille,2018-12-22 Lille-Toulouse,FRA-L1,18-19,2e5c78b5
91e58f66,Thiago Maia,20,BRA,DM,21-274,81,0,1,0,0,0,0,1,0,50,6,0,0,0.0,0.0,0.4,3,1,33,44,75.0,6,31,2,2,2,Lille,2018-12-22 Lille-Toulouse,FRA-L1,18-19,2e5c78b5
ae59b359,Boubakary Soumaré,24,FRA,DM,19-298,9,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,0,0,9,14,64.3,1,11,0,1,1,Lille,2018-12-22 Lille-Toulouse,FRA-L1,18-19,2e5c78b5
c6e5d20f,Thiago Mendes,23,BRA,DM,26-282,90,0,0,0,0,3,1,1,0,85,1,1,3,0.1,0.1,0.0,6,1,57,73,78.1,3,47,3,4,2,Lille,2018-12-22 Lille-Toulouse,FRA-L1,18-19,2e5c78b5
f449640d,Fodé Ballo-Touré,25,SEN,LB,21-353,90,0,0,0,0,0,0,0,0,58,0,1,1,0.0,0.0,0.0,0,0,38,50,76.0,4,30,2,5,3,Lille,2018-12-22 Lille-Toulouse,FRA-L1,18-19,2e5c78b5
3767b3b7,Edgar Ié,15,GNB,CB,24-235,90,0,0,0,0,0,0,0,0,71,0,1,0,0.0,0.0,0.0,0,0,59,66,89.4,4,46,1,0,0,Lille,2018-12-22 Lille-Toulouse,FRA-L1,18-19,2e5c78b5
3067cbef,Kouadio-Yves Dabila,22,CIV,CB,21-355,90,0,0,0,0,1,0,1,0,71,1,0,3,0.1,0.1,0.0,1,0,51,59,86.4,4,41,0,0,0,Lille,2018-12-22 Lille-Toulouse,FRA-L1,18-19,2e5c78b5
31a62dc7,Zeki Çelik,17,TUR,RB,21-308,90,0,0,0,0,1,0,0,0,54,4,0,3,0.1,0.1,0.0,3,0,30,41,73.2,1,26,3,4,2,Lille,2018-12-22 Lille-Toulouse,FRA-L1,18-19,2e5c78b5
fcb38f57,Mike Maignan,16,FRA,GK,23-172,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,20,33,60.6,0,19,0,0,0,Lille,2018-12-22 Lille-Toulouse,FRA-L1,18-19,2e5c78b5
c5a500ca,Max Gradel,7,CIV,"FW,LM",31-022,90,2,0,2,2,0,0,0,0,43,2,0,0,1.6,0.0,0.1,2,1,14,33,42.4,1,27,4,1,1,Toulouse,2018-12-22 Lille-Toulouse,FRA-L1,18-19,2e5c78b5
f09a8b75,Jimmy Durmaz,21,SWE,FW,29-275,79,0,0,0,0,1,0,1,0,43,2,0,1,0.0,0.0,0.0,1,0,19,32,59.4,3,24,1,1,0,Toulouse,2018-12-22 Lille-Toulouse,FRA-L1,18-19,2e5c78b5
ea540835,Kalidou Sidibé,26,FRA,"CM,FW",19-328,11,0,0,0,0,0,0,1,0,7,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,0,0,0,0,Toulouse,2018-12-22 Lille-Toulouse,FRA-L1,18-19,2e5c78b5
6ed1a2a2,Manu García,22,ESP,"DM,FW",20-354,90,0,0,0,0,0,0,0,0,43,2,0,3,0.0,0.0,0.0,1,0,21,29,72.4,4,25,0,0,0,Toulouse,2018-12-22 Lille-Toulouse,FRA-L1,18-19,2e5c78b5
677ee102,Yannick Cahuzac,4,FRA,"DM,CM",33-338,90,0,0,0,0,0,0,0,0,34,1,2,2,0.0,0.0,0.0,0,0,18,23,78.3,1,12,0,0,0,Toulouse,2018-12-22 Lille-Toulouse,FRA-L1,18-19,2e5c78b5
7d9b37bf,Corentin Jean,8,FRA,DM,23-160,71,0,0,0,0,2,0,0,0,22,3,0,0,0.1,0.1,0.0,1,1,10,14,71.4,1,12,2,1,0,Toulouse,2018-12-22 Lille-Toulouse,FRA-L1,18-19,2e5c78b5
6421dd73,Mathieu Dossevi,14,TOG,"DM,RM",30-313,19,0,0,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,1,0,1,0,Toulouse,2018-12-22 Lille-Toulouse,FRA-L1,18-19,2e5c78b5
b99bec05,Issiaga Sylla,12,GUI,"WB,LB",24-355,90,0,0,0,0,0,0,0,0,53,3,2,1,0.0,0.0,0.0,2,0,26,40,65.0,7,23,5,0,0,Toulouse,2018-12-22 Lille-Toulouse,FRA-L1,18-19,2e5c78b5
bcc81786,Kelvin Amian,2,FRA,"WB,CB,RB",20-317,90,0,0,0,0,0,0,1,0,47,2,1,2,0.0,0.0,0.0,1,1,27,35,77.1,3,25,1,4,3,Toulouse,2018-12-22 Lille-Toulouse,FRA-L1,18-19,2e5c78b5
6ca88b2a,François Moubandje,29,SUI,CB,28-184,90,0,0,0,0,0,0,1,0,57,2,0,2,0.0,0.0,0.0,0,0,39,45,86.7,6,27,2,1,1,Toulouse,2018-12-22 Lille-Toulouse,FRA-L1,18-19,2e5c78b5
c39d9657,Stéphane Mbia,25,CMR,CB,32-216,86,0,0,0,0,0,0,0,0,42,0,0,1,0.0,0.0,0.0,0,0,33,35,94.3,3,17,0,0,0,Toulouse,2018-12-22 Lille-Toulouse,FRA-L1,18-19,2e5c78b5
1bfb6fef,Bafodé Diakité,19,FRA,"RB,CB",17-350,4,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,Toulouse,2018-12-22 Lille-Toulouse,FRA-L1,18-19,2e5c78b5
f323d995,Christopher Jullien,6,FRA,CB,25-275,90,0,0,0,0,1,1,0,0,54,1,0,1,0.1,0.1,0.0,0,0,38,41,92.7,4,28,1,0,0,Toulouse,2018-12-22 Lille-Toulouse,FRA-L1,18-19,2e5c78b5
bcf1b2e9,Baptiste Reynet,30,FRA,GK,28-055,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,18,36,50.0,0,22,0,0,0,Toulouse,2018-12-22 Lille-Toulouse,FRA-L1,18-19,2e5c78b5
