id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
5bd72174,Francesco Caputo,9,ITA,FW,32-327,90,0,1,0,0,2,0,0,0,40,0,0,0,0.4,0.4,0.3,6,2,23,33,69.7,3,27,1,0,0,Sassuolo,2020-06-28 Sassuolo-Hellas Verona,ITA-SERIA_A,19-20,2e6a73af
5c397195,Lukáš Haraslín,27,SVK,LW,24-033,45,0,0,0,0,1,0,0,0,20,0,0,1,0.1,0.1,0.0,1,0,12,16,75.0,3,11,1,1,1,Sassuolo,2020-06-28 Sassuolo-Hellas Verona,ITA-SERIA_A,19-20,2e6a73af
fe012aca,Jeremie Boga,7,CIV,LW,23-177,45,2,0,0,0,2,2,0,0,45,0,0,1,0.1,0.1,0.0,1,0,35,39,89.7,3,38,6,3,3,Sassuolo,2020-06-28 Sassuolo-Hellas Verona,ITA-SERIA_A,19-20,2e6a73af
53a0e358,Domenico Berardi,25,ITA,RW,25-332,90,0,0,0,0,3,2,0,0,61,1,0,1,0.2,0.2,0.2,8,0,33,53,62.3,6,43,4,3,2,Sassuolo,2020-06-28 Sassuolo-Hellas Verona,ITA-SERIA_A,19-20,2e6a73af
854ee61a,Grégoire Defrel,11,MTQ,AM,29-011,71,0,1,0,0,1,0,0,0,25,1,0,2,0.0,0.0,0.1,1,1,18,20,90.0,2,16,2,0,0,Sassuolo,2020-06-28 Sassuolo-Hellas Verona,ITA-SERIA_A,19-20,2e6a73af
570bb4b9,Hamed Junior Traorè,23,CIV,AM,20-133,19,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,3,0,9,11,81.8,1,9,1,0,0,Sassuolo,2020-06-28 Sassuolo-Hellas Verona,ITA-SERIA_A,19-20,2e6a73af
a8a874f1,Manuel Locatelli,73,ITA,DM,22-172,90,0,0,0,0,3,1,0,0,85,3,1,0,0.1,0.1,0.3,4,0,63,75,84.0,8,62,2,0,0,Sassuolo,2020-06-28 Sassuolo-Hellas Verona,ITA-SERIA_A,19-20,2e6a73af
0d077b88,Mehdi Bourabia,68,MAR,DM,28-326,81,0,0,0,0,0,0,1,0,59,2,0,2,0.0,0.0,0.0,0,0,44,53,83.0,2,42,3,0,0,Sassuolo,2020-06-28 Sassuolo-Hellas Verona,ITA-SERIA_A,19-20,2e6a73af
ba1e04b3,Pedro Obiang,14,EQG,DM,28-093,9,0,0,0,0,1,1,0,0,17,1,0,0,0.0,0.0,0.0,1,0,14,15,93.3,1,14,0,0,0,Sassuolo,2020-06-28 Sassuolo-Hellas Verona,ITA-SERIA_A,19-20,2e6a73af
