id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
ce50fd99,Jonathan David,9,CAN,FW,23-055,83,3,0,2,2,1,1,0,0,25,1,0,0,1.8,0.2,0.1,2,0,15,17,88.2,0,18,3,1,1,Lille,2023-03-10 Lille-Lyon,FRA-L1,22-23,2ec831ba
01becd60,Alan Virginius,26,FRA,FW,20-066,7,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,3,0,0,0,Lille,2023-03-10 Lille-Lyon,FRA-L1,22-23,2ec831ba
148e136f,Rémy Cabella,10,FRA,LW,33-002,90,0,0,0,0,0,0,0,0,62,4,2,1,0.0,0.0,0.3,4,2,33,52,63.5,6,41,3,3,2,Lille,2023-03-10 Lille-Lyon,FRA-L1,22-23,2ec831ba
b2bd0f6c,Jonathan Bamba,7,CIV,RW,26-349,90,0,1,0,0,2,1,1,0,45,2,0,4,0.1,0.1,0.2,2,1,21,30,70.0,4,33,6,4,0,Lille,2023-03-10 Lille-Lyon,FRA-L1,22-23,2ec831ba
645a3363,Angel Gomes,20,ENG,AM,22-191,73,0,0,0,0,1,1,0,0,41,1,0,1,0.1,0.1,0.0,2,1,32,35,91.4,3,35,2,1,1,Lille,2023-03-10 Lille-Lyon,FRA-L1,22-23,2ec831ba
ed90babd,Adam Ounas,11,ALG,AM,26-119,17,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,2,5,0,1,1,Lille,2023-03-10 Lille-Lyon,FRA-L1,22-23,2ec831ba
1961b2aa,André Gomes,28,POR,DM,29-223,90,0,0,0,0,0,0,1,0,58,2,1,1,0.0,0.0,0.0,1,0,46,49,93.9,4,42,1,5,5,Lille,2023-03-10 Lille-Lyon,FRA-L1,22-23,2ec831ba
ef9c1c95,Benjamin André,21,FRA,DM,32-219,90,0,0,0,0,0,0,1,0,81,7,0,3,0.0,0.0,0.0,1,0,53,65,81.5,6,56,1,2,2,Lille,2023-03-10 Lille-Lyon,FRA-L1,22-23,2ec831ba
d5d22a58,Gabriel Gudmundsson,5,SWE,LB,23-315,90,0,0,0,0,1,1,1,0,58,0,4,2,0.3,0.3,0.0,2,1,29,39,74.4,1,40,6,7,4,Lille,2023-03-10 Lille-Lyon,FRA-L1,22-23,2ec831ba
