id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
9853983f,Bobby Wood,7,USA,FW,24-309,83,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.1,1,0,10,16,62.5,1,13,1,1,0,Hamburger SV,2017-09-20 Hamburger SV-Dortmund,GER-BL1,17-18,2fac1858
8279c033,Vasilije Janjicic,16,SUI,FW,18-322,7,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,2,0,0,0,Hamburger SV,2017-09-20 Hamburger SV-Dortmund,GER-BL1,17-18,2fac1858
410ab123,Lewis Holtby,8,GER,LW,27-002,90,0,0,0,0,2,0,1,0,44,4,0,2,0.1,0.1,0.1,4,0,20,28,71.4,3,23,1,2,0,Hamburger SV,2017-09-20 Hamburger SV-Dortmund,GER-BL1,17-18,2fac1858
cd82452e,André Hahn,11,GER,RW,27-038,90,0,0,0,0,3,1,0,0,38,0,0,0,0.2,0.2,0.1,1,0,15,27,55.6,3,26,5,1,0,Hamburger SV,2017-09-20 Hamburger SV-Dortmund,GER-BL1,17-18,2fac1858
a4e14205,Sejad Salihović,23,BIH,LM,32-347,69,0,0,0,0,0,0,0,0,33,0,1,0,0.0,0.0,0.0,1,0,15,27,55.6,1,16,0,2,1,Hamburger SV,2017-09-20 Hamburger SV-Dortmund,GER-BL1,17-18,2fac1858
e5a35ae9,Luca Waldschmidt,15,GER,LM,21-124,21,0,0,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.0,0,0,3,6,50.0,1,6,1,0,0,Hamburger SV,2017-09-20 Hamburger SV-Dortmund,GER-BL1,17-18,2fac1858
a2e7de6f,Gideon Jung,28,GER,CM,23-008,90,0,0,0,0,0,0,0,0,42,5,1,1,0.0,0.0,0.0,3,0,30,36,83.3,10,20,1,1,1,Hamburger SV,2017-09-20 Hamburger SV-Dortmund,GER-BL1,17-18,2fac1858
26db8853,Walace,12,BRA,RM,22-169,90,0,0,0,0,1,1,0,0,49,1,3,1,0.0,0.0,0.0,2,0,27,40,67.5,3,24,2,2,1,Hamburger SV,2017-09-20 Hamburger SV-Dortmund,GER-BL1,17-18,2fac1858
c8e25f78,Gōtoku Sakai,24,JPN,LB,26-190,47,0,0,0,0,0,0,1,0,41,0,2,0,0.0,0.0,0.0,1,0,22,34,64.7,4,22,1,1,0,Hamburger SV,2017-09-20 Hamburger SV-Dortmund,GER-BL1,17-18,2fac1858
