id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
45963054,Jamie Vardy,9,ENG,FW,34-313,90,0,0,0,0,1,0,0,0,12,0,0,0,0.3,0.3,0.0,0,0,7,10,70.0,0,6,2,0,0,Leicester City,2021-11-20 Leicester City-Chelsea,ENG-EPL,21-22,2fd486d6
3ea50f67,Harvey Barnes,7,ENG,LW,23-346,45,0,0,0,0,0,0,0,0,13,0,0,1,0.0,0.0,0.0,0,0,8,10,80.0,1,13,1,0,0,Leicester City,2021-11-20 Leicester City-Chelsea,ENG-EPL,21-22,2fd486d6
ee38d9c5,James Maddison,10,ENG,LW,24-362,45,0,0,0,0,2,2,0,0,29,2,0,0,0.0,0.0,0.3,1,0,17,19,89.5,1,20,2,2,1,Leicester City,2021-11-20 Leicester City-Chelsea,ENG-EPL,21-22,2fd486d6
7c104bb7,Ademola Lookman,37,NGA,RW,24-031,45,0,0,0,0,0,0,0,0,16,1,1,0,0.0,0.0,0.0,0,0,6,12,50.0,1,8,0,1,1,Leicester City,2021-11-20 Leicester City-Chelsea,ENG-EPL,21-22,2fd486d6
c92e1a31,Kelechi Iheanacho,14,NGA,RW,25-048,45,0,0,0,0,0,0,0,0,23,1,1,0,0.0,0.0,0.0,2,0,13,15,86.7,0,18,0,0,0,Leicester City,2021-11-20 Leicester City-Chelsea,ENG-EPL,21-22,2fd486d6
197640fd,Timothy Castagne,27,BEL,LM,25-350,90,0,0,0,0,0,0,0,0,62,3,2,3,0.0,0.0,0.0,0,0,36,46,78.3,0,29,0,3,1,Leicester City,2021-11-20 Leicester City-Chelsea,ENG-EPL,21-22,2fd486d6
6b47c5db,Wilfred Ndidi,25,NGA,CM,24-339,90,0,0,0,0,0,0,0,0,65,3,0,2,0.0,0.0,0.0,1,0,36,53,67.9,2,43,2,3,1,Leicester City,2021-11-20 Leicester City-Chelsea,ENG-EPL,21-22,2fd486d6
ae59b359,Boubakary Soumaré,42,FRA,CM,22-266,74,0,0,0,0,0,0,0,0,34,2,0,2,0.0,0.0,0.0,1,0,21,24,87.5,3,22,0,4,2,Leicester City,2021-11-20 Leicester City-Chelsea,ENG-EPL,21-22,2fd486d6
5c74c0f5,Kiernan Dewsbury-Hall,22,ENG,CM,23-075,16,0,0,0,0,0,0,0,0,18,1,1,0,0.0,0.0,0.0,1,0,12,16,75.0,1,14,0,1,1,Leicester City,2021-11-20 Leicester City-Chelsea,ENG-EPL,21-22,2fd486d6
b827d5b3,Marc Albrighton,11,ENG,RM,32-002,90,0,0,0,0,0,0,0,0,57,4,5,3,0.0,0.0,0.0,1,0,28,45,62.2,2,25,0,2,1,Leicester City,2021-11-20 Leicester City-Chelsea,ENG-EPL,21-22,2fd486d6
21166ff4,Çağlar Söyüncü,4,TUR,CB,25-181,90,0,0,0,0,0,0,0,0,51,2,2,1,0.0,0.0,0.0,0,0,33,43,76.7,3,29,1,0,0,Leicester City,2021-11-20 Leicester City-Chelsea,ENG-EPL,21-22,2fd486d6
f8fcd2a5,Jonny Evans,6,NIR,CB,33-321,90,0,0,0,0,0,0,1,0,47,0,0,0,0.0,0.0,0.0,0,0,37,44,84.1,0,27,0,0,0,Leicester City,2021-11-20 Leicester City-Chelsea,ENG-EPL,21-22,2fd486d6
1a4ef233,Daniel Amartey,18,GHA,CB,26-334,90,0,0,0,0,1,1,1,0,48,1,1,0,0.0,0.0,0.0,0,0,28,43,65.1,0,32,1,0,0,Leicester City,2021-11-20 Leicester City-Chelsea,ENG-EPL,21-22,2fd486d6
53af52f3,Kasper Schmeichel,1,DEN,GK,35-015,90,0,0,0,0,0,0,1,0,43,0,0,0,0.0,0.0,0.0,0,0,28,40,70.0,0,30,0,0,0,Leicester City,2021-11-20 Leicester City-Chelsea,ENG-EPL,21-22,2fd486d6
fed7cb61,Kai Havertz,29,GER,FW,22-162,61,0,0,0,0,1,0,0,0,35,0,0,4,0.1,0.1,0.0,1,0,19,23,82.6,1,16,4,2,1,Chelsea,2021-11-20 Leicester City-Chelsea,ENG-EPL,21-22,2fd486d6
1bf33a9a,Christian Pulisic,10,USA,FW,23-063,29,1,0,0,0,2,1,0,0,15,0,0,0,0.6,0.6,0.0,1,0,7,8,87.5,1,12,0,1,0,Chelsea,2021-11-20 Leicester City-Chelsea,ENG-EPL,21-22,2fd486d6
15f3ec41,Callum Hudson-Odoi,20,ENG,AM,21-013,90,0,0,0,0,2,1,0,0,42,1,0,2,0.1,0.1,0.1,4,0,24,31,77.4,4,28,4,2,2,Chelsea,2021-11-20 Leicester City-Chelsea,ENG-EPL,21-22,2fd486d6
9674002f,Mason Mount,19,ENG,AM,22-314,61,0,0,0,0,1,0,0,0,37,2,1,1,0.1,0.1,0.0,1,0,20,27,74.1,3,19,0,2,0,Chelsea,2021-11-20 Leicester City-Chelsea,ENG-EPL,21-22,2fd486d6
6622454d,Hakim Ziyech,22,MAR,AM,28-246,29,0,1,0,0,1,0,0,0,24,1,0,0,0.2,0.2,0.6,2,1,13,16,81.3,1,14,1,2,1,Chelsea,2021-11-20 Leicester City-Chelsea,ENG-EPL,21-22,2fd486d6
45db685d,Jorginho,5,ITA,CM,29-335,76,0,0,0,0,0,0,0,0,66,2,1,0,0.0,0.0,0.3,4,0,53,61,86.9,4,24,0,0,0,Chelsea,2021-11-20 Leicester City-Chelsea,ENG-EPL,21-22,2fd486d6
e97fd090,Ruben Loftus-Cheek,12,ENG,CM,25-301,14,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,12,12,100.0,1,5,0,0,0,Chelsea,2021-11-20 Leicester City-Chelsea,ENG-EPL,21-22,2fd486d6
b9fbae28,N'Golo Kanté,7,FRA,CM,30-236,90,1,0,0,0,3,3,0,0,82,2,1,2,0.3,0.3,0.0,3,1,60,71,84.5,10,44,5,2,2,Chelsea,2021-11-20 Leicester City-Chelsea,ENG-EPL,21-22,2fd486d6
d2424d1b,Ben Chilwell,21,ENG,WB,24-334,90,0,1,0,0,3,1,0,0,59,1,0,3,0.3,0.3,0.4,3,1,31,48,64.6,2,24,2,3,2,Chelsea,2021-11-20 Leicester City-Chelsea,ENG-EPL,21-22,2fd486d6
1265a93a,Reece James,24,ENG,WB,21-347,90,0,1,0,0,1,0,0,0,96,3,0,0,0.2,0.2,0.3,4,2,67,83,80.7,4,49,4,5,4,Chelsea,2021-11-20 Leicester City-Chelsea,ENG-EPL,21-22,2fd486d6
18b896d6,Antonio Rüdiger,2,GER,CB,28-262,90,1,0,0,0,1,1,0,0,75,2,0,1,0.2,0.2,0.0,2,0,53,68,77.9,2,43,0,0,0,Chelsea,2021-11-20 Leicester City-Chelsea,ENG-EPL,21-22,2fd486d6
86e7deaf,Thiago Silva,6,BRA,CB,37-059,90,0,0,0,0,0,0,0,0,98,1,0,0,0.0,0.0,0.0,1,0,91,94,96.8,3,56,0,0,0,Chelsea,2021-11-20 Leicester City-Chelsea,ENG-EPL,21-22,2fd486d6
5515376c,Trevoh Chalobah,14,ENG,CB,22-138,90,0,0,0,0,1,0,0,0,80,0,1,0,0.0,0.0,0.0,2,1,69,77,89.6,5,48,2,1,1,Chelsea,2021-11-20 Leicester City-Chelsea,ENG-EPL,21-22,2fd486d6
33887998,Edouard Mendy,16,SEN,GK,29-264,90,0,0,0,0,0,0,1,0,34,0,0,0,0.0,0.0,0.0,1,0,27,32,84.4,0,20,0,0,0,Chelsea,2021-11-20 Leicester City-Chelsea,ENG-EPL,21-22,2fd486d6
