id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
b35db3f6,Miguel Ángel Guerrero,9,ESP,FW,27-200,90,1,0,0,0,4,3,1,0,32,2,0,1,0.2,0.2,0.0,2,0,11,16,68.8,0,15,2,3,1,Leganés,2018-01-28 Leganés-Espanyol,ESP-LALIGA,17-18,303ff8aa
2a70c756,Naranjo,18,ESP,LW,23-184,67,0,0,0,0,0,0,0,0,28,4,0,1,0.0,0.0,0.0,2,0,12,20,60.0,1,14,0,1,0,Leganés,2018-01-28 Leganés-Espanyol,ESP-LALIGA,17-18,303ff8aa
aaa4239e,Jaime Sierra Mateos,30,ESP,LW,19-316,23,0,0,0,0,0,0,0,0,5,1,1,0,0.0,0.0,0.0,0,0,0,1,0.0,0,1,0,0,0,Leganés,2018-01-28 Leganés-Espanyol,ESP-LALIGA,17-18,303ff8aa
0657888a,Omar Ramos,23,ESP,RW,30-002,77,0,0,0,0,1,0,0,0,33,1,0,1,0.0,0.0,0.1,2,0,17,26,65.4,2,16,2,0,0,Leganés,2018-01-28 Leganés-Espanyol,ESP-LALIGA,17-18,303ff8aa
e4b8c5b6,Ezequiel Muñoz,19,ARG,RW,27-112,13,0,0,0,0,0,0,0,0,3,0,2,0,0.0,0.0,0.0,1,0,1,1,100.0,0,0,0,0,0,Leganés,2018-01-28 Leganés-Espanyol,ESP-LALIGA,17-18,303ff8aa
0d10333c,Gabriel,8,BRA,AM,24-132,59,0,0,0,0,0,0,0,0,39,3,0,2,0.0,0.0,0.0,2,0,19,34,55.9,2,20,1,0,0,Leganés,2018-01-28 Leganés-Espanyol,ESP-LALIGA,17-18,303ff8aa
7c2a398c,Nordin Amrabat,7,MAR,AM,30-303,31,0,0,0,0,1,1,0,0,11,0,0,0,0.0,0.0,0.0,1,0,3,6,50.0,0,9,1,1,1,Leganés,2018-01-28 Leganés-Espanyol,ESP-LALIGA,17-18,303ff8aa
ac454a4f,Gerard Gumbau,6,ESP,DM,23-041,90,0,0,0,0,1,0,0,0,40,4,0,2,0.0,0.0,0.0,3,1,25,33,75.8,3,16,0,0,0,Leganés,2018-01-28 Leganés-Espanyol,ESP-LALIGA,17-18,303ff8aa
4accb7e0,Darko Brašanac,24,SRB,DM,25-350,90,0,0,0,0,1,1,0,0,34,4,1,2,0.0,0.0,0.0,1,0,18,23,78.3,1,17,1,0,0,Leganés,2018-01-28 Leganés-Espanyol,ESP-LALIGA,17-18,303ff8aa
1a317a1b,Raúl García,14,ESP,LB,28-273,90,0,1,0,0,0,0,0,0,57,3,1,1,0.0,0.0,0.2,3,1,30,46,65.2,4,23,3,3,1,Leganés,2018-01-28 Leganés-Espanyol,ESP-LALIGA,17-18,303ff8aa
4ffb647d,Martín Mantovani,5,ARG,CB,33-205,90,0,0,0,0,0,0,0,0,37,0,2,0,0.0,0.0,0.1,1,0,15,26,57.7,0,10,0,0,0,Leganés,2018-01-28 Leganés-Espanyol,ESP-LALIGA,17-18,303ff8aa
f3112790,Unai Bustinza,3,ESP,CB,25-360,90,0,0,0,0,3,1,1,0,39,2,0,1,0.3,0.3,0.0,0,0,22,30,73.3,0,16,0,0,0,Leganés,2018-01-28 Leganés-Espanyol,ESP-LALIGA,17-18,303ff8aa
5ca20b7a,Joseba Zaldúa,20,ESP,RB,25-218,90,0,0,0,0,0,0,0,0,53,1,2,1,0.0,0.0,0.0,0,0,27,46,58.7,0,18,2,0,0,Leganés,2018-01-28 Leganés-Espanyol,ESP-LALIGA,17-18,303ff8aa
75751c99,Iván Cuéllar,1,ESP,GK,33-246,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,16,34,47.1,0,13,0,0,0,Leganés,2018-01-28 Leganés-Espanyol,ESP-LALIGA,17-18,303ff8aa
81f0781e,Gerard Moreno,7,ESP,FW,25-296,90,0,0,0,0,1,1,0,0,37,3,1,1,0.1,0.1,0.1,2,0,21,27,77.8,1,25,3,3,2,Espanyol,2018-01-28 Leganés-Espanyol,ESP-LALIGA,17-18,303ff8aa
2bee98fd,Sergio García,9,ESP,LW,34-233,67,0,0,0,0,4,0,0,0,19,0,0,0,0.1,0.1,0.0,1,0,9,12,75.0,1,11,1,1,1,Espanyol,2018-01-28 Leganés-Espanyol,ESP-LALIGA,17-18,303ff8aa
070a3904,Sergi Darder,25,ESP,LW,24-037,23,0,0,0,0,0,0,1,0,11,1,0,0,0.0,0.0,0.0,0,0,6,10,60.0,0,7,0,0,0,Espanyol,2018-01-28 Leganés-Espanyol,ESP-LALIGA,17-18,303ff8aa
35f6db55,Léo Baptistão,11,BRA,RW,25-155,90,0,0,0,0,0,0,1,0,27,1,1,0,0.0,0.0,0.1,3,0,14,21,66.7,0,17,1,2,0,Espanyol,2018-01-28 Leganés-Espanyol,ESP-LALIGA,17-18,303ff8aa
1b17ed86,Esteban Granero,23,ESP,LM,30-210,80,0,0,0,0,0,0,1,0,57,3,2,2,0.0,0.0,0.0,1,0,25,46,54.3,2,20,2,0,0,Espanyol,2018-01-28 Leganés-Espanyol,ESP-LALIGA,17-18,303ff8aa
71d4e271,José Manuel Jurado,10,ESP,LM,31-213,10,0,0,0,0,0,0,0,0,7,0,0,1,0.0,0.0,0.0,1,1,4,6,66.7,0,5,1,2,2,Espanyol,2018-01-28 Leganés-Espanyol,ESP-LALIGA,17-18,303ff8aa
f03f284b,David López,15,ESP,CM,28-111,90,0,1,0,0,1,0,0,0,62,0,3,3,0.0,0.0,0.0,2,1,39,53,73.6,4,29,0,0,0,Espanyol,2018-01-28 Leganés-Espanyol,ESP-LALIGA,17-18,303ff8aa
ad4d0985,Víctor Sánchez,4,ESP,RM,30-142,90,0,0,0,0,2,0,0,0,53,2,2,2,0.2,0.2,0.0,0,0,26,42,61.9,6,21,1,2,1,Espanyol,2018-01-28 Leganés-Espanyol,ESP-LALIGA,17-18,303ff8aa
2f3e911a,Aarón Martín,3,ESP,LB,20-281,90,0,0,0,0,0,0,0,0,54,1,0,0,0.0,0.0,0.2,6,1,37,50,74.0,6,29,6,3,3,Espanyol,2018-01-28 Leganés-Espanyol,ESP-LALIGA,17-18,303ff8aa
