id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
8d78e732,Robert Lewandowski,9,POL,FW,30-186,90,0,0,0,0,1,1,0,0,38,2,0,0,0.1,0.1,0.0,2,0,17,27,63.0,2,25,1,3,2,Bayern Munich,2019-02-23 Bayern Munich-Hertha BSC,GER-BL1,18-19,30d9d52c
f61c7c4e,Franck Ribéry,7,FRA,LW,35-322,57,0,0,0,0,0,0,0,0,36,2,0,0,0.0,0.0,0.0,0,0,25,33,75.8,4,23,2,2,1,Bayern Munich,2019-02-23 Bayern Munich-Hertha BSC,GER-BL1,18-19,30d9d52c
042e8a49,Kingsley Coman,29,FRA,LW,22-255,9,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.1,1,0,3,4,75.0,1,4,1,0,0,Bayern Munich,2019-02-23 Bayern Munich-Hertha BSC,GER-BL1,18-19,30d9d52c
3c6089ab,Thomas Müller,25,GER,LW,29-163,24,0,0,0,0,1,0,0,0,19,2,0,0,0.2,0.2,0.0,0,0,14,16,87.5,2,11,0,1,1,Bayern Munich,2019-02-23 Bayern Munich-Hertha BSC,GER-BL1,18-19,30d9d52c
88e357ef,Serge Gnabry,22,GER,RW,23-224,90,0,0,0,0,2,1,0,0,46,1,0,0,0.1,0.1,0.0,2,0,28,36,77.8,2,32,8,7,5,Bayern Munich,2019-02-23 Bayern Munich-Hertha BSC,GER-BL1,18-19,30d9d52c
cc86b9a3,Leon Goretzka,18,GER,LM,24-017,45,0,0,0,0,0,0,0,0,32,4,1,1,0.0,0.0,0.0,0,0,22,25,88.0,2,10,0,0,0,Bayern Munich,2019-02-23 Bayern Munich-Hertha BSC,GER-BL1,18-19,30d9d52c
77e84962,Thiago Alcántara,6,ESP,LM,27-318,45,0,0,0,0,1,0,0,0,42,3,1,0,0.0,0.0,0.0,0,0,35,37,94.6,3,18,1,1,1,Bayern Munich,2019-02-23 Bayern Munich-Hertha BSC,GER-BL1,18-19,30d9d52c
7f97771d,Javi Martínez,8,ESP,CM,30-174,90,1,0,0,0,2,1,0,0,55,1,2,3,0.2,0.2,0.0,0,0,37,42,88.1,1,16,0,0,0,Bayern Munich,2019-02-23 Bayern Munich-Hertha BSC,GER-BL1,18-19,30d9d52c
715bf047,James Rodríguez,11,COL,RM,27-226,90,0,1,0,0,0,0,1,0,69,1,0,0,0.0,0.0,0.4,8,1,53,68,77.9,11,37,0,2,2,Bayern Munich,2019-02-23 Bayern Munich-Hertha BSC,GER-BL1,18-19,30d9d52c
05439de2,David Alaba,27,AUT,LB,26-244,90,0,0,0,0,3,1,0,0,110,1,4,2,0.2,0.2,0.0,4,0,81,96,84.4,9,50,6,2,2,Bayern Munich,2019-02-23 Bayern Munich-Hertha BSC,GER-BL1,18-19,30d9d52c
2db2fd7b,Jérôme Boateng,17,GER,CB,30-173,90,0,0,0,0,0,0,0,0,77,0,1,2,0.0,0.0,0.0,0,0,58,71,81.7,3,31,0,0,0,Bayern Munich,2019-02-23 Bayern Munich-Hertha BSC,GER-BL1,18-19,30d9d52c
e33c06cf,Niklas Süle,4,GER,CB,23-173,90,0,0,0,0,0,0,0,0,59,1,1,0,0.0,0.0,0.0,0,0,49,55,89.1,2,26,0,0,0,Bayern Munich,2019-02-23 Bayern Munich-Hertha BSC,GER-BL1,18-19,30d9d52c
49296448,Joshua Kimmich,32,GER,RB,24-015,90,0,0,0,0,2,0,1,0,101,2,2,2,0.1,0.1,0.0,1,0,73,94,77.7,7,53,4,0,0,Bayern Munich,2019-02-23 Bayern Munich-Hertha BSC,GER-BL1,18-19,30d9d52c
8778c910,Manuel Neuer,1,GER,GK,32-333,90,0,0,0,0,0,0,0,0,58,0,0,1,0.0,0.0,0.0,0,0,44,57,77.2,0,31,0,0,0,Bayern Munich,2019-02-23 Bayern Munich-Hertha BSC,GER-BL1,18-19,30d9d52c
2042d931,Salomon Kalou,8,CIV,FW,33-202,78,0,0,0,0,1,0,0,0,31,0,0,1,0.1,0.1,0.0,1,0,15,21,71.4,1,25,1,6,5,Hertha BSC,2019-02-23 Bayern Munich-Hertha BSC,GER-BL1,18-19,30d9d52c
6bba916f,Dennis Jastrzembski,32,POL,FW,19-003,12,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,3,1,0,0,Hertha BSC,2019-02-23 Bayern Munich-Hertha BSC,GER-BL1,18-19,30d9d52c
1238a3f9,Davie Selke,27,GER,FW,24-034,90,0,0,0,0,3,0,0,0,24,0,0,0,0.2,0.2,0.0,4,0,9,15,60.0,1,18,0,0,0,Hertha BSC,2019-02-23 Bayern Munich-Hertha BSC,GER-BL1,18-19,30d9d52c
79ca3e23,Ondrej Duda,10,SVK,AM,24-080,90,0,0,0,0,1,1,0,0,55,2,1,3,0.0,0.0,0.3,7,0,32,45,71.1,6,38,0,1,1,Hertha BSC,2019-02-23 Bayern Munich-Hertha BSC,GER-BL1,18-19,30d9d52c
8b8e759d,Marko Grujić,15,SRB,CM,22-316,90,0,0,0,0,3,0,0,0,66,3,2,4,0.1,0.1,0.0,1,0,38,48,79.2,5,47,3,7,3,Hertha BSC,2019-02-23 Bayern Munich-Hertha BSC,GER-BL1,18-19,30d9d52c
ab700320,Arne Maier,23,GER,CM,20-046,78,0,0,0,0,1,0,0,0,38,3,1,2,0.0,0.0,0.0,0,0,26,32,81.3,2,26,0,2,2,Hertha BSC,2019-02-23 Bayern Munich-Hertha BSC,GER-BL1,18-19,30d9d52c
db7161ed,Palkó Dárdai,24,HUN,CM,19-305,12,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,2,0,0,0,Hertha BSC,2019-02-23 Bayern Munich-Hertha BSC,GER-BL1,18-19,30d9d52c
88d4144a,Maximilian Mittelstädt,17,GER,WB,21-342,90,0,0,0,0,0,0,0,0,52,4,5,1,0.0,0.0,0.0,1,0,27,39,69.2,0,23,0,2,1,Hertha BSC,2019-02-23 Bayern Munich-Hertha BSC,GER-BL1,18-19,30d9d52c
016ff750,Valentino Lazaro,20,AUT,WB,22-336,90,0,0,0,0,0,0,0,0,57,4,1,0,0.0,0.0,0.0,0,0,32,49,65.3,4,32,2,1,0,Hertha BSC,2019-02-23 Bayern Munich-Hertha BSC,GER-BL1,18-19,30d9d52c
3376a776,Karim Rekik,4,NED,CB,24-083,83,0,0,0,0,0,0,0,1,38,5,1,0,0.0,0.0,0.0,0,0,19,23,82.6,2,20,0,0,0,Hertha BSC,2019-02-23 Bayern Munich-Hertha BSC,GER-BL1,18-19,30d9d52c
a63a995f,Fabian Lustenberger,28,SUI,CB,30-297,90,0,0,0,0,0,0,0,0,57,4,2,2,0.0,0.0,0.0,0,0,35,43,81.4,3,26,0,0,0,Hertha BSC,2019-02-23 Bayern Munich-Hertha BSC,GER-BL1,18-19,30d9d52c
aad48be9,Niklas Stark,5,GER,CB,23-315,90,0,0,0,0,0,0,0,0,69,4,2,1,0.0,0.0,0.1,1,0,47,55,85.5,6,39,5,0,0,Hertha BSC,2019-02-23 Bayern Munich-Hertha BSC,GER-BL1,18-19,30d9d52c
