id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
4788cb6b,Georges Mikautadze,10,GEO,FW,23-180,90,1,0,1,1,1,0,0,0,28,0,0,1,1.0,0.2,0.0,0,0,13,22,59.1,2,21,3,2,0,Metz,2024-04-28 Metz-Lille,FRA-L1,23-24,316c5fa3
d638ab17,Papa Amadou Diallo,7,SEN,LW,19-308,69,0,0,0,0,0,0,0,0,24,2,2,0,0.0,0.0,0.0,0,0,10,15,66.7,4,16,3,3,1,Metz,2024-04-28 Metz-Lille,FRA-L1,23-24,316c5fa3
b229aa13,Didier Lamkel Zé,11,CMR,LW,27-224,21,0,0,0,0,0,0,1,0,8,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,1,7,2,0,0,Metz,2024-04-28 Metz-Lille,FRA-L1,23-24,316c5fa3
f6a3c84d,Kévin Van Den Kerkhof,22,ALG,RW,28-045,45,0,0,0,0,1,1,0,0,13,1,0,0,0.0,0.0,0.0,1,1,4,6,66.7,1,7,1,1,0,Metz,2024-04-28 Metz-Lille,FRA-L1,23-24,316c5fa3
1bc6135b,Ablie Jallow,36,GAM,RW,25-166,45,0,0,0,0,0,0,0,0,18,1,1,0,0.0,0.0,0.0,1,0,13,14,92.9,1,17,1,4,3,Metz,2024-04-28 Metz-Lille,FRA-L1,23-24,316c5fa3
d3ddf88b,Arthur Atta,25,FRA,CM,21-105,45,0,0,0,0,0,0,0,0,14,1,0,0,0.0,0.0,0.0,0,0,7,11,63.6,2,11,0,2,1,Metz,2024-04-28 Metz-Lille,FRA-L1,23-24,316c5fa3
19c2ffa4,Lamine Camara,18,SEN,CM,20-118,45,0,0,0,0,1,0,0,0,32,0,1,1,0.0,0.0,0.1,2,0,21,26,80.8,5,25,1,2,1,Metz,2024-04-28 Metz-Lille,FRA-L1,23-24,316c5fa3
e50623a0,Kévin N'Doram,6,FRA,CM,28-097,84,0,0,0,0,0,0,0,0,38,5,4,3,0.0,0.0,0.0,0,0,21,26,80.8,0,17,0,0,0,Metz,2024-04-28 Metz-Lille,FRA-L1,23-24,316c5fa3
22d90df9,Ibou Sané,37,SEN,CM,19-031,6,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0,Metz,2024-04-28 Metz-Lille,FRA-L1,23-24,316c5fa3
