id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
d3de9af0,Duván Zapata,91,COL,"FW,AM",32-266,90,0,0,0,0,2,1,0,0,44,2,0,0,0.1,0.1,0.1,3,0,20,32,62.5,1,31,2,2,0,Torino,2023-12-23 Torino-Udinese,ITA-SERIA_A,23-24,325f62dc
0a447501,Antonio Sanabria,9,PAR,"AM,FW",27-294,90,0,0,0,0,2,0,1,0,44,0,0,0,0.2,0.2,0.1,1,0,25,31,80.6,2,23,0,5,1,Torino,2023-12-23 Torino-Udinese,ITA-SERIA_A,23-24,325f62dc
aa8e289e,Nikola Vlašić,16,CRO,AM,26-080,74,0,0,0,0,3,1,0,0,34,1,0,1,0.2,0.2,0.0,1,0,15,22,68.2,4,18,1,3,0,Torino,2023-12-23 Torino-Udinese,ITA-SERIA_A,23-24,325f62dc
0630eb63,Nemanja Radonjić,10,SRB,"AM,WB",27-311,16,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,1,0,8,8,100.0,3,8,0,2,1,Torino,2023-12-23 Torino-Udinese,ITA-SERIA_A,23-24,325f62dc
bb376bed,Ivan Ilić,8,SRB,CM,22-281,90,1,0,0,0,3,2,0,0,88,0,1,1,0.1,0.1,0.0,3,0,67,80,83.8,17,56,2,2,1,Torino,2023-12-23 Torino-Udinese,ITA-SERIA_A,23-24,325f62dc
9823be92,Samuele Ricci,28,ITA,CM,22-124,90,0,0,0,0,2,0,0,0,56,2,0,3,0.1,0.1,0.0,1,0,40,46,87.0,3,36,1,0,0,Torino,2023-12-23 Torino-Udinese,ITA-SERIA_A,23-24,325f62dc
016ff750,Valentino Lazaro,20,AUT,WB,27-274,85,0,0,0,0,0,0,0,0,74,1,1,0,0.0,0.0,0.6,5,0,54,68,79.4,6,44,2,4,1,Torino,2023-12-23 Torino-Udinese,ITA-SERIA_A,23-24,325f62dc
8b66d9cc,Yann Karamoh,7,FRA,AM,25-168,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Torino,2023-12-23 Torino-Udinese,ITA-SERIA_A,23-24,325f62dc
28f66c2e,Brandon Soppy,93,FRA,WB,21-305,58,0,0,0,0,1,0,0,0,32,0,0,1,0.0,0.0,0.0,2,0,18,25,72.0,3,17,2,0,0,Torino,2023-12-23 Torino-Udinese,ITA-SERIA_A,23-24,325f62dc
be2706c0,Mërgim Vojvoda,27,KVX,WB,28-325,32,0,0,0,0,0,0,1,0,25,0,0,1,0.0,0.0,0.0,1,1,14,21,66.7,2,16,0,0,0,Torino,2023-12-23 Torino-Udinese,ITA-SERIA_A,23-24,325f62dc
7f78ad23,Ricardo Rodríguez,13,SUI,CB,31-120,90,0,1,0,0,0,0,0,0,87,2,1,1,0.0,0.0,0.0,2,1,74,81,91.4,11,65,10,0,0,Torino,2023-12-23 Torino-Udinese,ITA-SERIA_A,23-24,325f62dc
4ae67f27,Alessandro Buongiorno,4,ITA,CB,24-200,90,0,0,0,0,1,0,0,0,63,4,1,1,0.4,0.4,0.0,0,0,46,50,92.0,3,38,1,0,0,Torino,2023-12-23 Torino-Udinese,ITA-SERIA_A,23-24,325f62dc
8da74c05,Adrien Tameze,61,CMR,CB,29-322,90,0,0,0,0,0,0,0,0,66,1,2,1,0.0,0.0,0.0,0,0,49,56,87.5,3,35,0,0,0,Torino,2023-12-23 Torino-Udinese,ITA-SERIA_A,23-24,325f62dc
9fa26bc2,Vanja Milinković-Savić,32,SRB,GK,26-306,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,1,0,18,29,62.1,0,21,0,0,0,Torino,2023-12-23 Torino-Udinese,ITA-SERIA_A,23-24,325f62dc
83c06f3a,Lorenzo Lucca,17,ITA,FW,23-104,77,0,0,0,0,4,0,1,0,32,0,0,1,0.3,0.3,0.0,1,0,12,18,66.7,0,19,0,2,1,Udinese,2023-12-23 Torino-Udinese,ITA-SERIA_A,23-24,325f62dc
2b9fdeea,Florian Thauvin,26,FRA,FW,30-331,13,0,0,0,0,0,0,0,0,10,0,1,0,0.0,0.0,0.0,0,0,5,10,50.0,1,5,1,0,0,Udinese,2023-12-23 Torino-Udinese,ITA-SERIA_A,23-24,325f62dc
75f2c59f,Roberto Pereyra,37,ARG,"FW,CM",32-350,90,0,0,0,0,2,1,0,0,38,1,0,0,0.1,0.1,0.0,2,0,20,29,69.0,0,22,2,3,1,Udinese,2023-12-23 Torino-Udinese,ITA-SERIA_A,23-24,325f62dc
217c93a1,Lazar Samardzic,24,SRB,CM,21-302,70,0,0,0,0,0,0,0,0,29,1,0,2,0.0,0.0,0.1,2,0,13,22,59.1,3,13,0,0,0,Udinese,2023-12-23 Torino-Udinese,ITA-SERIA_A,23-24,325f62dc
968a1c2f,Oier Zarraga,6,ESP,CM,24-353,20,1,0,0,0,1,1,0,0,8,0,0,0,0.3,0.3,0.0,1,0,5,5,100.0,1,3,1,0,0,Udinese,2023-12-23 Torino-Udinese,ITA-SERIA_A,23-24,325f62dc
26db8853,Walace,11,BRA,CM,28-263,90,0,0,0,0,0,0,0,0,50,5,0,1,0.0,0.0,0.0,1,0,28,40,70.0,2,24,0,1,1,Udinese,2023-12-23 Torino-Udinese,ITA-SERIA_A,23-24,325f62dc
966eea58,Sandi Lovrić,4,SVN,"CM,WB",25-270,89,0,0,0,0,0,0,0,0,39,3,4,0,0.0,0.0,0.0,4,1,22,30,73.3,3,15,1,1,1,Udinese,2023-12-23 Torino-Udinese,ITA-SERIA_A,23-24,325f62dc
de0f152c,Adam Masina,3,MAR,WB,29-355,1,0,0,0,0,0,0,0,0,5,1,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,0,0,0,0,Udinese,2023-12-23 Torino-Udinese,ITA-SERIA_A,23-24,325f62dc
19a12bed,Hassane Kamara,12,CIV,WB,29-293,70,0,0,0,0,0,0,1,0,30,0,0,2,0.0,0.0,0.0,0,0,19,26,73.1,1,15,2,3,3,Udinese,2023-12-23 Torino-Udinese,ITA-SERIA_A,23-24,325f62dc
76b2817e,Kingsley Ehizibue,19,NED,WB,28-212,20,0,0,0,0,1,1,0,0,11,2,0,0,0.0,0.0,0.0,1,0,6,9,66.7,3,8,1,1,1,Udinese,2023-12-23 Torino-Udinese,ITA-SERIA_A,23-24,325f62dc
dbfa4f16,Festy Ebosele,2,IRL,WB,21-143,77,0,0,0,0,1,1,0,0,29,0,0,0,0.0,0.0,0.2,2,0,12,21,57.1,2,15,3,2,1,Udinese,2023-12-23 Torino-Udinese,ITA-SERIA_A,23-24,325f62dc
f573a8bf,Isaac Success,7,NGA,FW,27-350,13,0,0,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,5,0,2,1,Udinese,2023-12-23 Torino-Udinese,ITA-SERIA_A,23-24,325f62dc
fadf9a05,Thomas Kristensen,31,DEN,CB,21-340,90,0,0,0,0,0,0,0,0,44,2,3,1,0.0,0.0,0.0,0,0,28,33,84.8,2,13,1,1,1,Udinese,2023-12-23 Torino-Udinese,ITA-SERIA_A,23-24,325f62dc
f7c491f1,Nehuén Pérez,18,ARG,CB,23-182,90,0,0,0,0,0,0,0,0,37,2,1,1,0.0,0.0,0.0,0,0,17,23,73.9,0,11,0,0,0,Udinese,2023-12-23 Torino-Udinese,ITA-SERIA_A,23-24,325f62dc
fb37a645,João Ferreira,13,POR,CB,22-276,90,0,1,0,0,1,0,0,0,57,5,2,0,0.0,0.0,0.4,3,1,31,39,79.5,1,21,2,1,0,Udinese,2023-12-23 Torino-Udinese,ITA-SERIA_A,23-24,325f62dc
0d422df7,Marco Silvestri,1,ITA,GK,32-296,90,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,0,0,14,26,53.8,0,11,0,0,0,Udinese,2023-12-23 Torino-Udinese,ITA-SERIA_A,23-24,325f62dc
