id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
f7036e1c,Lautaro Martínez,10,ARG,FW,24-363,74,1,0,0,0,4,2,0,0,27,2,1,1,0.5,0.5,0.3,4,0,10,13,76.9,2,15,1,2,0,Internazionale,2022-08-20 Inter-Spezia,ITA-SERIA_A,22-23,33ff40ce
45b9b619,Joaquín Correa,11,ARG,FW,28-007,16,1,0,0,0,1,1,0,0,5,1,0,0,0.4,0.4,0.0,1,0,2,3,66.7,0,3,1,0,0,Internazionale,2022-08-20 Inter-Spezia,ITA-SERIA_A,22-23,33ff40ce
5eae500a,Romelu Lukaku,90,BEL,FW,29-099,67,0,1,0,0,1,0,0,0,17,0,0,0,0.2,0.2,0.1,5,3,10,11,90.9,2,10,1,2,1,Internazionale,2022-08-20 Inter-Spezia,ITA-SERIA_A,22-23,33ff40ce
3bb7f478,Edin Džeko,9,BIH,FW,36-156,23,0,1,0,0,1,1,0,0,10,0,0,0,0.1,0.1,0.4,3,2,4,6,66.7,1,7,1,2,1,Internazionale,2022-08-20 Inter-Spezia,ITA-SERIA_A,22-23,33ff40ce
cd0fa27b,Hakan Çalhanoğlu,20,TUR,CM,28-193,74,1,0,0,0,2,1,0,0,52,0,1,1,0.2,0.2,0.1,2,0,36,44,81.8,4,26,1,1,0,Internazionale,2022-08-20 Inter-Spezia,ITA-SERIA_A,22-23,33ff40ce
ce30bfc8,Roberto Gagliardini,5,ITA,CM,28-135,16,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,8,10,80.0,1,5,0,0,0,Internazionale,2022-08-20 Inter-Spezia,ITA-SERIA_A,22-23,33ff40ce
33b8d077,Marcelo Brozović,77,CRO,CM,29-277,83,0,0,0,0,2,0,0,0,58,1,3,4,0.0,0.0,0.1,4,0,40,47,85.1,4,32,0,1,1,Internazionale,2022-08-20 Inter-Spezia,ITA-SERIA_A,22-23,33ff40ce
0fdcef0e,Kristjan Asllani,14,ALB,CM,20-164,7,0,0,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.0,0,0,3,5,60.0,0,3,0,0,0,Internazionale,2022-08-20 Inter-Spezia,ITA-SERIA_A,22-23,33ff40ce
6928979a,Nicolò Barella,23,ITA,CM,25-194,90,0,0,0,0,1,0,0,0,61,3,0,1,0.0,0.0,0.0,4,1,46,54,85.2,10,36,2,3,1,Internazionale,2022-08-20 Inter-Spezia,ITA-SERIA_A,22-23,33ff40ce
970b8574,Federico Dimarco,32,ITA,WB,24-283,67,0,0,0,0,1,0,0,0,44,3,0,0,0.0,0.0,0.1,1,0,22,37,59.5,1,18,1,0,0,Internazionale,2022-08-20 Inter-Spezia,ITA-SERIA_A,22-23,33ff40ce
2d970560,Robin Gosens,8,GER,WB,28-046,23,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,5,8,62.5,0,4,0,1,1,Internazionale,2022-08-20 Inter-Spezia,ITA-SERIA_A,22-23,33ff40ce
481c9ece,Denzel Dumfries,2,NED,WB,26-124,90,0,0,0,0,3,2,0,0,43,1,1,1,0.3,0.3,0.2,5,0,24,27,88.9,3,16,1,2,0,Internazionale,2022-08-20 Inter-Spezia,ITA-SERIA_A,22-23,33ff40ce
75b86fb3,Alessandro Bastoni,95,ITA,CB,23-129,90,0,0,0,0,2,1,0,0,98,3,1,3,0.3,0.3,0.2,2,0,78,87,89.7,11,57,6,1,1,Internazionale,2022-08-20 Inter-Spezia,ITA-SERIA_A,22-23,33ff40ce
d0d8dd44,Stefan de Vrij,6,NED,CB,30-196,90,0,0,0,0,1,0,0,0,79,2,0,0,0.1,0.1,0.0,1,0,61,69,88.4,2,44,0,1,1,Internazionale,2022-08-20 Inter-Spezia,ITA-SERIA_A,22-23,33ff40ce
30f5ffa9,Milan Škriniar,37,SVK,CB,27-190,90,0,0,0,0,0,0,0,0,92,0,1,1,0.0,0.0,0.0,0,0,84,90,93.3,4,51,0,0,0,Internazionale,2022-08-20 Inter-Spezia,ITA-SERIA_A,22-23,33ff40ce
74419746,Samir Handanović,1,SVN,GK,38-037,90,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,39,40,97.5,0,23,0,0,0,Internazionale,2022-08-20 Inter-Spezia,ITA-SERIA_A,22-23,33ff40ce
a4948e67,M'Bala Nzola,18,ANG,FW,26-002,90,0,0,0,0,0,0,0,0,34,2,0,0,0.0,0.0,0.0,0,0,20,24,83.3,4,19,0,1,0,Spezia,2022-08-20 Inter-Spezia,ITA-SERIA_A,22-23,33ff40ce
46fa7204,Kevin Agudelo,33,COL,"FW,CM",23-279,89,0,0,0,0,0,0,0,0,34,1,0,0,0.0,0.0,0.0,0,0,23,29,79.3,3,30,2,1,0,Spezia,2022-08-20 Inter-Spezia,ITA-SERIA_A,22-23,33ff40ce
c55967eb,Mikael Ellertsson,28,ISL,CM,20-162,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0,Spezia,2022-08-20 Inter-Spezia,ITA-SERIA_A,22-23,33ff40ce
1ac232b8,Simone Bastoni,20,ITA,CM,25-288,78,0,0,0,0,0,0,0,0,41,1,0,1,0.0,0.0,0.1,1,0,28,36,77.8,1,22,2,1,1,Spezia,2022-08-20 Inter-Spezia,ITA-SERIA_A,22-23,33ff40ce
9d60028d,Viktor Kovalenko,24,UKR,CM,26-187,12,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,6,7,85.7,0,6,0,0,0,Spezia,2022-08-20 Inter-Spezia,ITA-SERIA_A,22-23,33ff40ce
0d077b88,Mehdi Bourabia,6,MAR,CM,31-013,90,0,0,0,0,0,0,0,0,61,2,2,2,0.0,0.0,0.0,0,0,41,50,82.0,0,42,2,1,0,Spezia,2022-08-20 Inter-Spezia,ITA-SERIA_A,22-23,33ff40ce
da5a981b,Jacopo Sala,7,ITA,CM,30-258,66,0,0,0,0,0,0,0,0,39,1,1,0,0.0,0.0,0.0,0,0,25,34,73.5,4,23,2,1,0,Spezia,2022-08-20 Inter-Spezia,ITA-SERIA_A,22-23,33ff40ce
2cb9486d,Dávid Strelec,44,SVK,FW,21-138,24,0,0,0,0,1,0,0,0,11,0,0,0,0.4,0.4,0.0,0,0,4,6,66.7,0,7,1,1,0,Spezia,2022-08-20 Inter-Spezia,ITA-SERIA_A,22-23,33ff40ce
6213fd82,Arkadiusz Reca,13,POL,WB,27-064,90,0,0,0,0,0,0,0,0,45,3,1,0,0.0,0.0,0.0,1,0,20,32,62.5,2,22,2,0,0,Spezia,2022-08-20 Inter-Spezia,ITA-SERIA_A,22-23,33ff40ce
f9758dae,Emmanuel Gyasi,11,GHA,WB,28-221,89,0,0,0,0,0,0,0,0,37,1,0,2,0.0,0.0,0.0,0,0,22,28,78.6,1,21,0,1,0,Spezia,2022-08-20 Inter-Spezia,ITA-SERIA_A,22-23,33ff40ce
c2357b65,Emil Holm,2,SWE,WB,22-099,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,2,0,0,0,Spezia,2022-08-20 Inter-Spezia,ITA-SERIA_A,22-23,33ff40ce
