id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
3effaa34,André Silva,33,POR,FW,26-103,90,0,0,0,0,1,0,0,0,28,0,0,0,0.1,0.1,0.0,0,0,19,24,79.2,2,9,0,0,0,RB Leipzig,2022-02-17 RB Leipzig-Real Sociedad,UEL,21-22,35fa1118
7c56da38,Christopher Nkunku,18,FRA,FW,24-095,79,1,0,0,0,2,2,0,0,41,2,0,0,0.1,0.1,0.2,2,0,27,32,84.4,0,26,1,2,1,RB Leipzig,2022-02-17 RB Leipzig-Real Sociedad,UEL,21-22,35fa1118
934e1968,Dominik Szoboszlai,17,HUN,AM,21-115,11,0,0,0,0,2,0,0,0,21,0,0,0,0.1,0.1,0.0,4,1,17,19,89.5,3,12,1,1,1,RB Leipzig,2022-02-17 RB Leipzig-Real Sociedad,UEL,21-22,35fa1118
ae44e8e2,Dani Olmo,25,ESP,AM,23-286,79,0,0,0,0,3,0,0,0,45,1,0,0,0.1,0.1,0.0,1,0,26,31,83.9,8,24,1,5,2,RB Leipzig,2022-02-17 RB Leipzig-Real Sociedad,UEL,21-22,35fa1118
d2416c2e,Yussuf Poulsen,9,DEN,FW,27-247,11,0,0,0,0,1,1,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,1,0,0,0,RB Leipzig,2022-02-17 RB Leipzig-Real Sociedad,UEL,21-22,35fa1118
b825a650,Kevin Kampl,44,SVN,CM,31-131,85,0,0,0,0,1,0,0,0,104,1,0,0,0.1,0.1,0.1,10,2,97,101,96.0,16,76,4,2,1,RB Leipzig,2022-02-17 RB Leipzig-Real Sociedad,UEL,21-22,35fa1118
92432bc6,Amadou Haidara,8,MLI,CM,24-017,5,0,0,0,0,1,0,0,0,22,1,0,0,0.0,0.0,0.0,4,0,12,18,66.7,3,13,3,1,1,RB Leipzig,2022-02-17 RB Leipzig-Real Sociedad,UEL,21-22,35fa1118
c1b7847c,Konrad Laimer,27,AUT,CM,24-266,62,0,0,0,0,3,1,0,0,45,0,0,0,0.1,0.1,0.0,2,0,35,40,87.5,3,31,0,0,0,RB Leipzig,2022-02-17 RB Leipzig-Real Sociedad,UEL,21-22,35fa1118
9a2e0ccc,Emil Forsberg,10,SWE,CM,30-117,28,1,0,1,1,2,1,0,0,26,0,0,0,0.8,0.0,0.0,1,0,20,23,87.0,4,16,4,0,0,RB Leipzig,2022-02-17 RB Leipzig-Real Sociedad,UEL,21-22,35fa1118
30941e96,Angeliño,3,ESP,WB,25-044,90,0,1,0,0,1,0,0,0,102,0,1,0,0.1,0.1,0.2,5,1,70,96,72.9,1,59,2,2,1,RB Leipzig,2022-02-17 RB Leipzig-Real Sociedad,UEL,21-22,35fa1118
ca8033cb,Lukas Klostermann,16,GER,"CB,WB",25-259,90,0,0,0,0,0,0,0,0,55,1,0,2,0.0,0.0,0.0,1,0,41,48,85.4,0,30,0,0,0,RB Leipzig,2022-02-17 RB Leipzig-Real Sociedad,UEL,21-22,35fa1118
5ad50391,Joško Gvardiol,32,CRO,CB,20-025,90,0,0,0,0,0,0,0,0,123,1,1,0,0.0,0.0,0.0,4,0,103,116,88.8,6,86,5,0,0,RB Leipzig,2022-02-17 RB Leipzig-Real Sociedad,UEL,21-22,35fa1118
2b09d998,Tyler Adams,14,USA,CB,23-003,45,0,0,0,0,0,0,0,0,60,0,3,0,0.0,0.0,0.0,0,0,49,54,90.7,4,39,0,0,0,RB Leipzig,2022-02-17 RB Leipzig-Real Sociedad,UEL,21-22,35fa1118
0a89e877,Benjamin Henrichs,39,GER,WB,24-359,45,0,0,0,0,2,1,0,0,37,1,3,1,0.2,0.2,0.0,0,0,23,30,76.7,2,13,0,0,0,RB Leipzig,2022-02-17 RB Leipzig-Real Sociedad,UEL,21-22,35fa1118
fcb27134,Mohamed Simakan,2,FRA,CB,21-290,90,0,0,0,0,0,0,0,0,88,3,1,0,0.0,0.0,0.0,2,0,64,75,85.3,4,51,2,2,1,RB Leipzig,2022-02-17 RB Leipzig-Real Sociedad,UEL,21-22,35fa1118
bcb2ccd8,Péter Gulácsi,1,HUN,GK,31-287,90,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,0,0,19,22,86.4,0,12,0,0,0,RB Leipzig,2022-02-17 RB Leipzig-Real Sociedad,UEL,21-22,35fa1118
e92cd3f7,Alexander Sørloth,23,NOR,FW,26-074,90,0,0,0,0,0,0,0,0,27,1,0,0,0.0,0.0,0.0,0,0,18,20,90.0,0,21,3,2,1,Real Sociedad,2022-02-17 RB Leipzig-Real Sociedad,UEL,21-22,35fa1118
8c3c640c,Mikel Oyarzabal,10,ESP,LM,24-302,89,1,0,1,1,0,0,0,0,35,2,0,1,0.8,0.0,0.0,0,0,14,26,53.8,2,17,1,3,1,Real Sociedad,2022-02-17 RB Leipzig-Real Sociedad,UEL,21-22,35fa1118
e1e75690,Ander Martin,44,ESP,LM,21-093,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Real Sociedad,2022-02-17 RB Leipzig-Real Sociedad,UEL,21-22,35fa1118
0c2ac3cb,Rafinha,17,BRA,CM,29-005,76,0,0,0,0,1,0,0,0,45,2,2,2,0.1,0.1,0.0,1,1,28,30,93.3,3,29,1,1,1,Real Sociedad,2022-02-17 RB Leipzig-Real Sociedad,UEL,21-22,35fa1118
