id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
19ba6c6d,Steve Mounié,24,BEN,FW,22-325,90,0,0,0,0,0,0,1,0,33,0,1,2,0.0,0.0,0.1,2,0,12,23,52.2,1,19,0,1,0,Huddersfield Town,2017-08-20 Huddersfield-Newcastle Utd,ENG-EPL,17-18,3786388c
1931bde9,Rajiv van La Parra,17,NED,LW,26-077,68,0,0,0,0,0,0,0,0,36,0,1,0,0.0,0.0,0.0,1,0,17,23,73.9,1,27,5,8,2,Huddersfield Town,2017-08-20 Huddersfield-Newcastle Utd,ENG-EPL,17-18,3786388c
19b8b0b9,Collin Quaner,23,GER,"RW,LM",26-063,22,0,0,0,0,0,0,0,0,13,0,1,0,0.0,0.0,0.0,0,0,7,9,77.8,1,9,1,2,0,Huddersfield Town,2017-08-20 Huddersfield-Newcastle Utd,ENG-EPL,17-18,3786388c
5bddccc9,Elias Kachunga,9,COD,"RW,LW",25-120,71,0,1,0,0,0,0,0,0,32,3,0,1,0.0,0.0,0.1,2,1,14,23,60.9,2,17,1,0,0,Huddersfield Town,2017-08-20 Huddersfield-Newcastle Utd,ENG-EPL,17-18,3786388c
453f566a,Kasey Palmer,45,JAM,"AM,RM",20-284,19,0,0,0,0,0,0,1,0,8,2,0,2,0.0,0.0,0.0,0,0,1,2,50.0,0,3,0,0,0,Huddersfield Town,2017-08-20 Huddersfield-Newcastle Utd,ENG-EPL,17-18,3786388c
67d23ab0,Tom Ince,22,ENG,"AM,LW",25-202,89,0,0,0,0,4,1,0,0,44,1,1,2,0.2,0.2,0.0,1,0,26,35,74.3,5,26,3,2,1,Huddersfield Town,2017-08-20 Huddersfield-Newcastle Utd,ENG-EPL,17-18,3786388c
91bdc54a,Michael Hefele,44,GER,CB,26-353,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,Huddersfield Town,2017-08-20 Huddersfield-Newcastle Utd,ENG-EPL,17-18,3786388c
d328a254,Philip Billing,8,DEN,"DM,CM",21-070,90,0,0,0,0,0,0,1,0,71,4,2,1,0.0,0.0,0.0,0,0,49,60,81.7,1,37,2,1,1,Huddersfield Town,2017-08-20 Huddersfield-Newcastle Utd,ENG-EPL,17-18,3786388c
47b7e3af,Aaron Mooy,10,AUS,"DM,CM",26-339,90,1,0,0,0,2,2,0,0,80,3,1,5,0.1,0.1,0.0,1,1,49,62,79.0,10,45,3,2,1,Huddersfield Town,2017-08-20 Huddersfield-Newcastle Utd,ENG-EPL,17-18,3786388c
