id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
527f063d,Edinson Cavani,7,URU,FW,36-096,57,0,0,0,0,0,0,0,0,11,1,0,0,0.0,0.0,0.0,0,0,5,7,71.4,1,7,0,0,0,Valencia,2023-05-21 Valencia-Real Madrid,ESP-LALIGA,22-23,37eaac0c
2a295d33,Samuel Lino,16,BRA,LW,23-149,33,0,0,0,0,0,0,0,0,12,2,0,0,0.0,0.0,0.0,0,0,5,7,71.4,1,8,4,0,0,Valencia,2023-05-21 Valencia-Real Madrid,ESP-LALIGA,22-23,37eaac0c
4c3a6744,Justin Kluivert,9,NED,"LW,FW",24-016,89,0,0,0,0,3,0,1,0,26,0,1,0,0.1,0.1,0.2,5,1,11,12,91.7,4,23,4,3,1,Valencia,2023-05-21 Valencia-Real Madrid,ESP-LALIGA,22-23,37eaac0c
37e103f8,Hugo Duro,19,ESP,FW,23-192,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Valencia,2023-05-21 Valencia-Real Madrid,ESP-LALIGA,22-23,37eaac0c
c487901c,Diego López,40,ESP,RW,21-008,57,1,0,0,0,3,2,0,0,24,0,2,0,0.5,0.5,0.0,1,0,9,14,64.3,0,19,2,1,1,Valencia,2023-05-21 Valencia-Real Madrid,ESP-LALIGA,22-23,37eaac0c
45e17712,Dimitri Foulquier,20,FRA,RB,30-059,33,0,0,0,0,0,0,0,0,15,1,0,0,0.0,0.0,0.0,0,0,3,6,50.0,0,5,0,1,0,Valencia,2023-05-21 Valencia-Real Madrid,ESP-LALIGA,22-23,37eaac0c
e6697917,Domingos André Ribeiro Almeida,18,POR,"AM,CM",22-356,90,0,0,0,0,1,1,0,0,45,3,1,2,0.0,0.0,0.3,6,0,30,38,78.9,5,31,2,1,1,Valencia,2023-05-21 Valencia-Real Madrid,ESP-LALIGA,22-23,37eaac0c
2c56a792,Nicolás González,17,ESP,"DM,CM",21-138,90,0,0,0,0,1,0,0,0,43,3,3,3,0.1,0.1,0.0,2,0,27,30,90.0,4,22,1,1,1,Valencia,2023-05-21 Valencia-Real Madrid,ESP-LALIGA,22-23,37eaac0c
3828f130,Javier Guerra,36,ESP,"DM,CM",20-140,90,0,0,0,0,3,3,0,0,46,3,2,2,0.3,0.3,0.0,3,0,19,25,76.0,5,27,3,3,0,Valencia,2023-05-21 Valencia-Real Madrid,ESP-LALIGA,22-23,37eaac0c
