id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
1238a3f9,Davie Selke,27,GER,FW,22-364,90,1,0,0,0,1,1,0,0,42,2,0,3,0.3,0.3,0.0,2,0,16,26,61.5,4,17,0,6,2,Hertha BSC,2018-01-19 Hertha BSC-Dortmund,GER-BL1,17-18,382c4f2c
2042d931,Salomon Kalou,8,CIV,LW,32-167,83,0,0,0,0,2,0,0,0,40,2,1,1,0.3,0.3,0.0,3,0,20,26,76.9,1,22,4,3,0,Hertha BSC,2018-01-19 Hertha BSC-Dortmund,GER-BL1,17-18,382c4f2c
3eb0f2df,Vladimír Darida,6,CZE,LW,27-164,7,0,0,0,0,0,0,1,0,4,0,0,1,0.0,0.0,0.0,0,0,2,3,66.7,0,3,0,0,0,Hertha BSC,2018-01-19 Hertha BSC-Dortmund,GER-BL1,17-18,382c4f2c
016ff750,Valentino Lazaro,20,AUT,RW,21-301,90,0,1,0,0,1,0,1,0,49,1,2,1,0.1,0.1,0.4,3,1,26,38,68.4,3,25,1,3,2,Hertha BSC,2018-01-19 Hertha BSC-Dortmund,GER-BL1,17-18,382c4f2c
79ca3e23,Ondrej Duda,10,SVK,AM,23-045,76,0,0,0,0,0,0,0,0,40,2,0,1,0.0,0.0,0.0,3,1,21,29,72.4,5,29,2,3,0,Hertha BSC,2018-01-19 Hertha BSC-Dortmund,GER-BL1,17-18,382c4f2c
b93b7882,Mathew Leckie,11,AUS,AM,26-349,14,0,0,0,0,0,0,0,0,10,1,0,0,0.0,0.0,0.0,0,0,5,8,62.5,0,8,2,1,1,Hertha BSC,2018-01-19 Hertha BSC-Dortmund,GER-BL1,17-18,382c4f2c
ecab64a0,Per Ciljan Skjelbred,3,NOR,DM,30-217,90,0,0,0,0,1,1,0,0,59,4,0,0,0.0,0.0,0.2,1,0,39,51,76.5,2,25,2,1,1,Hertha BSC,2018-01-19 Hertha BSC-Dortmund,GER-BL1,17-18,382c4f2c
ab700320,Arne Maier,26,GER,DM,19-011,90,0,0,0,0,1,0,0,0,51,4,1,0,0.0,0.0,0.0,0,0,35,42,83.3,2,32,1,1,0,Hertha BSC,2018-01-19 Hertha BSC-Dortmund,GER-BL1,17-18,382c4f2c
f7aa75bd,Marvin Plattenhardt,21,GER,LB,25-358,90,0,0,0,0,1,0,0,0,44,4,0,0,0.1,0.1,0.2,3,0,29,38,76.3,1,14,0,2,1,Hertha BSC,2018-01-19 Hertha BSC-Dortmund,GER-BL1,17-18,382c4f2c
