id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
c596fcb0,Callum Wilson,13,ENG,FW,28-307,90,0,0,0,0,2,0,0,0,28,0,1,0,0.2,0.2,0.1,2,0,12,17,70.6,1,18,2,2,1,Newcastle United,2020-12-30 Newcastle Utd-Liverpool,ENG-EPL,20-21,385cda3f
c17bfb65,Joelinton,9,BRA,LM,24-138,90,0,0,0,0,2,0,0,0,39,1,0,1,0.1,0.1,0.0,2,0,21,26,80.8,2,22,0,3,2,Newcastle United,2020-12-30 Newcastle Utd-Liverpool,ENG-EPL,20-21,385cda3f
c0027d2d,Matthew Longstaff,4,ENG,CM,20-284,90,0,0,0,0,0,0,0,0,46,1,1,3,0.0,0.0,0.1,2,0,24,35,68.6,2,15,1,0,0,Newcastle United,2020-12-30 Newcastle Utd-Liverpool,ENG-EPL,20-21,385cda3f
c951a6df,Isaac Hayden,14,ENG,CM,25-283,90,0,0,0,0,1,0,1,0,30,3,1,0,0.0,0.0,0.0,0,0,14,19,73.7,0,14,1,0,0,Newcastle United,2020-12-30 Newcastle Utd-Liverpool,ENG-EPL,20-21,385cda3f
de112b84,Jacob Murphy,23,ENG,RM,25-310,66,0,0,0,0,1,1,0,0,14,0,1,0,0.0,0.0,0.1,1,0,5,9,55.6,1,9,0,0,0,Newcastle United,2020-12-30 Newcastle Utd-Liverpool,ENG-EPL,20-21,385cda3f
862a1c15,Miguel Almirón,24,PAR,RM,26-324,24,0,0,0,0,0,0,0,0,13,1,1,0,0.0,0.0,0.0,0,0,4,10,40.0,0,5,0,0,0,Newcastle United,2020-12-30 Newcastle Utd-Liverpool,ENG-EPL,20-21,385cda3f
71ef519e,Matt Ritchie,11,SCO,LB,31-111,85,0,0,0,0,0,0,0,0,49,0,1,1,0.0,0.0,0.1,3,0,23,39,59.0,5,16,0,0,0,Newcastle United,2020-12-30 Newcastle Utd-Liverpool,ENG-EPL,20-21,385cda3f
efb9215a,Jamal Lewis,15,NIR,LB,22-340,5,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,0,0,0,0,Newcastle United,2020-12-30 Newcastle Utd-Liverpool,ENG-EPL,20-21,385cda3f
2b91cf8e,Ciaran Clark,2,IRL,CB,31-095,90,0,0,0,0,1,1,1,0,35,3,3,1,0.1,0.1,0.0,0,0,17,22,77.3,2,8,0,0,0,Newcastle United,2020-12-30 Newcastle Utd-Liverpool,ENG-EPL,20-21,385cda3f
c8aa95da,Fabian Schär,5,SUI,CB,29-010,90,0,0,0,0,0,0,0,0,37,1,3,2,0.0,0.0,0.0,0,0,13,20,65.0,1,15,0,0,0,Newcastle United,2020-12-30 Newcastle Utd-Liverpool,ENG-EPL,20-21,385cda3f
f25b010f,Federico Fernández,18,ARG,CB,31-313,90,0,0,0,0,0,0,0,0,51,7,0,0,0.0,0.0,0.0,1,0,20,34,58.8,1,20,0,0,0,Newcastle United,2020-12-30 Newcastle Utd-Liverpool,ENG-EPL,20-21,385cda3f
ae0a7ddf,DeAndre Yedlin,22,USA,RB,27-174,90,0,0,0,0,1,0,0,0,37,2,2,1,0.1,0.1,0.0,3,0,14,24,58.3,3,15,2,1,1,Newcastle United,2020-12-30 Newcastle Utd-Liverpool,ENG-EPL,20-21,385cda3f
cde3309f,Karl Darlow,26,ENG,GK,30-083,90,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,8,22,36.4,0,7,0,0,0,Newcastle United,2020-12-30 Newcastle Utd-Liverpool,ENG-EPL,20-21,385cda3f
4c370d81,Roberto Firmino,9,BRA,FW,29-089,90,0,0,0,0,3,2,0,0,57,2,0,1,0.3,0.3,0.5,1,0,31,43,72.1,4,26,3,2,2,Liverpool,2020-12-30 Newcastle Utd-Liverpool,ENG-EPL,20-21,385cda3f
c691bfe2,Sadio Mané,10,SEN,LW,28-264,90,0,0,0,0,1,0,0,0,57,3,0,1,0.1,0.1,0.1,2,0,32,44,72.7,3,38,6,4,1,Liverpool,2020-12-30 Newcastle Utd-Liverpool,ENG-EPL,20-21,385cda3f
e342ad68,Mohamed Salah,11,EGY,RW,28-198,89,0,0,0,0,2,1,0,0,29,0,0,0,0.9,0.9,0.0,2,0,19,23,82.6,0,14,3,1,1,Liverpool,2020-12-30 Newcastle Utd-Liverpool,ENG-EPL,20-21,385cda3f
6421ec64,Xherdan Shaqiri,23,SUI,RW,29-081,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Liverpool,2020-12-30 Newcastle Utd-Liverpool,ENG-EPL,20-21,385cda3f
2f90f6b8,James Milner,7,ENG,LM,34-361,72,0,0,0,0,2,1,1,0,91,2,2,3,0.0,0.0,0.0,1,0,74,84,88.1,10,42,0,0,0,Liverpool,2020-12-30 Newcastle Utd-Liverpool,ENG-EPL,20-21,385cda3f
77e84962,Thiago Alcántara,6,ESP,LM,29-263,18,0,0,0,0,1,0,0,0,28,0,1,0,0.0,0.0,0.0,1,0,21,24,87.5,5,16,0,0,0,Liverpool,2020-12-30 Newcastle Utd-Liverpool,ENG-EPL,20-21,385cda3f
935e6b8f,Jordan Henderson,14,ENG,CM,30-196,90,0,0,0,0,1,0,0,0,91,0,3,2,0.0,0.0,0.4,3,0,64,77,83.1,8,48,2,0,0,Liverpool,2020-12-30 Newcastle Utd-Liverpool,ENG-EPL,20-21,385cda3f
4fb9c88f,Curtis Jones,17,ENG,RM,19-335,67,0,0,0,0,0,0,0,0,47,1,1,0,0.0,0.0,0.0,1,0,36,39,92.3,3,25,2,2,1,Liverpool,2020-12-30 Newcastle Utd-Liverpool,ENG-EPL,20-21,385cda3f
eb58eef0,Georginio Wijnaldum,5,NED,RM,30-049,23,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,2,0,10,12,83.3,1,8,1,0,0,Liverpool,2020-12-30 Newcastle Utd-Liverpool,ENG-EPL,20-21,385cda3f
2e4f5f03,Andrew Robertson,26,SCO,LB,26-294,90,0,0,0,0,0,0,0,0,102,0,1,1,0.0,0.0,0.2,4,0,75,95,78.9,9,60,4,3,2,Liverpool,2020-12-30 Newcastle Utd-Liverpool,ENG-EPL,20-21,385cda3f
7f3b388c,Fabinho,3,BRA,CB,27-068,90,0,0,0,0,0,0,1,0,98,1,3,1,0.0,0.0,0.0,0,0,85,89,95.5,3,51,2,0,0,Liverpool,2020-12-30 Newcastle Utd-Liverpool,ENG-EPL,20-21,385cda3f
515ebe8d,Nathaniel Phillips,47,ENG,CB,23-284,90,0,0,0,0,0,0,1,0,96,0,1,1,0.0,0.0,0.0,1,0,75,89,84.3,3,50,0,0,0,Liverpool,2020-12-30 Newcastle Utd-Liverpool,ENG-EPL,20-21,385cda3f
cd1acf9d,Trent Alexander-Arnold,66,ENG,RB,22-084,90,0,0,0,0,1,0,0,0,99,1,3,0,0.0,0.0,0.1,1,0,62,88,70.5,6,39,3,1,0,Liverpool,2020-12-30 Newcastle Utd-Liverpool,ENG-EPL,20-21,385cda3f
7a2e46a8,Alisson,1,BRA,GK,28-089,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,25,27,92.6,0,10,0,0,0,Liverpool,2020-12-30 Newcastle Utd-Liverpool,ENG-EPL,20-21,385cda3f
