id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
64e8ed6d,Borja Mayoral,21,ESP,FW,23-084,74,1,0,0,0,1,1,0,0,23,0,1,1,0.2,0.2,0.0,4,2,17,20,85.0,1,17,1,1,1,Levante,2020-06-28 Levante-Betis,ESP-LALIGA,19-20,3a5ed8b4
0a0cc13c,Sergio León,7,ESP,FW,31-174,16,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,0,7,0,0,0,Levante,2020-06-28 Levante-Betis,ESP-LALIGA,19-20,3a5ed8b4
4a478107,José Luis Morales,11,ESP,FW,32-341,63,1,0,0,0,1,1,0,0,16,0,0,1,0.4,0.4,0.0,1,1,9,10,90.0,0,12,2,4,1,Levante,2020-06-28 Levante-Betis,ESP-LALIGA,19-20,3a5ed8b4
0ae4e09a,Roger Martí,9,ESP,FW,29-177,27,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,7,11,63.6,0,8,1,1,0,Levante,2020-06-28 Levante-Betis,ESP-LALIGA,19-20,3a5ed8b4
cac2537b,Enis Bardhi,10,MKD,LM,24-362,63,1,0,0,0,2,1,0,0,23,0,0,0,0.1,0.1,0.1,2,0,12,17,70.6,1,14,3,0,0,Levante,2020-06-28 Levante-Betis,ESP-LALIGA,19-20,3a5ed8b4
2327c29e,Hernâni Fortes,8,POR,RM,28-313,27,0,0,0,0,1,0,0,0,6,0,0,0,0.1,0.1,0.0,0,0,0,4,0.0,0,6,3,0,0,Levante,2020-06-28 Levante-Betis,ESP-LALIGA,19-20,3a5ed8b4
b5dd3469,Nemanja Radoja,5,SRB,CM,27-143,87,0,0,0,0,0,0,0,0,27,1,2,0,0.0,0.0,0.0,0,0,16,21,76.2,2,7,0,2,1,Levante,2020-06-28 Levante-Betis,ESP-LALIGA,19-20,3a5ed8b4
c00097d2,Rober,4,ESP,CM,25-133,3,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,2,0,0,0,Levante,2020-06-28 Levante-Betis,ESP-LALIGA,19-20,3a5ed8b4
61220da2,José Campaña,24,ESP,"CM,LM",27-028,90,0,1,0,0,1,0,0,0,60,0,1,1,0.0,0.0,0.5,3,1,41,53,77.4,7,31,3,1,1,Levante,2020-06-28 Levante-Betis,ESP-LALIGA,19-20,3a5ed8b4
ecd8c01e,Rubén Rochina,16,ESP,RM,29-097,63,1,1,0,0,3,1,0,0,29,0,0,0,0.7,0.7,0.0,3,2,15,22,68.2,2,14,0,1,0,Levante,2020-06-28 Levante-Betis,ESP-LALIGA,19-20,3a5ed8b4
3902e91b,Gonzalo Melero,22,ESP,CM,26-178,27,0,0,0,0,0,0,0,0,15,1,2,0,0.0,0.0,0.0,0,0,12,12,100.0,1,7,0,1,1,Levante,2020-06-28 Levante-Betis,ESP-LALIGA,19-20,3a5ed8b4
33a61a52,Carlos Clerc,19,ESP,LB,28-128,90,0,0,0,0,0,0,0,0,44,1,0,3,0.0,0.0,0.1,2,0,29,36,80.6,3,21,3,0,0,Levante,2020-06-28 Levante-Betis,ESP-LALIGA,19-20,3a5ed8b4
c67cd65c,Rúben Vezo,14,POR,CB,26-064,90,0,0,0,0,0,0,0,0,39,2,1,1,0.0,0.0,0.0,1,0,24,32,75.0,2,12,0,0,0,Levante,2020-06-28 Levante-Betis,ESP-LALIGA,19-20,3a5ed8b4
474ecac8,Sergio Postigo,15,ESP,CB,31-237,90,0,1,0,0,0,0,0,0,19,1,0,1,0.0,0.0,0.2,1,1,13,16,81.3,2,6,0,0,0,Levante,2020-06-28 Levante-Betis,ESP-LALIGA,19-20,3a5ed8b4
7f4c7c9f,Jorge Miramón,20,ESP,RB,31-026,90,0,0,0,0,0,0,0,0,43,2,1,1,0.0,0.0,0.0,0,0,27,37,73.0,2,17,0,2,2,Levante,2020-06-28 Levante-Betis,ESP-LALIGA,19-20,3a5ed8b4
a01c3d54,Aitor Fernández,13,ESP,GK,29-056,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,21,33,63.6,0,11,0,0,0,Levante,2020-06-28 Levante-Betis,ESP-LALIGA,19-20,3a5ed8b4
3aa4a3be,Loren Morón,16,ESP,FW,26-181,74,0,0,0,0,2,0,0,0,18,0,0,1,0.1,0.1,0.1,1,0,9,11,81.8,1,10,0,0,0,Real Betis,2020-06-28 Levante-Betis,ESP-LALIGA,19-20,3a5ed8b4
75645f0e,Borja Iglesias,9,ESP,FW,27-163,16,0,0,0,0,0,0,1,0,4,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,3,0,0,0,Real Betis,2020-06-28 Levante-Betis,ESP-LALIGA,19-20,3a5ed8b4
bece776f,Nabil Fekir,8,FRA,"AM,FW",26-346,82,0,0,0,0,7,3,0,0,43,0,0,2,0.3,0.3,0.1,7,0,28,29,96.6,2,32,3,3,3,Real Betis,2020-06-28 Levante-Betis,ESP-LALIGA,19-20,3a5ed8b4
bf12926c,Diego Lainez,20,MEX,FW,20-019,8,0,0,0,0,2,1,0,0,4,0,0,0,0.1,0.1,0.0,0,0,1,1,100.0,0,3,1,0,0,Real Betis,2020-06-28 Levante-Betis,ESP-LALIGA,19-20,3a5ed8b4
