id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
8c90fd7a,Victor Osimhen,9,NGA,FW,22-124,75,1,0,0,0,6,1,0,0,19,1,0,0,1.3,1.3,0.3,2,0,5,8,62.5,0,9,1,0,0,Napoli,2021-05-02 Napoli-Cagliari,ITA-SERIA_A,20-21,3c83d756
89b2c8a9,Dries Mertens,14,BEL,FW,33-361,15,0,0,0,0,1,0,0,0,11,0,0,0,0.1,0.1,0.0,0,0,6,7,85.7,0,5,1,0,0,Napoli,2021-05-02 Napoli-Cagliari,ITA-SERIA_A,20-21,3c83d756
2f557579,Lorenzo Insigne,24,ITA,LW,29-332,90,0,1,0,0,4,2,0,0,71,0,1,1,0.4,0.4,0.6,8,1,48,59,81.4,9,36,6,3,2,Napoli,2021-05-02 Napoli-Cagliari,ITA-SERIA_A,20-21,3c83d756
a69e4806,Hirving Lozano,11,MEX,RW,25-276,67,0,0,0,0,2,0,0,0,36,0,1,2,0.3,0.3,0.3,2,0,14,18,77.8,1,21,1,7,1,Napoli,2021-05-02 Napoli-Cagliari,ITA-SERIA_A,20-21,3c83d756
5e861944,Matteo Politano,21,ITA,RW,27-272,23,0,0,0,0,0,0,0,0,20,2,0,0,0.0,0.0,0.0,1,0,12,15,80.0,1,11,2,1,0,Napoli,2021-05-02 Napoli-Cagliari,ITA-SERIA_A,20-21,3c83d756
a5296e55,Piotr Zieliński,20,POL,AM,26-347,80,0,0,0,0,2,2,0,0,50,1,1,2,0.2,0.2,0.2,8,0,32,38,84.2,5,29,3,2,2,Napoli,2021-05-02 Napoli-Cagliari,ITA-SERIA_A,20-21,3c83d756
59bf127b,Tiemoué Bakayoko,5,FRA,DM,26-258,10,0,0,0,0,0,0,0,0,9,1,0,0,0.0,0.0,0.0,1,0,6,7,85.7,0,2,0,0,0,Napoli,2021-05-02 Napoli-Cagliari,ITA-SERIA_A,20-21,3c83d756
dc3fa3b5,Diego Demme,4,GER,DM,29-162,90,0,0,0,0,1,0,1,0,81,3,0,2,0.0,0.0,0.1,2,1,61,72,84.7,9,39,2,0,0,Napoli,2021-05-02 Napoli-Cagliari,ITA-SERIA_A,20-21,3c83d756
c0c7ff58,Fabián Ruiz Peña,8,ESP,DM,25-029,80,0,0,0,0,0,0,0,0,67,3,2,1,0.0,0.0,0.1,1,0,51,55,92.7,3,29,3,0,0,Napoli,2021-05-02 Napoli-Cagliari,ITA-SERIA_A,20-21,3c83d756
cf007308,Elif Elmas,7,MKD,AM,21-220,10,0,0,0,0,0,0,0,0,7,0,0,1,0.0,0.0,0.0,0,0,4,5,80.0,0,3,0,0,0,Napoli,2021-05-02 Napoli-Cagliari,ITA-SERIA_A,20-21,3c83d756
2f3452eb,Elseid Hysaj,23,ALB,LB,27-071,90,0,0,0,0,0,0,0,0,57,0,1,0,0.0,0.0,0.2,1,0,36,43,83.7,4,26,3,3,2,Napoli,2021-05-02 Napoli-Cagliari,ITA-SERIA_A,20-21,3c83d756
da974c7b,Kalidou Koulibaly,26,SEN,CB,29-316,90,0,0,0,0,0,0,0,0,100,3,3,0,0.0,0.0,0.0,3,0,77,87,88.5,8,65,0,1,1,Napoli,2021-05-02 Napoli-Cagliari,ITA-SERIA_A,20-21,3c83d756
c707411f,Kostas Manolas,44,GRE,CB,29-322,90,0,0,0,0,2,0,0,0,66,1,1,2,0.2,0.2,0.0,1,0,57,58,98.3,1,32,1,0,0,Napoli,2021-05-02 Napoli-Cagliari,ITA-SERIA_A,20-21,3c83d756
230a2fac,Giovanni Di Lorenzo,22,ITA,RB,27-271,90,0,0,0,0,1,0,0,0,93,0,4,4,0.1,0.1,0.0,2,0,74,77,96.1,7,50,6,7,6,Napoli,2021-05-02 Napoli-Cagliari,ITA-SERIA_A,20-21,3c83d756
9413b19f,Alex Meret,1,ITA,GK,24-041,90,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.0,0,0,15,18,83.3,0,13,0,0,0,Napoli,2021-05-02 Napoli-Cagliari,ITA-SERIA_A,20-21,3c83d756
d37b0350,Leonardo Pavoletti,30,ITA,FW,32-157,90,0,0,0,0,3,2,1,0,37,1,0,2,0.3,0.3,0.1,4,0,13,26,50.0,0,21,0,1,1,Cagliari,2021-05-02 Napoli-Cagliari,ITA-SERIA_A,20-21,3c83d756
5efc5389,Charalambos Lykogiannis,22,GRE,"LM,LB",27-192,80,0,0,0,0,2,0,0,0,29,0,2,2,0.2,0.2,0.0,0,0,12,19,63.2,0,13,2,0,0,Cagliari,2021-05-02 Napoli-Cagliari,ITA-SERIA_A,20-21,3c83d756
1079c685,Alberto Cerri,27,ITA,LM,25-016,10,0,0,0,0,1,0,0,0,8,1,0,0,0.0,0.0,0.0,3,0,3,6,50.0,0,3,0,1,1,Cagliari,2021-05-02 Napoli-Cagliari,ITA-SERIA_A,20-21,3c83d756
1f9328da,Radja Nainggolan,4,BEL,CM,32-363,90,0,0,0,0,2,0,0,0,49,3,1,0,0.0,0.0,0.1,3,0,29,35,82.9,7,22,3,6,2,Cagliari,2021-05-02 Napoli-Cagliari,ITA-SERIA_A,20-21,3c83d756
7f267d66,Alessandro Deiola,14,ITA,CM,25-274,69,0,0,0,0,0,0,1,0,35,1,0,1,0.0,0.0,0.0,1,0,28,31,90.3,3,15,0,1,1,Cagliari,2021-05-02 Napoli-Cagliari,ITA-SERIA_A,20-21,3c83d756
089550f5,Kwadwo Asamoah,19,GHA,"LB,CM,LM",32-144,21,0,0,0,0,1,0,0,0,18,0,1,0,0.1,0.1,0.0,0,0,15,16,93.8,1,14,0,1,1,Cagliari,2021-05-02 Napoli-Cagliari,ITA-SERIA_A,20-21,3c83d756
95facda1,Nahitan Nández,18,URU,RM,25-125,90,1,0,0,0,3,2,0,0,42,1,0,0,1.2,1.2,0.2,2,0,19,26,73.1,0,22,3,4,0,Cagliari,2021-05-02 Napoli-Cagliari,ITA-SERIA_A,20-21,3c83d756
528492ea,Alfred Duncan,32,GHA,"DM,CM",28-053,90,0,1,0,0,0,0,0,0,55,0,1,1,0.0,0.0,0.4,3,1,40,51,78.4,8,30,1,1,1,Cagliari,2021-05-02 Napoli-Cagliari,ITA-SERIA_A,20-21,3c83d756
f7e2af2c,Andrea Carboni,44,ITA,"LB,CB",20-087,90,0,0,0,0,0,0,0,0,70,7,1,0,0.0,0.0,0.1,1,0,37,56,66.1,3,30,1,2,2,Cagliari,2021-05-02 Napoli-Cagliari,ITA-SERIA_A,20-21,3c83d756
fc4f85b1,Diego Godín,2,URU,CB,35-075,90,0,0,0,0,0,0,1,0,79,3,2,2,0.0,0.0,0.0,2,1,62,71,87.3,8,46,4,0,0,Cagliari,2021-05-02 Napoli-Cagliari,ITA-SERIA_A,20-21,3c83d756
7d50454d,Luca Ceppitelli,23,ITA,CB,31-264,75,0,0,0,0,0,0,0,0,40,0,0,1,0.0,0.0,0.0,0,0,35,36,97.2,1,24,0,0,0,Cagliari,2021-05-02 Napoli-Cagliari,ITA-SERIA_A,20-21,3c83d756
343c0d52,Giovanni Simeone,9,ARG,FW,25-301,15,0,0,0,0,1,0,0,0,5,0,0,1,0.2,0.2,0.0,1,0,2,2,100.0,0,3,0,1,0,Cagliari,2021-05-02 Napoli-Cagliari,ITA-SERIA_A,20-21,3c83d756
ca3db240,Gabriele Zappa,25,ITA,RB,21-131,80,0,0,0,0,1,0,0,0,38,2,1,1,0.1,0.1,0.0,3,0,30,32,93.8,2,15,1,1,1,Cagliari,2021-05-02 Napoli-Cagliari,ITA-SERIA_A,20-21,3c83d756
34bb6fbd,Arturo Calabresi,16,ITA,RB,25-046,10,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,0,0,12,15,80.0,1,6,1,0,0,Cagliari,2021-05-02 Napoli-Cagliari,ITA-SERIA_A,20-21,3c83d756
f554e29b,Alessio Cragno,28,ITA,GK,26-308,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,26,35,74.3,0,13,0,0,0,Cagliari,2021-05-02 Napoli-Cagliari,ITA-SERIA_A,20-21,3c83d756
