id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
8d78e732,Robert Lewandowski,9,POL,FW,34-251,90,1,0,0,0,6,3,0,0,40,1,0,0,1.5,1.5,0.1,2,0,24,33,72.7,5,32,1,1,0,Barcelona,2023-04-29 Barcelona-Betis,ESP-LALIGA,22-23,3da68242
19cae58d,Gavi,30,ESP,LW,18-267,82,0,0,0,0,0,0,0,0,73,1,1,1,0.0,0.0,0.0,1,1,59,67,88.1,9,57,3,1,0,Barcelona,2023-04-29 Barcelona-Betis,ESP-LALIGA,22-23,3da68242
82ec26c1,Lamine Yamal,41,ESP,LW,15-290,8,0,0,0,0,1,1,0,0,12,0,0,0,0.4,0.4,0.0,0,0,8,9,88.9,2,9,0,2,0,Barcelona,2023-04-29 Barcelona-Betis,ESP-LALIGA,22-23,3da68242
3423f250,Raphinha,22,BRA,RW,26-136,72,1,1,0,0,4,1,0,0,57,1,1,3,0.5,0.5,0.5,4,1,30,43,69.8,5,33,3,2,1,Barcelona,2023-04-29 Barcelona-Betis,ESP-LALIGA,22-23,3da68242
b19db005,Ousmane Dembélé,7,FRA,RW,25-349,18,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,1,0,9,14,64.3,3,11,3,0,0,Barcelona,2023-04-29 Barcelona-Betis,ESP-LALIGA,22-23,3da68242
1bacc518,Frenkie de Jong,21,NED,LM,25-352,58,0,0,0,0,0,0,0,0,76,0,0,2,0.0,0.0,0.0,0,0,69,73,94.5,9,57,2,0,0,Barcelona,2023-04-29 Barcelona-Betis,ESP-LALIGA,22-23,3da68242
0ba976e4,Ansu Fati,10,ESP,LM,20-180,32,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.0,1,0,12,17,70.6,1,12,2,0,0,Barcelona,2023-04-29 Barcelona-Betis,ESP-LALIGA,22-23,3da68242
5ab0ea87,Sergio Busquets,5,ESP,CM,34-287,90,0,1,0,0,0,0,0,0,107,4,0,1,0.0,0.0,0.5,3,1,85,99,85.9,19,67,3,1,0,Barcelona,2023-04-29 Barcelona-Betis,ESP-LALIGA,22-23,3da68242
0d9b2d31,Pedri,8,ESP,RM,20-155,72,0,0,0,0,0,0,0,0,50,0,1,0,0.0,0.0,0.6,2,1,34,46,73.9,6,38,3,3,1,Barcelona,2023-04-29 Barcelona-Betis,ESP-LALIGA,22-23,3da68242
05e19d6a,Franck Kessié,19,CIV,RM,26-131,18,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.0,2,0,18,18,100.0,0,14,0,0,0,Barcelona,2023-04-29 Barcelona-Betis,ESP-LALIGA,22-23,3da68242
5ccc9672,Alejandro Balde,28,ESP,LB,19-193,90,0,0,0,0,1,0,0,0,65,2,1,0,0.0,0.0,0.0,5,1,53,58,91.4,2,45,3,3,2,Barcelona,2023-04-29 Barcelona-Betis,ESP-LALIGA,22-23,3da68242
1cb49278,Andreas Christensen,15,DEN,CB,27-019,58,1,0,0,0,1,1,0,0,50,0,0,0,0.3,0.3,0.1,1,0,47,48,97.9,1,38,0,0,0,Barcelona,2023-04-29 Barcelona-Betis,ESP-LALIGA,22-23,3da68242
f4290206,Marcos Alonso,17,ESP,CB,32-122,32,0,0,0,0,1,0,0,0,15,0,0,0,0.0,0.0,0.0,1,0,13,14,92.9,1,11,0,0,0,Barcelona,2023-04-29 Barcelona-Betis,ESP-LALIGA,22-23,3da68242
2bef2bca,Ronald Araújo,4,URU,CB,24-053,90,0,0,0,0,1,0,0,0,81,1,1,0,0.3,0.3,0.0,1,0,73,77,94.8,2,63,0,2,1,Barcelona,2023-04-29 Barcelona-Betis,ESP-LALIGA,22-23,3da68242
4d1666ff,Jules Koundé,23,FRA,RB,24-168,90,0,1,0,0,0,0,0,0,78,1,0,0,0.0,0.0,0.8,4,1,63,76,82.9,8,56,3,0,0,Barcelona,2023-04-29 Barcelona-Betis,ESP-LALIGA,22-23,3da68242
6f51e382,Marc-André ter Stegen,1,GER,GK,30-364,90,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.0,0,0,21,22,95.5,0,17,0,0,0,Barcelona,2023-04-29 Barcelona-Betis,ESP-LALIGA,22-23,3da68242
d87e2cae,Willian José,12,BRA,FW,31-157,90,0,0,0,0,1,0,0,0,44,1,1,1,0.0,0.0,0.0,0,0,29,37,78.4,1,22,0,2,1,Real Betis,2023-04-29 Barcelona-Betis,ESP-LALIGA,22-23,3da68242
819aa8e7,Ayoze Pérez,21,ESP,LW,29-274,63,0,0,0,0,0,0,0,0,30,1,2,1,0.0,0.0,0.1,2,0,15,18,83.3,3,15,2,2,1,Real Betis,2023-04-29 Barcelona-Betis,ESP-LALIGA,22-23,3da68242
7f9c5d2d,Abner,20,BRA,LB,22-337,27,0,0,0,0,0,0,0,0,11,0,0,2,0.0,0.0,0.0,0,0,3,3,100.0,0,3,0,0,0,Real Betis,2023-04-29 Barcelona-Betis,ESP-LALIGA,22-23,3da68242
8059806f,Luiz Henrique,11,BRA,RW,22-117,45,0,0,0,0,1,0,0,0,22,3,0,0,0.1,0.1,0.0,0,0,10,15,66.7,0,14,1,2,1,Real Betis,2023-04-29 Barcelona-Betis,ESP-LALIGA,22-23,3da68242
31f5b89b,Paul Akouokou,4,CIV,CB,25-130,45,0,0,0,0,0,0,0,0,25,2,3,0,0.0,0.0,0.0,0,0,12,12,100.0,0,13,0,0,0,Real Betis,2023-04-29 Barcelona-Betis,ESP-LALIGA,22-23,3da68242
