id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
9e1035f8,Ferrán Torres,11,ESP,"FW,LW,RM",23-004,90,0,0,0,1,1,1,0,0,39,0,1,0,0.8,0.0,0.0,2,0,24,32,75.0,1,28,0,2,1,Barcelona,2023-03-05 Barcelona-Valencia,ESP-LALIGA,22-23,3dc648e6
0ba976e4,Ansu Fati,10,ESP,"LW,FW",20-125,60,0,0,0,0,4,1,0,0,31,0,0,3,0.5,0.5,0.0,3,0,20,24,83.3,3,27,1,0,0,Barcelona,2023-03-05 Barcelona-Valencia,ESP-LALIGA,22-23,3dc648e6
f4290206,Marcos Alonso,17,ESP,"CB,LB",32-067,30,0,0,0,0,0,0,0,0,15,1,2,1,0.0,0.0,0.0,0,0,9,11,81.8,1,11,0,0,0,Barcelona,2023-03-05 Barcelona-Valencia,ESP-LALIGA,22-23,3dc648e6
3423f250,Raphinha,22,BRA,"RW,RM",26-081,86,1,0,0,0,3,1,0,0,67,2,1,2,0.4,0.4,0.5,4,0,29,47,61.7,5,40,4,8,3,Barcelona,2023-03-05 Barcelona-Valencia,ESP-LALIGA,22-23,3dc648e6
455c26a4,Ángel Alarcón,38,ESP,FW,18-294,4,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Barcelona,2023-03-05 Barcelona-Valencia,ESP-LALIGA,22-23,3dc648e6
1bacc518,Frenkie de Jong,21,NED,LM,25-297,45,0,0,0,0,1,1,0,0,25,0,0,0,0.0,0.0,0.0,0,0,20,22,90.9,4,18,1,0,0,Barcelona,2023-03-05 Barcelona-Valencia,ESP-LALIGA,22-23,3dc648e6
05e19d6a,Franck Kessié,19,CIV,"CM,LM",26-076,45,0,0,0,0,1,0,0,0,29,1,0,0,0.0,0.0,0.0,1,0,12,20,60.0,1,25,1,3,1,Barcelona,2023-03-05 Barcelona-Valencia,ESP-LALIGA,22-23,3dc648e6
5ab0ea87,Sergio Busquets,5,ESP,CM,34-232,90,0,1,0,0,1,0,0,0,63,2,0,3,0.1,0.1,0.3,2,1,49,53,92.5,8,36,0,1,0,Barcelona,2023-03-05 Barcelona-Valencia,ESP-LALIGA,22-23,3dc648e6
335fa267,Sergi Roberto,20,ESP,"RM,LM",31-026,80,0,0,0,0,0,0,0,0,38,5,0,1,0.0,0.0,0.0,0,0,26,28,92.9,4,23,1,2,1,Barcelona,2023-03-05 Barcelona-Valencia,ESP-LALIGA,22-23,3dc648e6
2bed3eab,Eric García,24,ESP,"CB,LM",22-055,10,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Barcelona,2023-03-05 Barcelona-Valencia,ESP-LALIGA,22-23,3dc648e6
5ccc9672,Alejandro Balde,28,ESP,"LB,LM",19-138,90,0,0,0,0,0,0,0,0,58,0,0,0,0.0,0.0,0.1,5,1,45,55,81.8,2,42,2,5,4,Barcelona,2023-03-05 Barcelona-Valencia,ESP-LALIGA,22-23,3dc648e6
1cb49278,Andreas Christensen,15,DEN,CB,26-329,90,0,0,0,0,0,0,0,0,74,1,1,2,0.0,0.0,0.0,0,0,58,65,89.2,5,54,0,0,0,Barcelona,2023-03-05 Barcelona-Valencia,ESP-LALIGA,22-23,3dc648e6
