id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
e7986081,Moussa Dembélé,9,FRA,FW,26-087,67,0,0,0,0,1,0,0,0,28,2,0,1,0.1,0.1,0.0,3,1,11,18,61.1,1,18,1,1,1,Lyon,2022-10-07 Lyon-Toulouse,FRA-L1,22-23,3e063ecd
d504b3e1,Jeff Reine-Adélaïde,22,FRA,AM,24-263,23,0,0,0,0,3,2,0,0,32,0,0,0,0.1,0.1,0.1,2,0,26,28,92.9,2,27,1,2,1,Lyon,2022-10-07 Lyon-Toulouse,FRA-L1,22-23,3e063ecd
5ceba7fc,Karl Toko Ekambi,7,CMR,LW,30-023,90,0,0,0,0,3,2,1,0,66,1,1,0,0.3,0.3,0.2,7,0,43,56,76.8,3,54,6,5,4,Lyon,2022-10-07 Lyon-Toulouse,FRA-L1,22-23,3e063ecd
7120a04d,Tetê,11,BRA,RW,22-234,78,1,0,0,0,3,1,0,0,38,0,1,0,0.3,0.3,0.1,2,0,21,28,75.0,5,36,4,3,2,Lyon,2022-10-07 Lyon-Toulouse,FRA-L1,22-23,3e063ecd
b34c63a5,Rayan Cherki,18,FRA,RW,19-051,12,0,0,0,0,1,0,1,0,11,0,0,0,0.0,0.0,0.0,0,0,4,8,50.0,2,10,2,3,1,Lyon,2022-10-07 Lyon-Toulouse,FRA-L1,22-23,3e063ecd
9dbb75ca,Alexandre Lacazette,10,FRA,"AM,FW",31-132,90,0,1,0,0,4,2,0,0,53,1,0,0,0.3,0.3,0.4,8,1,28,43,65.1,9,40,2,1,0,Lyon,2022-10-07 Lyon-Toulouse,FRA-L1,22-23,3e063ecd
652d4c37,Corentin Tolisso,88,FRA,DM,28-065,67,0,0,0,0,2,1,0,0,63,2,0,1,0.1,0.1,0.1,3,0,47,53,88.7,10,50,2,1,1,Lyon,2022-10-07 Lyon-Toulouse,FRA-L1,22-23,3e063ecd
f81ef10d,Maxence Caqueret,6,FRA,DM,22-234,23,0,0,0,0,1,0,0,0,25,0,0,1,0.1,0.1,0.0,4,0,20,23,87.0,1,18,0,0,0,Lyon,2022-10-07 Lyon-Toulouse,FRA-L1,22-23,3e063ecd
1e52971c,Johann Lepenant,24,FRA,DM,19-350,90,0,0,0,0,1,0,0,0,71,0,2,2,0.0,0.0,0.1,1,0,55,63,87.3,6,55,0,4,3,Lyon,2022-10-07 Lyon-Toulouse,FRA-L1,22-23,3e063ecd
