id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
eb2fe5b6,Luis Muriel,9,COL,FW,30-328,76,2,1,0,0,6,4,0,0,62,1,0,0,0.7,0.7,0.7,7,1,34,46,73.9,5,41,4,3,1,Atalanta,2022-03-10 Atalanta-Leverkusen,UEL,21-22,3f00f52d
a9aa0d1d,Aleksei Miranchuk,59,RUS,FW,26-144,14,0,0,0,0,0,0,0,0,7,0,0,1,0.0,0.0,0.0,0,0,2,4,50.0,0,4,0,0,0,Atalanta,2022-03-10 Atalanta-Leverkusen,UEL,21-22,3f00f52d
48d5bd33,Ruslan Malinovskyi,18,UKR,FW,28-310,68,1,2,0,0,5,1,0,0,46,0,0,0,0.7,0.7,0.3,8,3,21,31,67.7,4,31,2,6,3,Atalanta,2022-03-10 Atalanta-Leverkusen,UEL,21-22,3f00f52d
fe012aca,Jeremie Boga,10,CIV,AM,25-066,22,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.1,1,0,12,12,100.0,3,17,2,5,4,Atalanta,2022-03-10 Atalanta-Leverkusen,UEL,21-22,3f00f52d
a26fb8aa,Teun Koopmeiners,7,NED,AM,24-010,90,0,0,0,0,2,1,0,0,69,1,2,1,0.1,0.1,0.1,2,0,48,60,80.0,9,52,2,0,0,Atalanta,2022-03-10 Atalanta-Leverkusen,UEL,21-22,3f00f52d
98d2c2c4,Remo Freuler,11,SUI,CM,29-329,90,0,0,0,0,0,0,0,0,71,4,3,3,0.0,0.0,0.3,4,0,49,59,83.1,5,55,5,1,1,Atalanta,2022-03-10 Atalanta-Leverkusen,UEL,21-22,3f00f52d
2a1beb34,Marten de Roon,15,NED,CM,30-346,90,0,0,0,0,0,0,0,0,51,1,2,0,0.0,0.0,0.0,0,0,29,45,64.4,5,34,0,0,0,Atalanta,2022-03-10 Atalanta-Leverkusen,UEL,21-22,3f00f52d
7fe90ccd,Davide Zappacosta,77,ITA,WB,29-272,76,0,0,0,0,1,1,0,0,62,0,0,1,0.1,0.1,0.1,5,0,41,51,80.4,9,48,6,3,0,Atalanta,2022-03-10 Atalanta-Leverkusen,UEL,21-22,3f00f52d
c459a650,Joakim Mæhle,3,DEN,WB,24-294,14,0,0,0,0,0,0,0,0,3,0,1,0,0.0,0.0,0.0,0,0,2,2,100.0,0,2,0,0,0,Atalanta,2022-03-10 Atalanta-Leverkusen,UEL,21-22,3f00f52d
3b333ac3,Hans Hateboer,33,NED,WB,28-060,90,0,0,0,0,2,1,0,0,56,0,0,1,0.1,0.1,0.0,4,1,40,50,80.0,5,36,1,0,0,Atalanta,2022-03-10 Atalanta-Leverkusen,UEL,21-22,3f00f52d
6eee05f1,Berat Djimsiti,19,ALB,CB,29-019,68,0,0,0,0,0,0,0,0,51,0,1,2,0.0,0.0,0.0,1,0,36,45,80.0,1,34,0,0,0,Atalanta,2022-03-10 Atalanta-Leverkusen,UEL,21-22,3f00f52d
921f6058,José Luis Palomino,6,ARG,CB,32-064,22,0,0,0,0,0,0,0,0,16,0,3,0,0.0,0.0,0.0,0,0,9,13,69.2,1,7,0,0,0,Atalanta,2022-03-10 Atalanta-Leverkusen,UEL,21-22,3f00f52d
e3cceee6,Merih Demiral,28,TUR,CB,24-005,90,0,0,0,0,0,0,0,0,62,2,2,1,0.0,0.0,0.0,0,0,39,50,78.0,4,28,0,0,0,Atalanta,2022-03-10 Atalanta-Leverkusen,UEL,21-22,3f00f52d
c56dc39e,Rafael Tolói,2,ITA,CB,31-151,90,0,0,0,0,2,1,1,0,56,3,2,1,0.1,0.1,0.0,2,0,36,47,76.6,5,39,1,1,1,Atalanta,2022-03-10 Atalanta-Leverkusen,UEL,21-22,3f00f52d
a111cf41,Juan Musso,1,ARG,GK,27-308,90,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,0,0,16,28,57.1,0,20,0,0,0,Atalanta,2022-03-10 Atalanta-Leverkusen,UEL,21-22,3f00f52d
834d0be5,Lucas Alario,13,ARG,FW,29-153,60,0,0,0,0,0,0,0,0,36,0,0,1,0.0,0.0,0.0,2,0,18,25,72.0,1,25,3,4,1,Bayer Leverkusen,2022-03-10 Atalanta-Leverkusen,UEL,21-22,3f00f52d
