id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
706a60e1,Myziane Maolida,11,COM,"FW,RM",22-343,68,0,0,0,0,1,0,0,0,24,1,0,0,0.1,0.1,0.0,1,0,11,20,55.0,0,13,0,2,2,Hertha BSC,2022-01-23 Hertha BSC-Bayern Munich,GER-BL1,21-22,3f46e462
f36c432f,Stevan Jovetić,19,MNE,"FW,RM",32-082,22,0,0,0,0,0,0,0,0,10,1,1,0,0.0,0.0,0.0,0,0,6,8,75.0,3,8,0,2,1,Hertha BSC,2022-01-23 Hertha BSC-Bayern Munich,GER-BL1,21-22,3f46e462
ff182fdc,Ishak Belfodil,14,ALG,"FW,RM",30-011,79,0,0,0,0,1,1,0,0,33,0,0,0,0.1,0.1,0.2,3,0,18,24,75.0,2,18,2,1,0,Hertha BSC,2022-01-23 Hertha BSC-Bayern Munich,GER-BL1,21-22,3f46e462
73d6a176,Jurgen Ekkelenkamp,10,NED,RM,21-293,11,1,0,0,0,1,1,0,0,3,0,0,0,0.1,0.1,0.0,0,0,1,1,100.0,0,2,0,1,0,Hertha BSC,2022-01-23 Hertha BSC-Bayern Munich,GER-BL1,21-22,3f46e462
b3325a30,Suat Serdar,8,GER,"LM,CM",24-287,90,0,0,0,0,1,0,1,0,39,0,0,2,0.1,0.1,0.0,0,0,21,24,87.5,2,16,0,1,0,Hertha BSC,2022-01-23 Hertha BSC-Bayern Munich,GER-BL1,21-22,3f46e462
3eb0f2df,Vladimír Darida,6,CZE,CM,31-168,57,0,0,0,0,1,0,0,0,35,4,2,0,0.6,0.6,0.1,1,0,23,27,85.2,5,20,0,2,1,Hertha BSC,2022-01-23 Hertha BSC-Bayern Munich,GER-BL1,21-22,3f46e462
e26fcca3,Santiago Ascacíbar,18,ARG,CM,24-332,33,0,0,0,0,0,0,0,0,19,3,0,1,0.0,0.0,0.0,1,0,13,15,86.7,2,7,0,0,0,Hertha BSC,2022-01-23 Hertha BSC-Bayern Munich,GER-BL1,21-22,3f46e462
71ec39ef,Lucas Tousart,29,FRA,CM,24-269,90,0,0,0,0,0,0,0,0,28,2,0,0,0.0,0.0,0.0,1,0,16,22,72.7,1,8,0,3,2,Hertha BSC,2022-01-23 Hertha BSC-Bayern Munich,GER-BL1,21-22,3f46e462
88d4144a,Maximilian Mittelstädt,17,GER,LB,24-311,57,0,0,0,0,0,0,0,0,35,1,2,1,0.0,0.0,0.6,1,0,15,24,62.5,2,19,1,3,2,Hertha BSC,2022-01-23 Hertha BSC-Bayern Munich,GER-BL1,21-22,3f46e462
f7aa75bd,Marvin Plattenhardt,21,GER,CB,29-362,33,0,0,0,0,0,0,0,0,21,0,2,0,0.0,0.0,0.0,0,0,14,18,77.8,0,11,0,0,0,Hertha BSC,2022-01-23 Hertha BSC-Bayern Munich,GER-BL1,21-22,3f46e462
41bff4fa,Márton Dárdai,31,HUN,CB,19-345,57,0,0,0,0,0,0,0,0,43,1,3,2,0.0,0.0,0.0,0,0,20,34,58.8,0,28,0,1,1,Hertha BSC,2022-01-23 Hertha BSC-Bayern Munich,GER-BL1,21-22,3f46e462
3724baa1,Fredrik André Bjørkan,3,NOR,LB,23-155,33,0,0,0,0,0,0,0,0,18,2,0,0,0.0,0.0,0.0,0,0,12,13,92.3,0,7,1,0,0,Hertha BSC,2022-01-23 Hertha BSC-Bayern Munich,GER-BL1,21-22,3f46e462
7c473e12,Dedryck Boyata,4,BEL,CB,31-056,90,0,0,0,0,0,0,0,0,25,0,4,1,0.0,0.0,0.0,0,0,14,15,93.3,0,9,0,1,1,Hertha BSC,2022-01-23 Hertha BSC-Bayern Munich,GER-BL1,21-22,3f46e462
ad2b068c,Linus Gechter,44,GER,CB,17-330,90,0,0,0,0,0,0,0,0,47,3,2,3,0.0,0.0,0.0,0,0,21,33,63.6,1,16,0,0,0,Hertha BSC,2022-01-23 Hertha BSC-Bayern Munich,GER-BL1,21-22,3f46e462
c18d22f5,Peter Pekarík,2,SVK,RB,35-085,90,0,0,0,0,0,0,0,0,31,4,1,2,0.0,0.0,0.0,0,0,18,21,85.7,2,15,0,0,0,Hertha BSC,2022-01-23 Hertha BSC-Bayern Munich,GER-BL1,21-22,3f46e462
0d55d942,Alexander Schwolow,1,GER,GK,29-235,90,0,0,0,0,0,0,0,0,54,0,0,0,0.0,0.0,0.0,0,0,35,47,74.5,0,29,0,0,0,Hertha BSC,2022-01-23 Hertha BSC-Bayern Munich,GER-BL1,21-22,3f46e462
8d78e732,Robert Lewandowski,9,POL,FW,33-155,90,0,0,0,0,6,4,0,0,30,0,0,0,1.2,1.2,0.1,4,1,15,20,75.0,2,19,0,1,0,Bayern Munich,2022-01-23 Hertha BSC-Bayern Munich,GER-BL1,21-22,3f46e462
042e8a49,Kingsley Coman,11,FRA,LW,25-224,68,0,0,0,0,2,2,0,0,61,1,2,1,0.2,0.2,0.2,3,1,47,52,90.4,3,36,4,7,4,Bayern Munich,2022-01-23 Hertha BSC-Bayern Munich,GER-BL1,21-22,3f46e462
f9b1b7bf,Omar Richards,3,ENG,LB,23-342,22,0,0,0,0,0,0,0,0,15,1,0,0,0.0,0.0,0.0,0,0,12,13,92.3,0,9,0,0,0,Bayern Munich,2022-01-23 Hertha BSC-Bayern Munich,GER-BL1,21-22,3f46e462
88e357ef,Serge Gnabry,7,GER,RW,26-193,79,1,0,0,0,5,2,0,0,70,6,1,1,1.2,1.2,1.6,7,0,42,48,87.5,3,42,4,4,1,Bayern Munich,2022-01-23 Hertha BSC-Bayern Munich,GER-BL1,21-22,3f46e462
2c0558b8,Jamal Musiala,42,GER,LW,18-331,11,0,0,0,0,1,1,0,0,8,0,0,0,0.0,0.0,0.0,0,0,7,7,100.0,1,4,1,1,1,Bayern Munich,2022-01-23 Hertha BSC-Bayern Munich,GER-BL1,21-22,3f46e462
2b114be3,Leroy Sané,10,GER,"CM,LW,RW",26-012,90,1,0,0,0,6,4,0,0,83,3,2,2,0.7,0.7,0.1,8,0,60,68,88.2,9,65,3,5,4,Bayern Munich,2022-01-23 Hertha BSC-Bayern Munich,GER-BL1,21-22,3f46e462
3c6089ab,Thomas Müller,25,GER,"CM,AM",32-132,79,1,0,0,0,5,4,0,0,61,1,0,2,1.3,1.3,0.4,5,0,41,50,82.0,5,33,0,1,1,Bayern Munich,2022-01-23 Hertha BSC-Bayern Munich,GER-BL1,21-22,3f46e462
