id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
f9758dae,Emmanuel Gyasi,11,GHA,FW,29-136,79,0,0,0,0,1,0,0,0,28,0,0,0,0.0,0.0,0.1,3,0,19,23,82.6,1,13,1,1,0,Spezia,2023-05-27 Spezia-Torino,ITA-SERIA_A,22-23,3feeb5a0
1ac232b8,Simone Bastoni,20,ITA,FW,26-203,11,0,0,0,0,0,0,0,0,14,2,0,0,0.0,0.0,0.0,0,0,9,13,69.2,1,10,1,0,0,Spezia,2023-05-27 Spezia-Torino,ITA-SERIA_A,22-23,3feeb5a0
a4948e67,M'Bala Nzola,18,ANG,FW,26-282,90,0,0,0,0,1,0,1,0,34,0,0,0,0.2,0.2,0.0,2,0,22,26,84.6,4,17,2,3,1,Spezia,2023-05-27 Spezia-Torino,ITA-SERIA_A,22-23,3feeb5a0
f503ea63,Albin Ekdal,8,SWE,CM,33-303,45,0,0,0,0,0,0,1,0,14,0,0,0,0.0,0.0,0.0,0,0,7,11,63.6,0,6,0,1,1,Spezia,2023-05-27 Spezia-Torino,ITA-SERIA_A,22-23,3feeb5a0
46fa7204,Kevin Agudelo,33,COL,"LM,CM",24-194,45,0,0,0,0,0,0,0,0,30,0,0,1,0.0,0.0,0.0,2,0,15,24,62.5,3,15,1,3,0,Spezia,2023-05-27 Spezia-Torino,ITA-SERIA_A,22-23,3feeb5a0
5cf5c9ad,Salvatore Esposito,25,ITA,CM,22-232,90,0,0,0,0,2,0,0,0,51,2,1,1,0.2,0.2,0.0,0,0,30,44,68.2,3,21,0,3,1,Spezia,2023-05-27 Spezia-Torino,ITA-SERIA_A,22-23,3feeb5a0
0d077b88,Mehdi Bourabia,6,MAR,CM,31-293,45,0,0,0,0,1,0,0,0,16,0,0,1,0.2,0.2,0.0,0,0,6,10,60.0,0,5,0,0,0,Spezia,2023-05-27 Spezia-Torino,ITA-SERIA_A,22-23,3feeb5a0
4e1d5e59,Szymon Żurkowski,77,POL,"RM,CM",25-244,45,0,0,0,0,1,0,0,0,22,0,0,1,0.0,0.0,0.0,0,0,13,16,81.3,0,13,1,0,0,Spezia,2023-05-27 Spezia-Torino,ITA-SERIA_A,22-23,3feeb5a0
6213fd82,Arkadiusz Reca,13,POL,"WB,LB",27-344,90,0,0,0,0,0,0,0,0,55,0,0,1,0.0,0.0,0.2,1,0,32,43,74.4,3,23,3,4,0,Spezia,2023-05-27 Spezia-Torino,ITA-SERIA_A,22-23,3feeb5a0
bcc81786,Kelvin Amian,27,FRA,"WB,RB",25-108,90,0,0,0,0,0,0,0,0,52,1,0,2,0.0,0.0,0.2,2,0,31,45,68.9,3,15,0,0,0,Spezia,2023-05-27 Spezia-Torino,ITA-SERIA_A,22-23,3feeb5a0
cf961d8d,Dimitris Nikolaou,43,GRE,CB,24-287,90,0,0,0,0,1,1,0,0,45,1,1,0,0.1,0.1,0.0,1,0,25,39,64.1,5,15,0,0,0,Spezia,2023-05-27 Spezia-Torino,ITA-SERIA_A,22-23,3feeb5a0
10b9fa99,Ethan Ampadu,4,WAL,CB,22-255,64,0,0,0,0,0,0,0,0,29,1,0,2,0.0,0.0,0.0,0,0,17,20,85.0,2,11,0,0,0,Spezia,2023-05-27 Spezia-Torino,ITA-SERIA_A,22-23,3feeb5a0
d3298c99,Daniele Verde,10,ITA,CM,26-341,26,0,0,0,0,1,0,0,0,16,0,0,0,0.0,0.0,0.0,2,0,14,15,93.3,1,6,1,0,0,Spezia,2023-05-27 Spezia-Torino,ITA-SERIA_A,22-23,3feeb5a0
1bfe5ac9,Przemysław Wiśniewski,55,POL,CB,24-304,90,0,0,0,0,1,0,0,0,46,1,1,1,0.0,0.0,0.0,0,0,23,35,65.7,2,14,1,0,0,Spezia,2023-05-27 Spezia-Torino,ITA-SERIA_A,22-23,3feeb5a0
085e71a7,Bartłomiej Drągowski,69,POL,GK,25-281,90,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,0,0,10,23,43.5,0,14,0,0,0,Spezia,2023-05-27 Spezia-Torino,ITA-SERIA_A,22-23,3feeb5a0
0a447501,Antonio Sanabria,9,PAR,FW,27-084,90,0,1,0,0,0,0,0,0,35,2,0,0,0.0,0.0,0.2,2,2,17,27,63.0,2,14,1,4,2,Torino,2023-05-27 Spezia-Torino,ITA-SERIA_A,22-23,3feeb5a0
aa8e289e,Nikola Vlašić,16,CRO,AM,25-235,90,0,2,0,0,1,0,0,0,35,2,0,2,0.0,0.0,0.3,5,2,17,24,70.8,2,9,1,2,1,Torino,2023-05-27 Spezia-Torino,ITA-SERIA_A,22-23,3feeb5a0
a9aa0d1d,Aleksei Miranchuk,59,RUS,AM,27-222,86,0,0,0,0,1,0,0,0,25,1,0,1,0.0,0.0,0.0,1,0,9,14,64.3,2,11,0,1,0,Torino,2023-05-27 Spezia-Torino,ITA-SERIA_A,22-23,3feeb5a0
8b66d9cc,Yann Karamoh,7,FRA,AM,24-323,4,1,0,0,0,2,2,0,0,8,0,0,0,0.2,0.2,0.0,1,1,5,6,83.3,1,6,2,2,2,Torino,2023-05-27 Spezia-Torino,ITA-SERIA_A,22-23,3feeb5a0
bb376bed,Ivan Ilić,8,SRB,CM,22-071,86,1,0,0,0,1,1,1,0,53,5,0,0,0.1,0.1,0.0,2,0,33,44,75.0,5,19,3,0,0,Torino,2023-05-27 Spezia-Torino,ITA-SERIA_A,22-23,3feeb5a0
d023d70f,Karol Linetty,77,POL,CM,28-114,4,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,1,2,0,0,0,Torino,2023-05-27 Spezia-Torino,ITA-SERIA_A,22-23,3feeb5a0
9823be92,Samuele Ricci,28,ITA,CM,21-279,90,1,0,0,0,1,1,0,0,41,3,0,2,0.1,0.1,0.0,1,0,24,31,77.4,1,20,0,0,0,Torino,2023-05-27 Spezia-Torino,ITA-SERIA_A,22-23,3feeb5a0
be2706c0,Mërgim Vojvoda,27,KVX,WB,28-115,90,0,0,0,0,1,0,0,0,60,0,1,3,0.1,0.1,0.0,3,1,44,50,88.0,3,22,1,0,0,Torino,2023-05-27 Spezia-Torino,ITA-SERIA_A,22-23,3feeb5a0
8b609c34,Wilfried Singo,17,CIV,WB,22-153,86,0,0,0,0,3,0,1,0,33,1,2,0,0.4,0.4,0.0,1,0,18,23,78.3,2,14,1,0,0,Torino,2023-05-27 Spezia-Torino,ITA-SERIA_A,22-23,3feeb5a0
246d153b,Ola Aina,34,NGA,WB,26-231,4,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,1,4,25.0,0,3,0,2,0,Torino,2023-05-27 Spezia-Torino,ITA-SERIA_A,22-23,3feeb5a0
7f78ad23,Ricardo Rodríguez,13,SUI,CB,30-275,90,0,0,0,0,0,0,0,0,49,1,1,0,0.0,0.0,0.0,2,0,31,45,68.9,2,27,2,0,0,Torino,2023-05-27 Spezia-Torino,ITA-SERIA_A,22-23,3feeb5a0
4ae67f27,Alessandro Buongiorno,4,ITA,CB,23-355,90,0,0,0,0,0,0,0,0,53,2,3,0,0.0,0.0,0.0,1,0,29,38,76.3,0,13,0,0,0,Torino,2023-05-27 Spezia-Torino,ITA-SERIA_A,22-23,3feeb5a0
e613313c,Perr Schuurs,3,NED,CB,23-182,66,0,0,0,0,1,0,0,0,21,1,0,2,0.0,0.0,0.0,1,0,12,13,92.3,0,8,1,1,1,Torino,2023-05-27 Spezia-Torino,ITA-SERIA_A,22-23,3feeb5a0
933d3b51,Koffi Djidji,26,CIV,CB,30-178,24,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,1,0,6,7,85.7,0,3,0,0,0,Torino,2023-05-27 Spezia-Torino,ITA-SERIA_A,22-23,3feeb5a0
